((edrk >= 12.869) U[0,1] (LOS <= 13.969))
((LOS <= 13.859) U[1,1] (n_evts >= 0.012))
((death <= 0.992) U[0,1] (tte <= -0.002))
((LOS <= 13.880) U[1,2] (tte >= -1.682))
((n_evts >= 0.003) U[1,1] (tte >= -1.652))
((AF <= 0.084) U[1,1] (ICU_Pt_Days >= 0.030))
G[0,1](ICU_Pt_Days <= 0.565 | Mort >= 0.009)
((LOS <= 13.875) U[1,1] (y >= 0.006))
((direct <= 0.839) U[1,1] (n_evts >= 0.019))
F[1,1](Mort >= 0.006 & SBP <= 167.453)
F[0,1](direct <= 0.814 & tte <= -0.003)
F[0,0](edrk >= 10.573 & Mort >= 3.416978018084393e-06)
((LOS <= 13.945) U[1,2] (s24_edrk <= 0.001))
G[0,1](LOS <= 13.854 -> SBP >= 103.985)
G[0,1](ICU_Pt_Days <= 2.874 -> MET <= 0.124)
((tte <= -0.020) U[1,2] (y <= 0.722))
G[0,1](MET <= 0.008 & s2_edrk <= 0.004)
G[0,0](LOS >= 9.618 | s8_edrk >= -0.003)
G[1,1](s24_edrk <= 0.003 -> s2_edrk <= 0.002)
G[1,1](CREATININE >= 0.592 -> LOS >= 2.670)
((cosen <= -1.246) U[0,0] (MET >= 0.001))
F[0,1](s24_edrk >= -0.002 -> y = 0.371)
((PROTIME_INR >= 1.844) U[0,0] (y = 0.879))
((s24_hr >= -0.002) U[0,0] (y = 0.758))
((MET >= 0.000) U[0,1] (death = 0.007))
G[0,0](direct >= 0.006 -> ICU_Pt_Days >= 0.007)
((srr > 0.031) U[0,0] (y = 0.026))
((SBP > 114.985) U[0,1] (y = 0.577))
F[0,1](Mort <= 0.041 & y = 0.590)
((AF <= 0.190) U[0,1] (y = 0.866))
F[0,1](Glasgow_Coma_Scale_Total < 14.929 & y = 0.999)
F[0,1](MET >= 0.000 & y = 0.327)
F[0,1](ALT_GPT <= 21.775 & AST_GOT <= 34.566)
((O2_Flow >= 2.594) U[0,1] (y = 0.529))
F[1,1](Resp < 17.327 & y = 0.176)
((TOTAL_PROTEIN < 6.197) U[0,1] (y = 0.384))
F[0,0](WHITE_BLOOD_CELL_COUNT >= 8.407 & y = 0.003)
((MET >= 0.003) U[0,0] (death = 0.007))
((MET >= 0.001) U[0,1] (death = 0.007))
G[0,1](BLOOD_UREA_NITROGEN >= 8.642 | y <= 0.396)
((MET >= 0.002) U[1,1] (death = 0.007))
((s8_hr >= -0.001) U[0,1] (y = 0.483))
