((BLOOD_UREA_NITROGEN >= 12.981) U[0,1] (n_evts >= 0.126))
((GLUCOSE >= 167.020) U[0,1] (n_evts >= 0.038))
F[1,1](n_evts >= 0.022 & srr >= 0.024)
F[0,1](CO2 >= 21.668 & ICU_Pt_Days >= 0.237)
G[0,0](n_evts >= 0.050 -> y = 0.042)
G[0,1](LOS >= 2.567 -> MAGNESIUM <= 1.850)
F[1,1](GLUCOSE <= 200.084 & LOS >= 2.576)
G[0,1](Glasgow_Coma_Scale_Total <= 14.616 | GLUCOSE >= 119.542)
((CHLORIDE <= 107.772) U[0,1] (Glasgow_Coma_Scale_Total >= 14.027))
((direct <= 0.296) U[0,1] (tte <= -0.021))
G[0,1](CHLORIDE >= 105.775 | CREATININE <= 1.083)
G[0,1](MAGNESIUM >= 1.826 -> y <= 0.642)
F[0,1](SODIUM <= 139.880 & y >= 0.056)
G[0,1](CALCIUM >= 9.061 | CREATININE <= 0.932)
G[0,1](BLOOD_UREA_NITROGEN <= 15.401 | ICU_Pt_Days <= 4.375)
G[0,1](Glasgow_Coma_Scale_Total >= 14.014 -> O2_Flow >= 2.078)
G[0,1](direct >= 0.041 -> y <= 0.447)
((ICU_Pt_Days >= 0.355) U[1,1] (srr >= 0.032))
((GLUCOSE <= 225.237) U[0,1] (n_edrk <= 0.959))
((ICU_Pt_Days <= 3.950) U[0,1] (O2_Flow >= 2.001))
F[0,1](Mort <= 0.946 & tte <= -0.092)
((Mort >= 0.038) U[1,1] (PHOSPHORUS >= 2.724))
G[0,0](n_edrk >= 0.764 & Temp >= 35.626)
G[0,1](CREATININE >= 0.820 -> death <= 0.093)
F[0,0](n_edrk <= 0.929 & PHOSPHORUS >= 2.450)
F[0,0](death <= 0.280 -> n_edrk <= 0.938)
G[0,1](BLOOD_UREA_NITROGEN <= 17.466 | hr <= 105.384)
G[1,1](HEMOGLOBIN >= 11.293 | LOS <= 5.115)
G[1,1](GLUCOSE >= 145.299 | O2_Flow <= 2.968)
G[0,0](Mort <= 0.662 | s24_hr >= 0.000)
F[0,1](Temp <= 37.272 -> y = 0.522)
G[0,0](s24_hr <= 0.001 -> SBP >= 126.198)
G[0,0](SpO2 <= 99.836 & srr <= 0.087)
G[0,1](AF >= 0.008 -> CO2 <= 22.044)
G[0,1](MET >= 0.009 -> Resp >= 12.180)
G[0,1](direct <= 0.249 -> ICU_Pt_Days <= 4.572)
G[0,0](LOS <= 9.221 | Temp <= 37.210)
G[0,1](O2_Flow >= 2.132 -> SpO2 >= 85.253)
((MET >= 0.005) U[1,2] (SBP <= 166.787))
((AF >= 0.003) U[1,1] (MAGNESIUM >= 1.712))
((death >= 0.008) U[1,2] (s24_hr <= 0.001))
G[0,0](GLUCOSE <= 215.280 -> s24_hr <= 0.001)
F[1,1](AF >= 0.009 & PLATELET_COUNT >= 148.628)
G[1,1](direct <= 0.687 | SpO2 <= 98.690)
F[0,0](BLOOD_UREA_NITROGEN >= 12.717 & CO2 >= 21.193)
G[1,1](HEMOGLOBIN >= 10.630 & srr <= 0.132)
G[0,0](s2_hr >= -0.004 -> SODIUM >= 137.764)
((SBP >= 92.532) U[0,1] (y = 0.994))
G[0,1](ICU_Pt_Days <= 2.642 | s8_edrk >= -0.004)
G[0,1](BLOOD_UREA_NITROGEN <= 18.390 -> Temp <= 37.291)
G[1,1](cosen <= -1.103 -> edrk <= 24.908)
G[0,0](dfa >= 0.470 -> s24_edrk >= -0.005)
G[0,0](PLATELET_COUNT <= 206.185 | s2_hr >= -0.001)
G[0,0](AF <= 0.101 | ICU_Pt_Days >= 0.081)
G[0,0](s24_hr >= -0.001 | SODIUM <= 139.672)
((edrk < 30.236) U[0,1] (y = 0.648))
G[1,1](death <= 0.806 | srr >= 0.029)
G[0,0](CALCIUM <= 9.157 | edrk <= 36.027)
G[1,1](s2_edrk <= 0.001 | s8_edrk >= -0.003)
G[0,1](CHLORIDE <= 106.570 -> SODIUM <= 139.951)
G[0,1](O2_Flow >= 2.007 -> SODIUM <= 139.779)
G[0,1](O2_Flow <= 3.736 | PLATELET_COUNT >= 139.797)
G[1,1](BLOOD_UREA_NITROGEN <= 15.860 -> srr <= 0.061)
F[0,1](CREATININE <= 1.041 & ICU_Pt_Days >= 0.156)
((cosen >= -2.149) U[0,0] (y = 0.209))
G[0,1](Resp <= 20.051 | srr <= 0.127)
((ALT_GPT > 22.000) U[0,1] (y = 0.326))
((MET >= 0.017) U[1,1] (death = 0.039))
((MET >= 0.019) U[0,1] (death = 0.039))
((WHITE_BLOOD_CELL_COUNT < 8.036) U[0,0] (y = 0.480))
((af >= 0.004) U[1,1] (direct >= 0.001))
((af >= 0.004) U[1,2] (Glasgow_Coma_Scale_Total <= 14.471))
F[1,1](SpO2 >= 90.808 & y = 0.841)
F[1,1](ALKALINE_PHOSPHATASE >= 91.000 -> y = 0.018)
F[1,1](direct > 0.050 & y = 0.271)
((MET >= 0.003) U[1,1] (death = 0.039))
((Sgy <= 0.000) U[1,1] (y = 0.297))
F[0,1](TOTAL_PROTEIN < 6.300 & y = 0.009)
((MAGNESIUM > 1.730) U[0,1] (y = 0.701))
((Mort >= 0.038) U[1,1] (WHITE_BLOOD_CELL_COUNT <= 7.306))
((MET >= 0.005) U[1,1] (death = 0.039))
((PROTIME_INR > 1.200) U[0,1] (y = 0.037))
((MET >= 0.010) U[0,1] (death = 0.039))
((s2_hr >= -0.002) U[1,1] (y = 0.097))
((MET >= 0.017) U[1,1] (death = 0.039))
((MET >= 0.005) U[0,1] (death = 0.039))
((POTASSIUM > 3.879) U[0,1] (y = 0.781))
((PLATELET_COUNT >= 162.238) U[0,1] (y = 0.591))
G[0,0](CREATININE >= 0.815 | dfa <= 1.152)
G[1,1](PHOSPHORUS <= 3.119 -> SBP >= 119.752)
F[0,1](n_edrk <= 0.920 & PLATELET_COUNT <= 207.907)
G[0,0](Resp <= 18.702 | s2_edrk <= 0.000)
G[0,1](ICU_Pt_Days <= 0.865 & Temp >= 36.127)
G[0,1](dfa >= 0.710 | lds >= 1.106)
