((AST_GOT >= 28.892) U[0,0] (tte <= 4.656))
F[1,1](n_evts >= 1.608 -> O2_Flow >= 0.623)
F[0,1](AF <= 0.021 -> O2_Flow >= 0.805)
((direct <= 0.552) U[0,0] (O2_Flow >= 0.011))
F[0,1](LOS >= 7.447 -> O2_Flow >= 0.378)
G[1,1](CREATININE <= 1.049 & direct <= 0.830)
((PHOSPHORUS <= 4.441) U[1,1] (y >= 0.109))
F[0,1](SODIUM >= 135.645 & y >= 0.183)
F[0,1](WHITE_BLOOD_CELL_COUNT <= 12.652 & y >= 0.138)
((BLOOD_UREA_NITROGEN >= 17.411) U[1,1] (CREATININE >= 0.966))
((tte <= 4.231) U[0,1] (y >= 0.060))
G[1,1](PHOSPHORUS >= 3.894 | POTASSIUM >= 4.010)
G[0,1](direct <= 0.534 & tte >= -3.687)
((Glasgow_Coma_Scale_Total <= 14.997) U[0,1] (n_evts <= 1.833))
F[0,1](PARTIAL_THROMBOPLASTIN_TIME <= 55.252 & PROTIME_INR >= 1.102)
G[0,1](n_evts >= 1.168 & Pulse <= 99.845)
G[0,0](CHLORIDE <= 101.766 & POTASSIUM >= 4.011)
F[0,0](CALCIUM >= 8.787 & n_evts <= 1.925)
((AST_GOT <= 34.738) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME <= 59.847))
F[0,1](CHLORIDE < 100.275 -> y = 0.901)
((HEMOGLOBIN >= 10.593) U[0,1] (ICU_Pt_Days <= 7.348))
((ICU_Pt_Days <= 7.522) U[1,1] (PHOSPHORUS <= 4.500))
G[0,1](ALT_GPT <= 34.462 -> PARTIAL_THROMBOPLASTIN_TIME >= 40.956)
F[0,1](ALT_GPT <= 37.771 & CO2 <= 26.723)
((CHLORIDE >= 98.523) U[0,0] (direct >= 0.178))
G[0,1](direct <= 0.583 | HEMOGLOBIN >= 10.607)
G[0,1](MET <= 0.892 -> y <= 0.581)
F[1,1](LOS <= 10.542 & PARTIAL_THROMBOPLASTIN_TIME <= 59.305)
F[0,1](n_edrk >= 0.574 & n_evts <= 1.830)
((MAGNESIUM <= 2.089) U[0,0] (n_edrk <= 0.919))
G[0,1](cosen <= -2.007 -> SODIUM <= 136.104)
G[1,1](n_evts <= 1.677 -> LOS >= 6.835)
G[0,0](n_evts <= 1.776 -> LOS >= 5.703)
F[0,0](ALT_GPT <= 36.723 & lds <= 1.984)
G[0,1](LOS <= 10.542 -> Mort <= 0.963)
G[0,0](n_evts <= 1.664 -> LOS >= 4.518)
G[0,0](hr >= 60.835 -> ICU_Pt_Days >= 2.502)
G[0,1](n_edrk >= 0.089 | PLATELET_COUNT >= 222.754)
G[1,1](ALT_GPT <= 41.051 -> ICU_Pt_Days >= 3.672)
