Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR,Class
"F[1,1](direct >= 0.045 | n_evts >= 0.240)
",-9.491,-0.045,0.871,0.000,1.000,32,14,0,0,32,14,32,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"((ICU_Pt_Days >= 0.476) U[0,0] (LOS >= 1.081))
",-1.755,-0.476,6.092,0.000,1.000,32,14,0,0,32,14,32,14,1.0,1.0,0.0,1.0,1.0,0.0,-1
"((Resp >= 16.752) U[0,1] (TROPONIN_I >= 0.031))
",0.000,-9999999.000,-9999999.000,0.000,1.000,31,14,0,1,32,14,31,15,0.96875,1.0,0.0,1.0,0.9782608695652174,0.021739130434782594,-1
"G[1,1](s24_edrk >= -0.002 -> TROPONIN_I <= 0.053)
",-2.892,-0.026,-0.002,1.000,0.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,1
"F[0,1](ICU_Pt_Days >= 0.376 | O2_Flow >= 2.316)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,-1
"F[0,0](Glasgow_Coma_Scale_Total >= 14.117 & LOS >= 0.396)
",-3.247,-0.396,0.740,0.000,1.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,-1
"((hr <= 107.547) U[0,1] (ICU_Pt_Days >= 0.211))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,-1
"F[0,0](cosen <= -1.535 -> ICU_Pt_Days >= 0.166)
",1.433,-0.438,-3.243,0.000,1.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,-1
"F[1,1](ICU_Pt_Days <= 3.436 -> tte <= -0.144)
",-1.698,-3.436,-1.316,0.000,1.000,32,12,2,0,32,14,34,12,1.0,0.8571428571428571,0.14285714285714285,0.9411764705882353,0.9565217391304348,0.04347826086956519,-1
"F[0,0](LOS >= 0.467 & Resp <= 21.755)
",-1.566,-0.467,2.231,0.000,1.000,32,11,3,0,32,14,35,11,1.0,0.7857142857142857,0.21428571428571427,0.9142857142857143,0.9347826086956522,0.06521739130434778,-1
"((ICU_Pt_Days >= 0.824) U[1,1] (srr >= 0.024))
",-1.359,0.022,2.581,0.000,1.000,32,11,3,0,32,14,35,11,1.0,0.7857142857142857,0.21428571428571427,0.9142857142857143,0.9347826086956522,0.06521739130434778,-1
"((hr >= 81.336) U[0,1] (tte <= -0.073))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,11,3,0,32,14,35,11,1.0,0.7857142857142857,0.21428571428571427,0.9142857142857143,0.9347826086956522,0.06521739130434778,-1
"((LOS >= 0.484) U[1,1] (s8_edrk <= 0.002))
",-1.674,0.002,6.516,0.000,1.000,32,11,3,0,32,14,35,11,1.0,0.7857142857142857,0.21428571428571427,0.9142857142857143,0.9347826086956522,0.06521739130434778,-1
"((n_evts >= 0.240) U[1,2] (SpO2 >= 93.710))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,10,0,4,36,10,32,14,0.8888888888888888,1.0,0.0,1.0,0.9130434782608695,0.08695652173913049,-1
"((direct <= 0.610) U[0,1] (n_edrk <= 0.917))
",0.000,-9999999.000,-9999999.000,0.000,1.000,28,14,0,4,32,14,28,18,0.875,1.0,0.0,1.0,0.9130434782608695,0.08695652173913049,-1
"((lds >= 0.516) U[1,1] (tte <= -0.128))
",-1.088,0.060,1.489,0.000,1.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,-1
"((s8_hr >= -0.001) U[1,1] (tte <= -0.173))
",-0.702,0.000,0.842,0.000,1.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,-1
"((Glasgow_Coma_Scale_Total >= 14.861) U[0,0] (y >= 0.020))
",-1.581,0.139,0.740,0.000,1.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,-1
"((s8_edrk <= 0.003) U[0,0] (y >= 0.104))
",-1.578,0.004,0.641,0.000,1.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,-1
"((MET <= 0.081) U[0,1] (y >= 0.053))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,-1
"G[0,1](tte <= -0.176 -> y = 0.479)
",0.000,9999999.000,9999999.000,1.000,0.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,1
"G[0,0](dfa >= 0.738 & TROPONIN_I <= 0.059)
",1.258,0.023,-0.152,1.000,0.000,27,14,0,5,32,14,27,19,0.84375,1.0,0.0,1.0,0.8913043478260869,0.10869565217391308,1
"G[1,1](n_evts <= 0.514 | y <= 0.311)
",2.146,0.514,-0.258,1.000,0.000,32,9,5,0,32,14,37,9,1.0,0.6428571428571429,0.35714285714285715,0.8648648648648649,0.8913043478260869,0.10869565217391308,1
"((n_edrk <= 0.856) U[1,1] (s24_hr <= 0.001))
",-0.634,0.021,0.228,0.000,1.000,30,10,4,2,32,14,34,12,0.9375,0.7142857142857143,0.2857142857142857,0.8823529411764706,0.8695652173913043,0.13043478260869568,-1
"G[0,1](lds <= 1.655 -> y <= 0.602)
",0.000,9999999.000,9999999.000,1.000,0.000,32,8,6,0,32,14,38,8,1.0,0.5714285714285714,0.42857142857142855,0.8421052631578947,0.8695652173913043,0.13043478260869568,1
"F[0,1](n_edrk <= 0.922 & s8_edrk <= 0.001)
",0.000,-9999999.000,-9999999.000,0.000,1.000,28,12,2,4,32,14,30,16,0.875,0.8571428571428571,0.14285714285714285,0.9333333333333333,0.8695652173913043,0.13043478260869568,-1
"F[0,1](direct >= 0.048 & s8_hr >= -0.001)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"((hr >= 92.756) U[1,1] (n_evts >= 0.207))
",-0.519,1.080,7.538,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"F[0,0](death <= 0.355 -> O2_Flow >= 2.302)
",0.328,-0.355,-0.645,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"F[0,0](Mort < 0.309 -> y = 0.722)
",-0.830,-0.309,0.061,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"((direct >= 0.058) U[1,1] (SBP >= 87.504))
",0.327,40.434,30.195,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"((Glasgow_Coma_Scale_Total >= 14.567) U[0,1] (O2_Flow >= 2.140))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"((direct <= 0.503) U[1,1] (LOS >= 0.675))
",-1.496,0.503,6.325,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"((cosen <= -1.555) U[0,1] (O2_Flow >= 2.277))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,-1
"G[1,1](s2_hr <= 0.002 & y <= 0.748)
",1.552,0.002,-0.179,1.000,0.000,30,9,5,2,32,14,35,11,0.9375,0.6428571428571429,0.35714285714285715,0.8571428571428571,0.8478260869565217,0.15217391304347827,1
"G[0,0](Mort >= 0.007 -> TROPONIN_I <= 0.051)
",0.792,-0.023,-0.421,1.000,0.000,32,7,7,0,32,14,39,7,1.0,0.5,0.5,0.8205128205128205,0.8478260869565217,0.15217391304347827,1
"G[0,1](Glasgow_Coma_Scale_Total >= 14.027 & SBP >= 76.698)
",0.000,9999999.000,9999999.000,1.000,0.000,32,6,8,0,32,14,40,6,1.0,0.42857142857142855,0.5714285714285714,0.8,0.8260869565217391,0.17391304347826086,1
"((ICU_Pt_Days >= 0.831) U[1,1] (s8_edrk <= 3.143202968612247e-05))
",-1.800,0.000,7.000,0.000,1.000,32,6,8,0,32,14,40,6,1.0,0.42857142857142855,0.5714285714285714,0.8,0.8260869565217391,0.17391304347826086,-1
"((Mort >= 0.089) U[1,2] (s2_hr <= 0.003))
",0.000,-9999999.000,-9999999.000,0.000,1.000,31,7,7,1,32,14,38,8,0.96875,0.5,0.5,0.8157894736842105,0.8260869565217391,0.17391304347826086,-1
"((hr <= 96.617) U[1,1] (y >= 0.022))
",0.096,7.055,6.055,0.000,1.000,32,5,9,0,32,14,41,5,1.0,0.35714285714285715,0.6428571428571429,0.7804878048780488,0.8043478260869565,0.19565217391304346,-1
"G[0,1](s24_hr >= -0.002 & Temp <= 36.780)
",0.000,9999999.000,9999999.000,1.000,0.000,32,5,9,0,32,14,41,5,1.0,0.35714285714285715,0.6428571428571429,0.7804878048780488,0.8043478260869565,0.19565217391304346,1
"F[0,1](Resp >= 16.705 & SBP >= 97.321)
",0.000,-9999999.000,-9999999.000,0.000,1.000,25,12,2,7,32,14,27,19,0.78125,0.8571428571428571,0.14285714285714285,0.9259259259259259,0.8043478260869565,0.19565217391304346,-1
"((n_evts >= 0.120) U[1,2] (Resp <= 18.089))
",0.000,-9999999.000,-9999999.000,0.000,1.000,25,11,0,10,35,11,25,21,0.7142857142857143,1.0,0.0,1.0,0.782608695652174,0.21739130434782605,-1
"((death <= 0.888) U[0,1] (Glasgow_Coma_Scale_Total <= 14.945))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,-1
"((cosen >= -2.160) U[1,1] (Glasgow_Coma_Scale_Total <= 14.947))
",-0.019,0.222,0.233,0.000,1.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,-1
"F[1,1](death >= 0.071 & n_edrk >= 0.149)
",-0.556,-0.071,0.074,0.000,1.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,-1
"((Mort >= 0.049) U[1,1] (tte <= -0.042))
",-1.014,-0.042,1.121,0.000,1.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,-1
"F[0,1](death >= 0.024 & n_evts >= 0.196)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,-1
"((direct >= 0.070) U[1,2] (s2_hr >= -0.002))
",0.000,-9999999.000,-9999999.000,0.000,1.000,29,7,7,3,32,14,36,10,0.90625,0.5,0.5,0.8055555555555556,0.782608695652174,0.21739130434782605,-1
"G[0,1](hr >= 82.760 & Pulse >= 76.566)
",0.000,9999999.000,9999999.000,1.000,0.000,31,5,9,1,32,14,40,6,0.96875,0.35714285714285715,0.6428571428571429,0.775,0.782608695652174,0.21739130434782605,1
"G[1,1](SBP >= 82.754 -> Temp >= 36.516)
",-0.344,-45.183,-34.089,1.000,0.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,1
"G[0,0](s2_edrk <= 0.001 & srr <= 0.130)
",0.484,0.001,-0.000,1.000,0.000,32,4,10,0,32,14,42,4,1.0,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.782608695652174,0.21739130434782605,1
"F[1,1](s8_edrk < 0.002 -> y = 0.589)
",0.034,-0.002,-0.003,0.000,1.000,32,3,11,0,32,14,43,3,1.0,0.21428571428571427,0.7857142857142857,0.7441860465116279,0.7608695652173914,0.23913043478260865,-1
"G[1,1](Glasgow_Coma_Scale_Total <= 14.947 -> s24_edrk <= 0.000)
",0.629,-0.001,-0.270,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[1,1](lds >= 0.702 -> s8_edrk >= -0.003)
",1.060,-0.091,-0.822,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[1,1](LOS >= 1.872 -> Pulse <= 109.303)
",0.368,-12.678,-20.682,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[0,1](cosen <= -1.931 | edrk <= 32.270)
",0.000,9999999.000,9999999.000,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[0,1](MET >= 0.022 | SBP <= 135.178)
",0.000,9999999.000,9999999.000,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[0,1](Pulse <= 104.751 | s24_edrk >= -0.006)
",0.000,9999999.000,9999999.000,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[0,1](SBP >= 72.060 | y >= 0.176)
",0.000,9999999.000,9999999.000,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[0,0](dfa <= 1.165 -> Glasgow_Coma_Scale_Total >= 14.904)
",1.158,-0.166,-0.531,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"((AF >= 0.020) U[1,2] (lds <= 1.943))
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,2,10,2,34,12,42,4,0.9411764705882353,0.16666666666666666,0.8333333333333334,0.7619047619047619,0.7391304347826086,0.26086956521739135,-1
"G[0,1](Pulse <= 106.031 | SBP >= 114.232)
",0.000,9999999.000,9999999.000,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"G[1,1](dfa <= 1.201 & s8_edrk >= -0.001)
",0.034,0.001,0.001,1.000,0.000,30,4,10,2,32,14,40,6,0.9375,0.2857142857142857,0.7142857142857143,0.75,0.7391304347826086,0.26086956521739135,1
"F[0,1](ICU_Pt_Days <= 3.503 & MET >= 0.002)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"F[0,1](Temp > 35.852 -> y = 0.688)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"((edrk >= 10.989) U[0,0] (Glasgow_Coma_Scale_Total <= 14.970))
",-0.208,4.698,6.736,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"G[0,0](O2_Flow <= 4.740 -> s24_edrk <= 0.001)
",-0.554,-2.740,-2.206,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"F[0,0](af >= 0.011 | AF >= 0.003)
",-0.408,-0.003,0.069,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"((direct >= 0.041) U[1,1] (srr >= 0.042))
",-1.202,0.004,0.564,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"G[1,1](O2_Flow <= 4.151 | SpO2 >= 85.910)
",-0.103,10.153,10.519,1.000,0.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,1
"F[0,1](lds >= 0.786 & MET >= 0.030)
",0.000,-9999999.000,-9999999.000,0.000,1.000,32,2,12,0,32,14,44,2,1.0,0.14285714285714285,0.8571428571428571,0.7272727272727273,0.7391304347826086,0.26086956521739135,-1
"((af >= 0.008) U[1,2] (edrk >= 10.524))
",0.000,-9999999.000,-9999999.000,0.000,1.000,31,2,12,1,32,14,43,3,0.96875,0.14285714285714285,0.8571428571428571,0.7209302325581395,0.717391304347826,0.28260869565217395,-1
