Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"((MET <= 0.878) U[0,1] (n_evts >= 0.012))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,14,0,0,48,14,48,14,1.0,1.0,0.0,1.0,1.0,0.0
"((hr >= 68.443) U[0,1] (LOS >= 0.268))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,14,0,0,48,14,48,14,1.0,1.0,0.0,1.0,1.0,0.0
"((dfa <= 1.178) U[0,1] (LOS >= 1.283))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,14,0,0,48,14,48,14,1.0,1.0,0.0,1.0,1.0,0.0
"((lds <= 1.611) U[0,1] (n_evts >= 0.164))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,14,0,0,48,14,48,14,1.0,1.0,0.0,1.0,1.0,0.0
"((cosen <= -1.287) U[1,1] (n_evts >= 0.044))
",-0.327,0.877,0.956,0.000,1.000,48,14,0,0,48,14,48,14,1.0,1.0,0.0,1.0,1.0,0.0
"((CO2 >= 25.414) U[1,1] (LOS >= 0.800))
",-1.071,0.170,4.058,0.000,1.000,48,13,1,0,48,14,49,13,1.0,0.9285714285714286,0.07142857142857142,0.9795918367346939,0.9838709677419355,0.016129032258064502
"((AF <= 0.321) U[0,1] (ICU_Pt_Days >= 0.152))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,13,1,0,48,14,49,13,1.0,0.9285714285714286,0.07142857142857142,0.9795918367346939,0.9838709677419355,0.016129032258064502
"F[0,1](ICU_Pt_Days <= 3.041 -> Mort >= 0.021)
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,13,1,0,48,14,49,13,1.0,0.9285714285714286,0.07142857142857142,0.9795918367346939,0.9838709677419355,0.016129032258064502
"((cosen <= -1.640) U[0,1] (ICU_Pt_Days >= 0.124))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,13,1,0,48,14,49,13,1.0,0.9285714285714286,0.07142857142857142,0.9795918367346939,0.9838709677419355,0.016129032258064502
"((LOS >= 0.554) U[1,2] (Pulse <= 94.485))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,12,0,2,50,12,48,14,0.96,1.0,0.0,1.0,0.967741935483871,0.032258064516129004
"((dfa >= 0.746) U[0,1] (y >= 0.030))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,11,3,0,48,14,51,11,1.0,0.7857142857142857,0.21428571428571427,0.9411764705882353,0.9516129032258065,0.048387096774193505
"((hr <= 91.129) U[0,1] (tte <= -0.120))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,10,4,0,48,14,52,10,1.0,0.7142857142857143,0.2857142857142857,0.9230769230769231,0.9354838709677419,0.06451612903225812
"((BLOOD_UREA_NITROGEN >= 15.524) U[0,0] (y >= 0.003))
",-0.325,3.193,4.693,0.000,1.000,48,9,5,0,48,14,53,9,1.0,0.6428571428571429,0.35714285714285715,0.9056603773584906,0.9193548387096774,0.08064516129032262
"((BLOOD_UREA_NITROGEN <= 19.421) U[0,1] (n_edrk <= 0.876))
",0.000,-9999999.000,-9999999.000,0.000,1.000,44,13,1,4,48,14,45,17,0.9166666666666666,0.9285714285714286,0.07142857142857142,0.9777777777777777,0.9193548387096774,0.08064516129032262
"F[0,1](direct >= 0.032 & PHOSPHORUS >= 2.798)
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,9,5,0,48,14,53,9,1.0,0.6428571428571429,0.35714285714285715,0.9056603773584906,0.9193548387096774,0.08064516129032262
"((Glasgow_Coma_Scale_Total >= 14.919) U[0,1] (Mort >= 0.099))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,9,5,0,48,14,53,9,1.0,0.6428571428571429,0.35714285714285715,0.9056603773584906,0.9193548387096774,0.08064516129032262
"((BLOOD_UREA_NITROGEN >= 16.573) U[0,1] (direct >= 0.077))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,9,5,0,48,14,53,9,1.0,0.6428571428571429,0.35714285714285715,0.9056603773584906,0.9193548387096774,0.08064516129032262
"((lds <= 1.924) U[0,1] (O2_Flow >= 2.016))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,8,6,0,48,14,54,8,1.0,0.5714285714285714,0.42857142857142855,0.8888888888888888,0.9032258064516129,0.09677419354838712
"F[1,1](n_edrk <= 0.972 & O2_Flow <= 5.507)
",-3.140,-0.018,0.741,0.000,1.000,44,12,2,4,48,14,46,16,0.9166666666666666,0.8571428571428571,0.14285714285714285,0.9565217391304348,0.9032258064516129,0.09677419354838712
"((direct >= 0.006) U[1,2] (s24_hr <= 0.002))
",0.000,-9999999.000,-9999999.000,0.000,1.000,48,7,7,0,48,14,55,7,1.0,0.5,0.5,0.8727272727272727,0.8870967741935484,0.11290322580645162
