Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"G[0,1](Mort <= 0.270 & n_evts <= 0.444)
",0.000,9999999.000,9999999.000,1.000,0.000,131,14,0,0,131,14,131,14,1.0,1.0,0.0,1.0,1.0,0.0
"G[0,0](death <= 0.344 & y <= 0.617)
",2.259,0.344,-0.396,1.000,0.000,131,11,3,0,131,14,134,11,1.0,0.7857142857142857,0.21428571428571427,0.9776119402985075,0.9793103448275862,0.020689655172413834
"G[0,1](CALCIUM >= 8.399 -> Mort <= 0.306)
",0.000,9999999.000,9999999.000,1.000,0.000,131,9,5,0,131,14,136,9,1.0,0.6428571428571429,0.35714285714285715,0.9632352941176471,0.9655172413793104,0.03448275862068961
"G[0,0](HEMOGLOBIN >= 7.750 -> n_edrk >= 0.790)
",1.225,-1.105,-2.450,1.000,0.000,130,10,4,1,131,14,134,11,0.9923664122137404,0.7142857142857143,0.2857142857142857,0.9701492537313433,0.9655172413793104,0.03448275862068961
"G[1,1](CALCIUM <= 8.710 | tte >= -0.149)
",1.259,0.344,-0.058,1.000,0.000,131,9,5,0,131,14,136,9,1.0,0.6428571428571429,0.35714285714285715,0.9632352941176471,0.9655172413793104,0.03448275862068961
"G[0,1](BLOOD_UREA_NITROGEN >= 17.526 -> Mort <= 0.956)
",0.000,9999999.000,9999999.000,1.000,0.000,131,9,5,0,131,14,136,9,1.0,0.6428571428571429,0.35714285714285715,0.9632352941176471,0.9655172413793104,0.03448275862068961
"G[0,1](CO2 <= 24.323 & hr <= 111.650)
",0.000,9999999.000,9999999.000,1.000,0.000,126,14,0,5,131,14,126,19,0.9618320610687023,1.0,0.0,1.0,0.9655172413793104,0.03448275862068961
"G[0,0](CHLORIDE >= 106.953 & Mort <= 0.255)
",4.546,0.014,-4.953,1.000,0.000,126,13,1,5,131,14,127,18,0.9618320610687023,0.9285714285714286,0.07142857142857142,0.9921259842519685,0.9586206896551724,0.04137931034482756
"G[1,1](cosen <= -2.249 | ICU_Pt_Days <= 4.884)
",1.607,4.884,1.630,1.000,0.000,131,6,8,0,131,14,139,6,1.0,0.42857142857142855,0.5714285714285714,0.9424460431654677,0.9448275862068966,0.05517241379310345
"G[0,1](n_edrk >= 0.793 | srr <= 0.080)
",0.000,9999999.000,9999999.000,1.000,0.000,131,5,9,0,131,14,140,5,1.0,0.35714285714285715,0.6428571428571429,0.9357142857142857,0.9379310344827586,0.06206896551724139
"G[0,1](Pulse >= 73.467 | y >= 0.019)
",0.000,9999999.000,9999999.000,1.000,0.000,131,3,11,0,131,14,142,3,1.0,0.21428571428571427,0.7857142857142857,0.9225352112676056,0.9241379310344827,0.07586206896551728
"G[0,0](LOS >= 2.308 | MAGNESIUM <= 1.864)
",-0.732,0.692,3.598,1.000,0.000,131,2,12,0,131,14,143,2,1.0,0.14285714285714285,0.8571428571428571,0.916083916083916,0.9172413793103448,0.08275862068965523
"G[1,1](CHLORIDE <= 108.313 -> Temp >= 36.453)
",5.327,-0.762,-6.313,1.000,0.000,131,2,12,0,131,14,143,2,1.0,0.14285714285714285,0.8571428571428571,0.916083916083916,0.9172413793103448,0.08275862068965523
"G[0,0](death >= 0.006 -> MET <= 0.699)
",0.866,-0.699,-0.825,1.000,0.000,131,2,12,0,131,14,143,2,1.0,0.14285714285714285,0.8571428571428571,0.916083916083916,0.9172413793103448,0.08275862068965523
"G[0,0](ICU_Pt_Days <= 1.340 & SpO2 >= 94.316)
",0.846,0.922,-2.704,1.000,0.000,122,11,3,9,131,14,125,20,0.9312977099236641,0.7857142857142857,0.21428571428571427,0.976,0.9172413793103448,0.08275862068965523
"G[0,1](s24_edrk >= -0.002 & s2_edrk >= -0.006)
",0.000,9999999.000,9999999.000,1.000,0.000,131,2,12,0,131,14,143,2,1.0,0.14285714285714285,0.8571428571428571,0.916083916083916,0.9172413793103448,0.08275862068965523
"G[0,1](af >= 0.001 -> n_evts <= 0.650)
",0.000,9999999.000,9999999.000,1.000,0.000,131,2,12,0,131,14,143,2,1.0,0.14285714285714285,0.8571428571428571,0.916083916083916,0.9172413793103448,0.08275862068965523
"G[0,1](HEMOGLOBIN <= 9.898 -> Resp >= 13.393)
",0.000,9999999.000,9999999.000,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,0](CALCIUM <= 8.848 -> n_evts <= 0.885)
",-0.937,-0.885,0.052,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,1](CALCIUM <= 8.494 | CO2 >= 23.086)
",0.000,9999999.000,9999999.000,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[1,1](CO2 >= 23.255 -> SBP <= 171.830)
",0.321,-50.199,-58.687,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[1,1](CO2 >= 23.572 -> PARTIAL_THROMBOPLASTIN_TIME >= 26.190)
",1.225,-1.901,-5.610,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,1](GLUCOSE <= 133.015 | tte >= -3.429)
",0.000,9999999.000,9999999.000,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,1](CALCIUM <= 8.651 | MAGNESIUM >= 1.758)
",0.000,9999999.000,9999999.000,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[1,1](BLOOD_UREA_NITROGEN >= 17.487 -> TROPONIN_I >= 0.028)
",5.147,-0.293,-3.513,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,0](MET <= 0.540 | srr >= 0.010)
",0.632,0.540,0.404,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[0,1](BLOOD_UREA_NITROGEN >= 17.003 | HEMOGLOBIN <= 9.277)
",0.000,9999999.000,9999999.000,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
"G[1,1](af <= 0.271 | srr >= 0.016)
",0.408,0.271,0.245,1.000,0.000,131,0,14,0,131,14,145,0,1.0,0.0,1.0,0.903448275862069,0.903448275862069,0.096551724137931
