Rule,Discrimination Score,Pos Robustness,Neg Robustness,Percent Class +,Percent Class -,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,Accuracy,MCR
"F[0,0](Magnesium < 0.000 & SepsisLabel = 0.000)
",-0.272,-10.069,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,0](Calcium >= 0.122 & Resp >= 2.633)
",-0.541,-0.468,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1]((Platelets <= 121.635 | Hgb <= 2.818) & HCO3 >= 0.107)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"((BaseExcess > 0.000) U[1,1] (SepsisLabel = 0.000))
",0.000,0.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"((Magnesium < 0.000) U[1,1] (SepsisLabel = 0.000))
",0.000,0.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1]((Resp >= 2.820 -> SBP >= 101.038) -> Potassium >= 8.385)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1](((Temp >= 1.578 & Hct >= 0.055) -> pH >= 0.174) & Lactate >= 1.446)
",-1.446,-1.446,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1](((Lactate <= 0.000 -> WBC >= 0.122) | Bilirubin_total >= 0.111) & Glucose >= 0.088)
",-2109427965269145.750,-0.088,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,0]((pH <= 0.000 & Potassium >= 0.072) & TroponinI >= 0.028)
",-0.072,-0.072,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1](((Calcium < 7.859 & Potassium < 0.904) & Magnesium < 0.000) & Phosphate < 0.000)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1]((Calcium >= 0.122 -> Glucose >= 17.205) & Creatinine >= 18.664)
",-18.664,-18.664,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1]((Glucose >= 20.394 & Hct <= 21.419) & Phosphate >= 1.011)
",-5740263925192107.000,-20.394,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1]((O2Sat >= 14.385 | HR <= 69.645) -> Creatinine >= 10.498)
",-4900800430600223.000,-69.645,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1]((BUN <= 8.127 | SBP >= 18.718) -> Potassium >= 92.697)
",-4574964626824893.000,-8.127,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1](((Hct >= 1.172 -> WBC <= 3.559) & EtCO2 >= 0.099) & Resp >= 0.003)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1](((Calcium < 5.784 & Potassium < 1.886) & Magnesium < 0.000) & Phosphate < 0.000)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[1,1](((Calcium < 5.947 & Potassium < 0.768) & Magnesium < 0.000) & Phosphate < 0.000)
",0.000,0.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1](((Calcium < 4.292 & Potassium < 0.694) & Magnesium < 0.000) & Phosphate < 0.000)
",-9999999.000,-9999999.000,0.000,0.000,1.000,29,0,0,0,29,0,29,0,1.0,0,0,1.0,1.0,0.0
"F[0,1](pH <= 0.000 & Creatinine >= 0.005)
",-9999999.000,-9999999.000,0.000,0.000,1.000,28,0,0,1,29,0,28,1,0.9655172413793104,0,0,1.0,0.9655172413793104,0.03448275862068961
"F[0,0](((Calcium <= 3.923 -> HR >= 13.910) | Potassium >= 19.103) -> O2Sat <= 58.037)
",-0.221,-4.188,0.000,0.000,1.000,28,0,0,1,29,0,28,1,0.9655172413793104,0,0,1.0,0.9655172413793104,0.03448275862068961
"((Creatinine >= 0.006) U[1,1] (SBP >= 94.288))
",-7352800828835615.000,-0.006,0.000,0.000,1.000,28,0,0,1,29,0,28,1,0.9655172413793104,0,0,1.0,0.9655172413793104,0.03448275862068961
"F[0,1]((Calcium <= 4.619 & Potassium >= 0.083) | Magnesium >= 0.105)
",-9999999.000,-9999999.000,0.000,0.000,1.000,28,0,0,1,29,0,28,1,0.9655172413793104,0,0,1.0,0.9655172413793104,0.03448275862068961
"((Calcium >= 0.057) U[1,1] (SepsisLabel = 0.000))
",0.000,0.000,0.000,0.000,1.000,28,0,0,1,29,0,28,1,0.9655172413793104,0,0,1.0,0.9655172413793104,0.03448275862068961
"((WBC > 0.018) U[1,2] (SepsisLabel = 0.000))
",-9999999.000,-9999999.000,0.000,0.000,1.000,27,0,0,2,29,0,27,2,0.9310344827586207,0,0,1.0,0.9310344827586207,0.06896551724137934
"((Hgb >= 0.054) U[1,2] (SBP <= 147.539))
",-9999999.000,-9999999.000,0.000,0.000,1.000,27,0,0,2,29,0,27,2,0.9310344827586207,0,0,1.0,0.9310344827586207,0.06896551724137934
"F[0,1](((Temp >= 2.606 & WBC <= 4.020) -> Bilirubin_direct <= 2.621) & Hgb >= 0.131)
",-9999999.000,-9999999.000,0.000,0.000,1.000,26,0,0,3,29,0,26,3,0.896551724137931,0,0,1.0,0.896551724137931,0.10344827586206895
"F[0,1](Platelets >= 0.058 & Platelets >= 5.255)
",-9999999.000,-9999999.000,0.000,0.000,1.000,26,0,0,3,29,0,26,3,0.896551724137931,0,0,1.0,0.896551724137931,0.10344827586206895
"((DBP <= 61.626) U[0,1] (WBC >= 0.296))
",-9999999.000,-9999999.000,0.000,0.000,1.000,26,0,0,3,29,0,26,3,0.896551724137931,0,0,1.0,0.896551724137931,0.10344827586206895
"F[0,1](((HR >= 40.222 -> Resp >= 1.226) -> Platelets <= 13.469) & Platelets >= 0.854)
",-9999999.000,-9999999.000,0.000,0.000,1.000,26,0,0,3,29,0,26,3,0.896551724137931,0,0,1.0,0.896551724137931,0.10344827586206895
"F[1,1](Resp <= 9.603 & Glucose >= 16.035)
",-4513550438188305.000,-16.035,0.000,0.000,1.000,26,0,0,3,29,0,26,3,0.896551724137931,0,0,1.0,0.896551724137931,0.10344827586206895
"F[0,1](((DBP <= 63.864 & Alkalinephos >= 0.000) & HR <= 0.000) & AST >= 0.000)
",-9999999.000,-9999999.000,0.000,0.000,1.000,25,0,0,4,29,0,25,4,0.8620689655172413,0,0,1.0,0.8620689655172413,0.13793103448275867
"F[0,0](Glucose >= 8.412 & TroponinI >= 0.000)
",-8.412,-8.412,0.000,0.000,1.000,23,0,0,6,29,0,23,6,0.7931034482758621,0,0,1.0,0.7931034482758621,0.2068965517241379
"F[0,0](Glucose >= 14.866 | WBC >= 0.168)
",-6049910462856246.000,-0.168,0.000,0.000,1.000,22,0,0,7,29,0,22,7,0.7586206896551724,0,0,1.0,0.7586206896551724,0.24137931034482762
"F[0,1](HR >= 27.311 -> Platelets >= 6.664)
",-9999999.000,-9999999.000,0.000,0.000,1.000,22,0,0,7,29,0,22,7,0.7586206896551724,0,0,1.0,0.7586206896551724,0.24137931034482762
"F[0,0]((Platelets >= 4.680 | Glucose >= 19.685) & BUN <= 109.284)
",-4.680,-4.680,0.000,0.000,1.000,22,0,0,7,29,0,22,7,0.7586206896551724,0,0,1.0,0.7586206896551724,0.24137931034482762
"F[0,1](((PaCO2 >= 0.000 -> Creatinine <= 0.408) -> Hgb <= 0.038) -> SBP <= 0.440)
",-9999999.000,-9999999.000,0.000,0.000,1.000,22,0,0,7,29,0,22,7,0.7586206896551724,0,0,1.0,0.7586206896551724,0.24137931034482762
"F[0,1](Glucose >= 1.992 & Temp <= 15.902)
",-9999999.000,-9999999.000,0.000,0.000,1.000,22,0,0,7,29,0,22,7,0.7586206896551724,0,0,1.0,0.7586206896551724,0.24137931034482762
"F[0,0]((Bilirubin_total >= 0.000 & MAP >= 71.372) -> EtCO2 >= 47.672)
",0.383,6.341,0.000,0.000,1.000,21,0,0,8,29,0,21,8,0.7241379310344828,0,0,1.0,0.7241379310344828,0.27586206896551724
