G[1,1](Chloride >= 3.463 & HCO3 >= 1.232) [Discrimination Score: -6.000; Robustness + : -3.463; Robustness - : -3.463; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 3.494 | Hct <= 11.853) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 71.949 -> WBC >= 0.507) [Discrimination Score: -7.000; Robustness + : -71.949; Robustness - : -71.949; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 8.869 | Hct <= 20.212) -> WBC >= 0.408) & Platelets >= 6.551) [Discrimination Score: -0.000; Robustness + : -20.212; Robustness - : -20.212; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 7.201 & Potassium <= 4.827) & Magnesium >= 0.114) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 4.539 & Potassium < 1.321) & Magnesium < 2.483) & Phosphate < 2.133) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.006 & Magnesium > 0.027) -> Calcium < 5.918) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 33.103) U[1,2] (SBP <= 118.722)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 16.559 & Creatinine >= 0.004) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 3.399 & HCO3 >= 0.178) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 2.367 | Hct <= 32.475) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 366.355 -> WBC >= 0.062) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 6.734 | Hct <= 40.281) -> WBC >= 0.250) & Platelets >= 12.400) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 4.103 & Potassium <= 0.689) & Magnesium >= 0.004) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 6.914 & Potassium < 2.309) & Magnesium < 0.843) & Phosphate < 0.515) [Discrimination Score: 4.000; Robustness + : 0.515; Robustness - : 0.515; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.155 & Magnesium > 3.7866226163949405e-05) -> Calcium < 5.914) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 34.603) U[0,1] (SBP <= 156.733)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 4.519 & Creatinine >= 0.011) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 3.585 & HCO3 >= 0.863) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 7.607 | Hct <= 29.589) [Discrimination Score: 0.000; Robustness + : 29.589; Robustness - : 29.589; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 328.468 -> WBC >= 0.049) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((Hgb <= 2.594 | Hct <= 31.407) -> WBC >= 0.403) & Platelets >= 15.629) [Discrimination Score: -3.500; Robustness + : -31.407; Robustness - : -31.407; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 3.654 & Potassium <= 0.991) & Magnesium >= 0.056) [Discrimination Score: -3.000; Robustness + : -0.056; Robustness - : -0.056; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 5.338 & Potassium < 3.112) & Magnesium < 2.074) & Phosphate < 1.530) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.002 & Magnesium > 0.067) -> Calcium < 5.119) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 6.987) U[0,0] (SBP <= 144.219)) [Discrimination Score: 0.049; Robustness + : 136.670; Robustness - : 135.219; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 14.977 & Creatinine >= 0.009) [Discrimination Score: -4.000; Robustness + : -0.009; Robustness - : -0.009; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 0.951 & HCO3 >= 0.737) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
