,Method,UTC Wtg,Cp,Found Rules,# Unique
0,median,baseline,1.0,277,31
1,median,baseline,0.7071067811865475,164,42
2,median,baseline,2.0,305,25
3,median,baseline,10.0,350,17
4,median,noWeights,1.0,8,8
5,median,noWeights,0.7071067811865475,12,12
6,median,noWeights,2.0,9,9
7,median,noWeights,10.0,109,16
8,median,log10,1.0,232,17
9,median,log10,0.7071067811865475,151,30
10,median,log10,2.0,300,23
11,median,log10,10.0,369,18
12,median,log2,1.0,15,15
13,median,log2,0.7071067811865475,19,19
14,median,log2,2.0,164,18
15,median,log2,10.0,358,15
16,median,logscorex2,1.0,124,47
17,median,logscorex2,0.7071067811865475,189,43
18,median,logscorex2,2.0,189,30
19,median,logscorex2,10.0,366,15
20,median,scoreXeditDist,1.0,316,26
21,median,scoreXeditDist,0.7071067811865475,690,24
22,median,scoreXeditDist,2.0,613,22
23,median,scoreXeditDist,10.0,23,23
24,median,scaledBy100,1.0,252,33
25,median,scaledBy100,0.7071067811865475,102,48
26,median,scaledBy100,2.0,346,19
27,median,scaledBy100,10.0,369,17
28,median,scaledBy10,1.0,111,15
29,median,scaledBy10,0.7071067811865475,32,32
30,median,scaledBy10,2.0,242,19
31,median,scaledBy10,10.0,365,17
32,median,scoreX10,1.0,20,17
33,median,scoreX10,0.7071067811865475,630,28
34,median,scoreX10,2.0,333,27
35,median,scoreX10,10.0,49,18
36,median,scoreX100,1.0,1048,27
37,median,scoreX100,0.7071067811865475,1143,27
38,median,scoreX100,2.0,961,27
39,median,scoreX100,10.0,538,29
40,avg,baseline,1.0,634,33
41,avg,baseline,0.7071067811865475,192,47
42,avg,baseline,2.0,409,18
43,avg,baseline,10.0,389,18
44,avg,noWeights,1.0,10,10
45,avg,noWeights,0.7071067811865475,10,10
46,avg,noWeights,2.0,10,10
47,avg,noWeights,10.0,80,26
48,avg,log10,1.0,182,29
49,avg,log10,0.7071067811865475,106,37
50,avg,log10,2.0,301,22
51,avg,log10,10.0,351,20
52,avg,log2,1.0,14,14
53,avg,log2,0.7071067811865475,18,18
54,avg,log2,2.0,106,31
55,avg,log2,10.0,308,23
56,avg,logscorex2,1.0,195,49
57,avg,logscorex2,0.7071067811865475,215,47
58,avg,logscorex2,2.0,282,27
59,avg,logscorex2,10.0,370,19
60,avg,scoreXeditDist,1.0,38,38
61,avg,scoreXeditDist,0.7071067811865475,59,43
62,avg,scoreXeditDist,2.0,22,22
63,avg,scoreXeditDist,10.0,14,14
64,avg,scaledBy100,1.0,286,29
65,avg,scaledBy100,0.7071067811865475,185,47
66,avg,scaledBy100,2.0,383,18
67,avg,scaledBy100,10.0,371,19
68,avg,scaledBy10,1.0,81,25
69,avg,scaledBy10,0.7071067811865475,23,23
70,avg,scaledBy10,2.0,176,29
71,avg,scaledBy10,10.0,332,21
72,avg,scoreX10,1.0,216,49
73,avg,scoreX10,0.7071067811865475,295,51
74,avg,scoreX10,2.0,71,43
75,avg,scoreX10,10.0,81,25
76,avg,scoreX100,1.0,1181,27
77,avg,scoreX100,0.7071067811865475,1181,27
78,avg,scoreX100,2.0,1181,27
79,avg,scoreX100,10.0,524,36
80,min,baseline,1.0,373,21
