,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((LOS < 0.000 | LOS < 0.000))","G[0,0]((AF < 0.000 | LOS < 0.000))",0.33,0.02
1,"F[0,0]((LOS < 0.000 -> LOS > 0.000))","F[0,0]((LOS < 0.000 -> TROPONIN_I > 0.000))",0.151,0.02
2,"F[0,0]((LOS < 0.000 & LOS > 0.000))","F[0,0]((LOS < 0.000 & O2_Flow > 0.000))",0.192,0.02
3,"G[0,0]((LOS = 0.000 | LOS < 0.000))","G[0,0]((AF < 0.000 | LOS < 0.000))",0.33,0.02
4,"G[0,0]((LOS > 0.000 -> LOS < 0.000))","G[0,0]((LOS > 0.000 -> n_evts < 0.000))",0.648,0.04
5,"G[0,0]((LOS = 0.000 -> LOS < 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
6,"G[0,0]((LOS < 0.000 & LOS > 0.000))","G[0,0]((LOS < 0.000 & s8_edrk > 0.000))",0.266,0.02
7,"F[0,0]((LOS < 0.000 & LOS = 0.000))","F[0,0]((LOS < 0.000 & n_edrk < 0.000))",0.146,0.03
8,"F[0,0]((LOS < 0.000 -> LOS = 0.000))","F[0,0]((LOS < 0.000 -> y = 0.000))",0.151,0.03
9,"F[0,0]((LOS > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | O2_Flow > 0.000))",0.123,0.02
