,Rule,Percent Count
0,"((LOS < 81.251) U[1,1] (y < 0.844))",0.53
1,"((y > 0.659) U[1,1] (ICU_Pt_Days > 76.564))",0.91
2,"((ICU_Pt_Days < 95.302) U[1,1] (y < 0.857))",0.53
3,"((Mort < 0.829) U[1,1] (tte = 14.307))",0.75
4,"((LOS > 81.503) U[1,1] (ICU_Pt_Days > 83.115))",0.66
5,"((y > 0.180) U[0,1] (y = 0.834))",0.91
6,"((Mort = 0.883) U[1,1] (death > 0.764))",0.64
7,"((ICU_Pt_Days < 98.253) U[1,1] (tte > 62.029))",0.28
8,"((Mort > 0.719) U[1,1] (LOS = 98.818))",0.68
9,"((LOS < 95.243) U[1,1] (LOS = 103.079))",0.35
10,"((ICU_Pt_Days < 77.626) U[1,1] (y = 0.815))",0.53
11,"((LOS > 89.262) U[1,1] (n_evts = 4.457))",0.46
12,"((tte > 76.058) U[1,1] (n_evts = 4.122))",0.2
13,"((tte > 71.467) U[1,1] (n_evts > 1.940))",0.75
14,"((Mort > 0.513) U[1,1] (tte > 77.921))",0.68
15,"((tte > 24.841) U[1,1] (tte = 75.595))",0.75
16,"((n_evts = 4.316) U[1,1] (LOS < 99.240))",0.35
17,"((ICU_Pt_Days = 103.233) U[1,1] (n_evts < 4.126))",0.28
18,"G[1,1]((LOS < 99.725 -> LOS = 111.879))",0.22916666666666666
19,"((y < 0.825) U[1,1] (y = 0.891))",0.53
20,"((tte > 73.150) U[1,1] (y = 0.888))",0.53
21,"((n_evts < 4.023) U[1,1] (tte > 75.661))",0.2
22,"((LOS < 86.105) U[1,1] (death > 0.701))",0.64
23,"((ICU_Pt_Days = 94.731) U[1,1] (LOS = 79.221))",0.35
24,"((Mort > 0.699) U[1,1] (y < 0.879))",0.68
25,"((Mort > 0.832) U[1,1] (tte < 20.039))",0.75
26,"((n_evts < 3.791) U[1,1] (Mort < 0.831))",0.25
27,"((y = 0.861) U[1,1] (n_evts = 4.247))",0.53
28,"((n_evts > 2.320) U[1,1] (Mort > 0.792))",0.75
29,"G[1,1]((LOS < 81.445 | LOS < 99.905))",0.32954545454545453
30,"((n_evts = 4.141) U[1,1] (y < 0.866))",0.53
31,"((ICU_Pt_Days = 38.120) U[1,1] (ICU_Pt_Days > 97.707))",0.66
32,"((y > 0.155) U[0,1] (y > 0.778))",0.91
33,"((LOS > 89.762) U[1,1] (ICU_Pt_Days = 99.039))",0.46
34,"((n_evts > 2.887) U[1,1] (tte = 64.801))",0.75
35,"((LOS > 89.632) U[1,1] (death < 0.648))",0.56
36,"((LOS > 86.255) U[1,1] (Mort > 0.712))",0.68
37,"((n_evts < 3.776) U[1,1] (LOS < 86.352))",0.35
38,"((n_evts = 4.395) U[1,1] (tte > 66.522))",0.2
39,"((LOS = 91.944) U[1,1] (ICU_Pt_Days = 84.514))",0.35
40,"((n_evts < 4.263) U[1,1] (ICU_Pt_Days < 97.419))",0.28
41,"((tte > 77.980) U[1,2] (death > 0.699))",0.64
42,"((tte > 74.052) U[1,1] (ICU_Pt_Days > 67.261))",0.66
43,"((ICU_Pt_Days > 56.245) U[1,1] (y = 0.906))",0.66
44,"((LOS = 50.943) U[1,1] (LOS > 106.138))",0.46
45,"((n_evts > 2.209) U[1,1] (ICU_Pt_Days > 94.556))",0.75
46,"((LOS > 85.342) U[1,1] (n_evts > 2.544))",0.75
47,"((Mort < 0.749) U[1,1] (n_evts < 3.918))",0.25
