,Rule,Percent Count
0,"G[1,1]((ICU_Pt_Days < 95.401 | PHOSPHORUS = 8.122))",0.36363636363636365
1,"G[1,1]((s24_hr = 0.718 -> LOS < 101.381))",0.22916666666666666
2,"G[1,1]((Glasgow_Coma_Scale_Total > 14.447 -> n_edrk < 0.924))",0.21978021978021978
3,"F[1,1]((TROPONIN_I < 19.349 -> CHLORIDE < 135.382))",0.010752688172043012
4,"G[1,1]((Resp = 43.143 | PHOSPHORUS = 8.521))",0.29545454545454547
5,"((n_edrk < 0.962) U[0,1] (y > 0.611))",0.91
6,"F[1,1]((s24_hr = 0.780 & n_edrk = 0.962))",0.3229166666666667
7,"F[1,1]((direct > 0.634 & MET < 0.850))",0.43434343434343436
8,"((n_edrk < 0.971) U[1,1] (LOS = 98.258))",0.71
9,"((lds = 3.734) U[1,1] (ICU_Pt_Days < 93.418))",0.28
10,"G[1,1]((Temp < 46.860 -> n_edrk < 0.939))",0.25
11,"((n_edrk < 0.974) U[1,1] (LOS < 99.528))",0.71
12,"F[1,1]((s24_hr = 0.639 & PARTIAL_THROMBOPLASTIN_TIME > 117.157))",0.09375
13,"((LOS < 100.418) U[1,1] (LOS = 110.012))",0.35
14,"((n_edrk < 0.934) U[1,1] (n_evts > 2.279))",0.75
15,"((lds = 3.899) U[1,1] (BLOOD_UREA_NITROGEN = 102.901))",0.25
16,"((GLUCOSE > 411.522) U[1,1] (LOS > 90.025))",0.46
17,"((LOS < 93.800) U[1,1] (ICU_Pt_Days > 77.711))",0.66
18,"G[1,1]((LOS < 101.256 -> n_edrk < 0.935))",0.22916666666666666
19,"G[1,1]((LOS < 99.188 | LOS = 102.994))",0.32954545454545453
20,"G[1,1]((Temp < 45.726 -> LOS < 87.242))",0.25
21,"((GLUCOSE > 392.363) U[1,1] (ICU_Pt_Days = 100.233))",0.28
22,"G[1,1]((Resp = 38.921 | HEMOGLOBIN < 21.247))",0.29545454545454547
23,"G[1,1]((s24_hr = 0.597 -> CHLORIDE = 137.869))",0.1875
24,"((GLUCOSE > 347.397) U[1,1] (LOS < 102.425))",0.35
25,"G[1,1]((LOS < 88.289 -> LOS < 104.947))",0.22916666666666666
26,"((n_edrk < 0.970) U[1,1] (ICU_Pt_Days < 104.977))",0.71
27,"G[1,1]((Temp < 46.619 -> s8_edrk > 0.670))",0.25
28,"G[1,1]((ICU_Pt_Days < 96.452 | HEMOGLOBIN < 20.412))",0.36363636363636365
29,"F[1,1]((s24_hr = 0.667 & MET < 0.795))",0.125
30,"((LOS < 58.653) U[1,1] (LOS > 102.914))",0.46
31,"F[1,1]((AST_GOT < 208.734 & MET < 0.818))",0.125
32,"((n_edrk < 0.969) U[1,1] (ICU_Pt_Days = 93.572))",0.71
33,"((LOS = 89.391) U[1,1] (Mort > 0.562))",0.68
34,"F[1,1]((direct > 0.668 & n_edrk = 0.950))",0.43434343434343436
35,"((lds = 4.404) U[1,1] (LOS > 96.852))",0.46
36,"((GLUCOSE > 376.860) U[1,1] (LOS = 91.280))",0.35
37,"((LOS = 93.954) U[1,1] (LOS = 102.576))",0.35
38,"G[1,1]((Resp = 32.631 | TOTAL_PROTEIN > 8.842))",0.29545454545454547
39,"G[1,1]((ICU_Pt_Days < 81.467 | LOS = 96.597))",0.36363636363636365
40,"G[1,1]((ALBUMIN > 4.571 | LOS = 91.024))",0.32954545454545453
41,"((GLUCOSE > 375.973) U[1,1] (n_evts > 1.891))",0.75
42,"((lds = 4.096) U[1,1] (Mort > 0.666))",0.68
43,"((lds = 4.492) U[1,1] (Mort < 0.904))",0.25
44,"G[1,1]((ICU_Pt_Days < 94.256 | TOTAL_PROTEIN > 8.425))",0.36363636363636365
45,"((n_edrk < 0.980) U[1,1] (GLUCOSE < 365.159))",0.71
46,"F[1,1]((direct > 0.722 & PARTIAL_THROMBOPLASTIN_TIME > 115.897))",0.43434343434343436
47,"G[1,1]((LOS < 102.329 -> CHLORIDE = 135.775))",0.22916666666666666
48,"((LOS < 90.505) U[1,1] (Mort = 0.830))",0.35
49,"((n_edrk < 0.974) U[1,1] (tte > 79.033))",0.71
50,"((n_edrk < 0.971) U[1,1] (Mort < 0.821))",0.71
51,"G[1,1]((Resp = 42.315 | LOS = 94.491))",0.32954545454545453
52,"G[1,1]((LOS < 89.685 | PHOSPHORUS = 8.097))",0.32954545454545453
53,"((n_edrk < 0.969) U[1,1] (Mort = 0.877))",0.71
54,"((LOS = 93.418) U[1,1] (ICU_Pt_Days = 97.695))",0.35
55,"((LOS < 89.597) U[1,2] (tte > 66.053))",0.35
56,"((lds = 4.328) U[0,1] (y > 0.180))",0.91
57,"((lds = 3.540) U[1,1] (GLUCOSE < 393.445))",0.25
58,"((lds = 3.944) U[1,1] (LOS < 92.750))",0.35
59,"G[1,1]((ALBUMIN > 4.175 | HEMOGLOBIN < 21.823))",0.13636363636363635
60,"((LOS < 95.719) U[1,1] (n_evts > 1.720))",0.75
61,"((GLUCOSE > 391.783) U[1,1] (tte > 73.318))",0.23
62,"((lds = 4.133) U[1,1] (ICU_Pt_Days > 77.264))",0.66
63,"F[1,1]((BLOOD_UREA_NITROGEN > 100.818 -> CHLORIDE < 136.855))",0.04395604395604396
64,"G[1,1]((Glasgow_Coma_Scale_Total > 14.436 -> LOS < 95.231))",0.22916666666666666
65,"((LOS = 53.064) U[1,1] (LOS > 99.055))",0.46
66,"((GLUCOSE > 377.880) U[0,1] (y > 0.256))",0.91
67,"((GLUCOSE > 398.100) U[1,1] (ICU_Pt_Days > 61.548))",0.66
68,"((lds = 3.654) U[1,1] (tte > 80.088))",0.25
69,"G[1,1]((Glasgow_Coma_Scale_Total > 14.282 -> CHLORIDE = 138.972))",0.21978021978021978
70,"((GLUCOSE > 396.169) U[1,1] (Mort < 0.867))",0.25
71,"((GLUCOSE > 344.255) U[1,1] (ICU_Pt_Days < 91.106))",0.28
72,"F[1,1]((AST_GOT < 213.603 & n_edrk = 0.971))",0.3229166666666667
73,"G[1,1]((LOS < 87.653 | HEMOGLOBIN < 20.851))",0.32954545454545453
74,"((LOS < 100.657) U[0,1] (y > 0.309))",0.91
75,"G[1,1]((s24_hr = 0.490 -> s8_edrk > 0.524))",0.23076923076923078
76,"((lds = 4.093) U[1,1] (ICU_Pt_Days = 101.351))",0.28
77,"((LOS = 98.789) U[1,1] (ICU_Pt_Days > 70.709))",0.66
78,"((LOS = 89.097) U[1,1] (Mort = 0.773))",0.35
79,"((LOS < 86.605) U[1,1] (LOS < 106.493))",0.35
80,"((LOS = 108.281) U[1,1] (LOS < 106.228))",0.35
81,"G[1,1]((LOS < 90.322 | TOTAL_PROTEIN > 8.410))",0.32954545454545453
82,"((n_edrk < 0.974) U[1,1] (BLOOD_UREA_NITROGEN = 97.455))",0.71
83,"((lds = 3.996) U[1,1] (Mort = 0.866))",0.25
84,"((LOS < 92.083) U[1,1] (ICU_Pt_Days < 79.196))",0.35
85,"((LOS = 94.534) U[1,1] (GLUCOSE < 377.799))",0.35
86,"((n_edrk < 0.963) U[1,1] (ICU_Pt_Days > 80.393))",0.71
87,"((n_edrk < 0.965) U[1,1] (Mort > 0.789))",0.71
88,"G[1,1]((Glasgow_Coma_Scale_Total > 14.431 -> s8_edrk > 0.716))",0.23076923076923078
89,"((LOS = 96.447) U[0,1] (y > 0.265))",0.91
90,"((lds = 4.106) U[1,1] (n_evts > 2.347))",0.75
91,"((GLUCOSE > 370.704) U[1,1] (BLOOD_UREA_NITROGEN = 86.758))",0.23
92,"G[1,1]((ALBUMIN > 4.042 | TOTAL_PROTEIN > 8.482))",0.05952380952380952
93,"((LOS = 100.977) U[1,1] (BLOOD_UREA_NITROGEN = 96.484))",0.35
94,"((LOS = 89.959) U[1,1] (Mort < 0.842))",0.35
95,"((GLUCOSE > 365.312) U[1,1] (Mort > 0.576))",0.68
96,"((LOS = 94.859) U[1,2] (tte > 67.945))",0.35
97,"((LOS < 94.435) U[1,1] (BLOOD_UREA_NITROGEN = 100.425))",0.35
98,"G[1,1]((s24_hr = 0.564 -> n_edrk < 0.936))",0.21875
99,"((LOS < 94.734) U[1,1] (Mort > 0.600))",0.68
100,"G[1,1]((ALBUMIN > 4.213 | PHOSPHORUS = 8.288))",0.19318181818181818
101,"((GLUCOSE > 407.333) U[1,1] (Mort = 0.849))",0.25
102,"((LOS < 93.673) U[1,1] (ICU_Pt_Days = 97.139))",0.35
103,"((LOS = 94.254) U[1,1] (ICU_Pt_Days < 95.981))",0.35
104,"((lds = 3.678) U[1,1] (LOS = 94.834))",0.35
105,"((LOS < 101.887) U[1,1] (GLUCOSE < 394.745))",0.35
106,"((GLUCOSE > 405.350) U[1,1] (GLUCOSE < 381.863))",0.23
107,"((LOS < 94.679) U[1,1] (Mort < 0.920))",0.35
108,"((n_edrk < 0.967) U[1,1] (LOS > 87.429))",0.71
