,LDP Rule,Client Rule,LDP Count,Client Count
0,"((LOS < 0.000) U[0,0] (y < 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.53,0.06
1,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))",0.91,0.04
2,"((CREATININE = 0.000) U[0,0] (tte > 0.000))","((CREATININE < 0.000) U[0,0] (y = 0.000))",0.2,0.08
3,"((CREATININE = 0.000) U[0,0] (ICU_Pt_Days = 0.000))","((CREATININE < 0.000) U[0,0] (y = 0.000))",0.28,0.08
4,"((s2_edrk < 0.000) U[0,0] (LOS = 0.000))","((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (LOS < 0.000))",0.35,0.03
5,"((ICU_Pt_Days < 0.000) U[0,0] (y < 0.000))","((ICU_Pt_Days < 0.000) U[0,0] (y = 0.000))",0.53,0.03
6,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))",0.66,0.02
7,"F[0,0]((PCO2 > 0.000 & TROPONIN_I > 0.000))","F[0,0]((PCO2 > 0.000 & y = 0.000))",0.071,0.02
8,"((ICU_Pt_Days < 0.000) U[0,0] (tte > 0.000))","((ICU_Pt_Days < 0.000) U[0,0] (y > 0.000))",0.28,0.04
9,"((Mort > 0.000) U[0,0] (LOS = 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.68,0.06
10,"((LOS < 0.000) U[0,0] (LOS = 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
11,"((LOS > 0.000) U[0,0] (n_evts = 0.000))","((LOS > 0.000) U[0,0] (y = 0.000))",0.46,0.06
12,"((ICU_Pt_Days = 0.000) U[0,0] (OXYGEN_SATURATION > 0.000))","((OXYGEN_SATURATION > 0.000) U[0,0] (y = 0.000))",0.28,0.06
13,"((Mort > 0.000) U[0,0] (tte > 0.000))","((Mort > 0.000) U[0,0] (tte > 0.000))",0.68,0.02
14,"((n_evts = 0.000) U[0,0] (LOS < 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
15,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts < 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.28,0.05
16,"((n_evts > 0.000) U[0,0] (OXYGEN_SATURATION > 0.000))","((n_evts > 0.000) U[0,0] (tte < 0.000))",0.75,0.07
17,"((n_evts < 0.000) U[0,0] (tte > 0.000))","((Mort > 0.000) U[0,0] (n_evts < 0.000))",0.2,0.03
18,"((ICU_Pt_Days = 0.000) U[0,0] (LOS = 0.000))","((ICU_Pt_Days < 0.000) U[0,0] (LOS < 0.000))",0.35,0.02
19,"((Mort > 0.000) U[0,0] (y < 0.000))","((Mort > 0.000) U[0,0] (y = 0.000))",0.68,0.05
20,"((n_evts < 0.000) U[0,0] (Mort < 0.000))","((n_evts < 0.000) U[0,0] (y > 0.000))",0.25,0.05
21,"((y = 0.000) U[0,0] (n_evts = 0.000))","((n_evts < 0.000) U[0,0] (y = 0.000))",0.53,0.01
22,"((n_evts > 0.000) U[0,0] (Mort > 0.000))","((Mort > 0.000) U[0,0] (n_evts > 0.000))",0.75,0.01
23,"((s2_hr > 0.000) U[0,0] (Mort < 0.000))","((s2_hr > 0.000) U[0,0] (y = 0.000))",0.25,0.06
24,"((n_evts = 0.000) U[0,0] (y < 0.000))","((n_evts < 0.000) U[0,0] (y = 0.000))",0.53,0.01
