,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((MET = 0.000 & direct < 0.000))","G[0,0]((direct < 0.000 & Resp < 0.000))",0.287,0.02
1,"G[0,0]((LOS = 0.000 & direct = 0.000))","G[0,0]((direct < 0.000 & LOS < 0.000))",0.287,0.03
2,"G[0,0]((MET < 0.000 & y = 0.000))","G[0,0]((MET < 0.000 & y < 0.000))",0.351,0.01
3,"G[0,0]((MET = 0.000 & y < 0.000))","G[0,0]((MET < 0.000 & y < 0.000))",0.351,0.01
4,"G[0,0]((tte < 0.000 & PHOSPHORUS > 0.000))","G[0,0]((PHOSPHORUS > 0.000 & Pulse < 0.000))",0.032,0.01
5,"G[0,0]((hr > 0.000 -> ICU_Pt_Days > 0.000))","G[0,0]((direct > 0.000 -> hr > 0.000))",0.308,0.02
6,"G[0,0]((Mort < 0.000 & y = 0.000))","G[0,0]((Mort < 0.000 & y < 0.000))",0.351,0.02
7,"G[0,0]((Mort = 0.000 -> PHOSPHORUS > 0.000))","G[0,0]((death > 0.000 -> Mort < 0.000))",0.26,0.02
8,"G[0,0]((death < 0.000 & LOS < 0.000))","G[0,0]((death < 0.000 & LOS < 0.000))",0.309,0.01
9,"G[0,0]((POTASSIUM < 0.000 -> Mort < 0.000))","G[0,0]((death > 0.000 -> Mort < 0.000))",0.26,0.02
10,"G[0,0]((MAGNESIUM = 0.000 & MET = 0.000))","G[0,0]((MAGNESIUM < 0.000 & MET < 0.000))",0.16,0.01
11,"G[0,0]((LOS < 0.000 -> MET = 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
12,"G[0,0]((tte = 0.000 -> y < 0.000))","G[0,0]((tte < 0.000 -> y = 0.000))",0.719,0.06
13,"G[0,0]((LOS > 0.000 -> LOS < 0.000))","G[0,0]((LOS > 0.000 -> n_evts < 0.000))",0.648,0.04
14,"G[0,0]((MET = 0.000 & MET = 0.000))","G[0,0]((CALCIUM < 0.000 & MET < 0.000))",0.16,0.01
15,"G[0,0]((MET < 0.000 & tte < 0.000))","G[0,0]((CHLORIDE > 0.000 & MET < 0.000))",0.16,0.01
16,"G[0,0]((direct = 0.000 & tte < 0.000))","G[0,0]((direct < 0.000 & O2_Flow < 0.000))",0.287,0.01
17,"G[0,0]((hr > 0.000 -> Mort = 0.000))","G[0,0]((hr > 0.000 -> Mort < 0.000))",0.308,0.01
18,"G[0,0]((direct < 0.000 -> y = 0.000))","G[0,0]((direct < 0.000 -> y < 0.000))",0.719,0.02
