,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((MET < 0.000 & y = 0.000))","G[0,0]((MET < 0.000 & y < 0.000))",0.351,0.01
1,"G[0,0]((Mort < 0.000 & y = 0.000))","G[0,0]((Mort < 0.000 & y < 0.000))",0.351,0.02
2,"G[0,0]((tte > 0.000 -> OXYGEN_SATURATION > 0.000))","G[0,0]((MET < 0.000 -> tte > 0.000))",0.319,0.01
3,"G[0,0]((ICU_Pt_Days > 0.000 -> OXYGEN_SATURATION > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 -> s24_hr < 0.000))",0.242,0.01
4,"G[0,0]((death < 0.000 & LOS < 0.000))","G[0,0]((death < 0.000 & LOS < 0.000))",0.309,0.01
5,"G[0,0]((LOS > 0.000 -> MET < 0.000))","G[0,0]((Glasgow_Coma_Scale_Total > 0.000 -> LOS > 0.000))",0.648,0.02
6,"G[0,0]((PROTIME_INR > 0.000 -> LOS > 0.000))","G[0,0]((LOS > 0.000 -> y = 0.000))",0.648,0.03
7,"G[0,0]((direct = 0.000 -> TOTAL_PROTEIN = 0.000))","G[0,0]((direct < 0.000 -> s8_edrk > 0.000))",0.271,0.01
8,"G[0,0]((LOS < 0.000 -> MET = 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
9,"G[0,0]((tte = 0.000 -> y < 0.000))","G[0,0]((tte < 0.000 -> y = 0.000))",0.719,0.06
10,"G[0,0]((LOS > 0.000 -> LOS < 0.000))","G[0,0]((LOS > 0.000 -> n_evts < 0.000))",0.648,0.04
11,"G[0,0]((LOS = 0.000 & s24_hr > 0.000))","G[0,0]((LOS < 0.000 & s24_hr < 0.000))",0.266,0.03
12,"G[0,0]((n_evts = 0.000 -> direct < 0.000))","G[0,0]((direct < 0.000 -> n_evts < 0.000))",0.677,0.01
13,"G[0,0]((MET < 0.000 & tte < 0.000))","G[0,0]((CHLORIDE > 0.000 & MET < 0.000))",0.16,0.01
14,"G[0,0]((tte > 0.000 -> TOTAL_PROTEIN = 0.000))","G[0,0]((n_evts < 0.000 -> tte > 0.000))",0.319,0.01
15,"G[0,0]((direct < 0.000 -> y = 0.000))","G[0,0]((direct < 0.000 -> y < 0.000))",0.719,0.02
16,"G[0,0]((MET < 0.000 -> Mort = 0.000))","G[0,0]((death > 0.000 -> Mort < 0.000))",0.26,0.02
17,"G[0,0]((LOS = 0.000 & n_evts = 0.000))","G[0,0]((LOS < 0.000 & n_evts < 0.000))",0.351,0.01
18,"G[0,0]((ICU_Pt_Days < 0.000 & y < 0.000))","G[0,0]((hr < 0.000 & ICU_Pt_Days < 0.000))",0.351,0.02
