,LDP Rule,Client Rule,LDP Count,Client Count
0,"((n_evts > 0.000) U[0,0] (n_evts < 0.000))","((n_evts > 0.000) U[0,0] (tte < 0.000))",0.75,0.07
1,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days < 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (s24_edrk < 0.000))",0.66,0.04
2,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))",0.91,0.04
3,"((Mort > 0.000) U[0,0] (n_evts = 0.000))","((Mort > 0.000) U[0,0] (n_evts < 0.000))",0.68,0.03
4,"((n_evts > 0.000) U[0,0] (tte > 0.000))","((n_evts > 0.000) U[0,0] (tte > 0.000))",0.75,0.02
5,"((TOTAL_BILIRUBIN = 0.000) U[0,0] (n_evts > 0.000))","((cosen < 0.000) U[0,0] (n_evts > 0.000))",0.75,0.03
6,"((death > 0.000) U[0,0] (AST_GOT < 0.000))","((death > 0.000) U[0,0] (direct < 0.000))",0.64,0.01
7,"((ICU_Pt_Days = 0.000) U[0,0] (n_edrk > 0.000))","((n_edrk > 0.000) U[0,0] (y > 0.000))",0.28,0.06
8,"((Mort > 0.000) U[0,0] (y > 0.000))","((Mort > 0.000) U[0,0] (y = 0.000))",0.91,0.05
9,"G[0,0]((Glasgow_Coma_Scale_Total > 0.000 & s8_edrk < 0.000))","G[0,0]((Glasgow_Coma_Scale_Total > 0.000 & s24_edrk > 0.000))",0.274,0.03
10,"((ICU_Pt_Days = 0.000) U[0,0] (AST_GOT < 0.000))","((ICU_Pt_Days < 0.000) U[0,0] (Resp > 0.000))",0.28,0.01
11,"((death > 0.000) U[0,0] (Mort < 0.000))","((death > 0.000) U[0,0] (Mort < 0.000))",0.64,0.01
12,"((ICU_Pt_Days > 0.000) U[0,0] (s2_edrk = 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (s2_edrk < 0.000))",0.66,0.02
13,"((TOTAL_BILIRUBIN = 0.000) U[0,0] (s2_edrk = 0.000))","((TOTAL_BILIRUBIN < 0.000) U[0,0] (y = 0.000))",0.11,0.03
14,"G[0,0]((PLATELET_COUNT < 0.000 -> PLATELET_COUNT = 0.000))","G[0,0]((cosen < 0.000 -> PLATELET_COUNT < 0.000))",0.177,0.01
15,"((LOS = 0.000) U[0,0] (n_evts < 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
16,"((Mort = 0.000) U[0,0] (y > 0.000))","((Mort < 0.000) U[0,0] (y > 0.000))",0.91,0.03
17,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))","((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))",0.66,0.02
18,"((Mort < 0.000) U[0,0] (LOS = 0.000))","((LOS < 0.000) U[0,0] (y = 0.000))",0.35,0.06
