,Rule,Percent Count
0,"((n_edrk > 0.867) U[1,1] (edrk < 42.528))",0.25
1,"((s8_hr < 0.568) U[1,1] (death < 0.748))",0.56
2,"((s8_hr < 0.432) U[1,1] (n_evts > 0.834))",0.75
3,"((s8_hr < 0.564) U[1,1] (Sgy < 0.820))",0.21
4,"((n_edrk > 0.808) U[1,1] (direct = 0.871))",0.21
5,"((n_edrk > 0.816) U[1,1] (Sgy < 0.793))",0.21
6,"((s8_hr < 0.607) U[1,1] (direct = 0.832))",0.21
7,"((PROTIME_INR = 3.915) U[1,1] (Sgy > 0.839))",0.09
8,"((PROTIME_INR = 4.232) U[1,1] (death < 0.684))",0.56
9,"F[1,1]((death < 0.793 -> s24_hr = 0.692))",0.16129032258064516
10,"((n_edrk > 0.855) U[1,1] (LOS > 86.262))",0.46
11,"((PROTIME_INR = 3.898) U[1,1] (Mort > 0.578))",0.68
12,"((PROTIME_INR = 4.029) U[1,1] (direct < 0.852))",0.21
13,"((n_edrk > 0.809) U[1,1] (MET < 0.856))",0.23
14,"((n_edrk > 0.837) U[1,1] (n_evts = 4.052))",0.21
15,"((s8_hr < 0.612) U[1,1] (ICU_Pt_Days = 98.475))",0.28
16,"((n_edrk > 0.798) U[1,1] (ALT_GPT = 329.356))",0.21
17,"((s8_hr < 0.575) U[1,1] (Mort < 0.818))",0.25
18,"((s8_hr < 0.600) U[1,1] (Sgy = 0.771))",0.21
19,"((s8_hr < 0.701) U[1,1] (LOS < 87.020))",0.35
20,"((PROTIME_INR = 4.413) U[1,1] (O2_Flow > 6.475))",0.5
21,"((n_edrk > 0.901) U[1,1] (death = 0.787))",0.56
22,"((s8_hr < 0.431) U[1,1] (LOS = 92.452))",0.35
23,"((PROTIME_INR = 4.177) U[1,1] (n_evts < 4.016))",0.2
24,"((s8_hr < 0.579) U[1,1] (Mort > 0.565))",0.68
25,"((n_edrk > 0.881) U[1,1] (n_evts < 4.143))",0.21
26,"((n_edrk > 0.819) U[0,1] (y > 0.180))",0.91
27,"((PROTIME_INR = 4.273) U[1,1] (LOS > 83.988))",0.46
28,"((PROTIME_INR = 4.372) U[1,1] (edrk < 41.715))",0.25
29,"((PROTIME_INR = 3.979) U[1,1] (Sgy = 0.852))",0.09
30,"((n_edrk > 0.818) U[1,1] (death > 0.640))",0.64
31,"((n_edrk > 0.810) U[1,1] (MET > 0.671))",0.64
32,"((s8_hr < 0.670) U[1,1] (tte < 25.285))",0.75
33,"((PROTIME_INR = 4.037) U[1,1] (ICU_Pt_Days > 64.858))",0.66
34,"((PROTIME_INR = 4.152) U[1,1] (direct > 0.696))",0.62
35,"((n_edrk > 0.879) U[1,1] (LOS < 86.639))",0.35
36,"((s8_hr < 0.663) U[1,1] (n_evts = 3.828))",0.21
37,"((s8_hr < 0.671) U[1,1] (MET < 0.845))",0.23
38,"((n_edrk > 0.839) U[1,1] (Sgy > 0.832))",0.21
39,"((s8_hr < 0.669) U[1,1] (ALT_GPT = 320.550))",0.21
40,"((PROTIME_INR = 4.062) U[1,1] (y < 0.878))",0.53
41,"((PROTIME_INR = 4.445) U[1,1] (tte > 70.223))",0.18
42,"((PROTIME_INR = 4.279) U[1,1] (death > 0.627))",0.64
43,"G[1,1]((CO2 < 39.099 -> s8_edrk < 0.689))",0.14583333333333334
44,"((s8_hr < 0.566) U[1,1] (edrk < 42.911))",0.25
45,"((n_edrk > 0.815) U[1,1] (Mort < 0.856))",0.25
46,"((PROTIME_INR = 4.078) U[1,1] (Mort < 0.836))",0.25
47,"((PROTIME_INR = 4.167) U[1,1] (ALT_GPT = 325.714))",0.09
48,"((n_edrk > 0.878) U[1,1] (n_evts > 1.763))",0.75
49,"((PROTIME_INR = 4.394) U[1,1] (MET > 0.537))",0.64
50,"((n_edrk > 0.810) U[1,1] (ICU_Pt_Days > 58.566))",0.66
51,"((s8_hr < 0.593) U[1,1] (Glasgow_Coma_Scale_Total > 14.434))",0.28
52,"((s8_hr < 0.629) U[1,1] (MET = 0.850))",0.23
53,"((s8_hr < 0.705) U[1,1] (y = 0.840))",0.53
54,"((s8_hr < 0.726) U[0,1] (y > 0.180))",0.91
55,"((PROTIME_INR = 4.084) U[0,1] (y > 0.180))",0.91
56,"((PROTIME_INR = 3.860) U[1,1] (direct = 0.852))",0.21
57,"((n_edrk > 0.803) U[1,1] (MET = 0.882))",0.23
58,"((n_edrk > 0.846) U[1,1] (y = 0.864))",0.53
59,"((n_edrk > 0.894) U[1,1] (tte < 24.352))",0.75
60,"((n_edrk > 0.822) U[1,1] (Sgy = 0.792))",0.21
61,"((n_edrk > 0.843) U[1,1] (tte > 68.026))",0.21
62,"F[1,1]((death < 0.830 -> tte < 72.906))",0.26881720430107525
63,"((PROTIME_INR = 4.233) U[1,1] (Glasgow_Coma_Scale_Total > 14.392))",0.28
64,"((n_edrk > 0.878) U[1,1] (Mort = 0.831))",0.25
65,"((s8_hr < 0.610) U[1,1] (O2_Flow > 7.520))",0.5
66,"G[1,1]((PCO2 < 69.235 | hr < 252.878))",0.36363636363636365
67,"((PROTIME_INR = 4.179) U[1,1] (Sgy < 0.843))",0.09
68,"((n_edrk > 0.868) U[1,1] (O2_Flow > 7.446))",0.5
69,"((PROTIME_INR = 4.367) U[1,1] (Mort = 0.837))",0.25
70,"((PROTIME_INR = 3.818) U[1,1] (MET < 0.876))",0.23
71,"((s8_hr < 0.570) U[1,1] (ICU_Pt_Days < 103.355))",0.28
72,"((PROTIME_INR = 4.236) U[1,1] (LOS = 96.348))",0.35
73,"F[1,1]((TOTAL_BILIRUBIN > 8.772 & AF > 0.779))",0.21212121212121213
74,"((s8_hr < 0.684) U[1,1] (death = 0.759))",0.56
75,"((s8_hr < 0.614) U[1,1] (Sgy > 0.800))",0.21
76,"((s8_hr < 0.795) U[1,1] (n_evts < 3.918))",0.21
77,"((s8_hr < 0.725) U[1,1] (y < 0.906))",0.53
78,"((PROTIME_INR = 4.395) U[1,1] (LOS < 88.727))",0.35
