,Rule,Percent Count
0,"G[0,1](LOS > 4.322)",0.5497967479674797
1,y < 0.150,0.967
2,ICU_Pt_Days < 2.452,0.848
3,LOS > 3.276,0.846
4,tte > -0.100,0.9
5,"G[0,1](ICU_Pt_Days < 3.097)",0.6111111111111112
6,y = 0.548,1.0
7,"F[0,1](PARTIAL_THROMBOPLASTIN_TIME > 31.800)",0.12637913741223672
8,"G[0,1](LOS < 6.758)",0.7505050505050505
9,y > 0.063,0.981
10,Mort > 0.036,0.863
11,Mort < 0.232,0.808
12,s24_hr < 0.001,0.61
13,n_evts > 0.098,0.959
14,"F[0,1](ICU_Pt_Days < 2.362)",0.3466933867735471
15,"F[0,1](LOS < 8.370)",0.32965931863727455
16,death > 0.030,0.876
17,n_evts < 0.290,0.956
18,ICU_Pt_Days > 0.382,0.857
19,"G[0,1](Mort > 0.074)",0.516260162601626
20,LOS < 6.965,0.885
21,"G[0,1](Mort < 0.518)",0.5626262626262626
22,"G[0,1](ICU_Pt_Days > 0.808)",0.5264227642276422
