Client,Num Queries
1,146
2,159
3,141
4,141
5,162
6,98
7,152
9,152
10,95
11,128
12,153
13,136
14,105
15,158
16,108
17,155
18,138
19,161
20,137
21,177
22,167
23,177
24,89
25,162
26,162
27,150
28,141
29,80
30,156
31,164
32,162
33,143
34,152
35,101
36,135
37,168
38,171
39,128
40,164
41,153
42,168
43,164
44,146
45,153
46,131
47,149
48,135
49,149
50,162
51,108
52,126
53,150
54,146
55,137
56,104
57,138
58,148
59,149
60,130
61,85
62,150
63,158
64,111
65,126
66,107
67,126
68,144
69,146
70,168
71,147
72,156
73,64
74,125
75,81
76,135
77,144
78,146
79,171
80,162
82,131
83,126
84,141
85,149
86,136
87,130
88,135
89,138
90,155
91,122
92,171
93,162
94,167
95,144
96,135
97,141
98,156
99,165
100,167
101,168
102,132
103,135
104,159
105,171
106,158
107,108
108,162
109,155
110,125
111,146
112,155
113,135
114,167
115,171
116,105
117,137
118,155
119,146
120,143
121,153
122,162
123,150
124,99
125,153
126,29
127,126
128,117
129,143
130,106
131,99
132,135
133,125
134,92
135,149
136,95
137,153
138,162
139,162
140,177
141,152
142,159
143,140
144,156
145,171
146,149
147,150
148,159
149,111
150,155
151,138
152,162
153,129
154,162
155,120
156,155
157,147
158,171
159,149
160,153
161,134
162,152
163,162
164,158
165,112
166,165
167,150
168,150
169,120
170,146
171,131
172,150
173,121
174,158
175,147
176,131
177,140
178,141
179,150
180,125
181,146
182,158
183,158
184,146
185,93
186,171
187,143
188,92
189,162
190,161
191,153
192,153
193,135
194,158
195,171
196,141
197,129
198,122
199,149
200,167
201,152
202,149
203,177
204,141
205,159
206,70
207,126
208,162
209,144
210,162
211,129
212,132
213,158
214,153
215,135
216,146
217,153
218,159
219,120
220,111
221,171
222,162
223,158
224,141
225,158
226,97
227,147
228,130
229,110
231,92
232,167
233,119
234,158
235,111
236,137
237,158
238,141
239,167
240,177
241,137
242,153
243,150
244,146
245,63
246,167
247,150
248,177
249,146
250,159
251,150
253,91
254,144
255,111
256,135
257,158
258,131
259,116
260,152
261,116
262,137
263,99
264,171
265,134
266,165
267,152
268,158
269,78
270,140
271,152
272,135
273,162
274,146
275,149
276,171
277,171
278,155
279,149
280,165
281,107
