,Rule,Percent Count
0,"((lds < 3.385) U[1,1] (ICU_Pt_Days > 86.431))",0.66
1,"((LOS < 89.656) U[1,1] (y < 0.874))",0.53
2,"((ICU_Pt_Days > 46.147) U[1,1] (ICU_Pt_Days < 105.253))",0.66
3,"((LOS > 90.715) U[1,1] (y < 0.866))",0.53
4,"((ICU_Pt_Days > 84.828) U[1,1] (tte < 47.902))",0.75
5,"((ICU_Pt_Days = 86.381) U[1,1] (Sgy > 0.818))",0.28
6,"G[1,1]((AST_GOT = 199.093 | CALCIUM < 12.316))",0.1590909090909091
7,"((Mort = 0.795) U[1,1] (Glasgow_Coma_Scale_Total > 14.403))",0.28
8,"G[1,1]((AST_GOT = 205.939 | n_edrk = 0.949))",0.18181818181818182
9,"((LOS = 99.765) U[1,1] (n_evts < 4.060))",0.35
10,"((lds < 3.996) U[1,1] (tte > 57.762))",0.25
11,"((Mort = 0.761) U[0,1] (y > 0.195))",0.91
12,"((LOS > 93.588) U[1,1] (ICU_Pt_Days > 82.556))",0.66
13,"((Mort = 0.877) U[1,1] (death = 0.804))",0.56
14,"((OXYGEN_SATURATION > 97.161) U[1,1] (death > 0.496))",0.64
15,"((LOS > 93.426) U[1,1] (Glasgow_Coma_Scale_Total > 14.307))",0.46
16,"((ICU_Pt_Days > 74.271) U[1,1] (tte > 73.438))",0.66
17,"((ICU_Pt_Days = 98.493) U[1,1] (tte < 56.075))",0.75
18,"((Mort = 0.865) U[1,1] (Mort = 0.863))",0.25
19,"((Mort = 0.869) U[1,1] (y = 0.889))",0.53
20,"((ICU_Pt_Days = 90.290) U[1,1] (death > 0.739))",0.64
21,"((Mort = 0.826) U[1,1] (death > 0.745))",0.64
22,"((LOS < 90.008) U[1,1] (direct = 0.884))",0.35
23,"((ICU_Pt_Days > 65.932) U[1,1] (n_evts = 4.180))",0.66
24,"((Mort = 0.819) U[1,1] (MET > 0.667))",0.64
25,"((LOS > 86.762) U[1,1] (y = 0.834))",0.53
26,"((LOS > 82.159) U[1,1] (MET > 0.694))",0.64
27,"((LOS < 89.633) U[1,1] (LOS = 108.819))",0.35
28,"((LOS = 101.539) U[1,1] (direct > 0.778))",0.62
29,"((LOS > 77.788) U[1,1] (death = 0.807))",0.56
30,"((LOS > 93.615) U[1,1] (n_evts = 3.828))",0.46
31,"((OXYGEN_SATURATION > 95.491) U[0,1] (y > 0.167))",0.91
32,"((ICU_Pt_Days = 96.429) U[1,1] (direct < 0.857))",0.28
33,"((OXYGEN_SATURATION > 95.899) U[1,1] (ICU_Pt_Days < 94.120))",0.28
34,"((Mort = 0.904) U[1,1] (ICU_Pt_Days < 93.917))",0.28
35,"((ICU_Pt_Days > 80.540) U[1,1] (Mort > 0.782))",0.68
36,"((LOS < 94.990) U[1,1] (ICU_Pt_Days > 81.914))",0.66
37,"((ICU_Pt_Days = 86.448) U[1,1] (death < 0.808))",0.56
38,"((LOS > 86.822) U[1,1] (srr = 0.873))",0.46
39,"((lds < 3.915) U[1,1] (n_evts = 3.617))",0.25
40,"((ICU_Pt_Days = 96.745) U[1,1] (Mort = 0.772))",0.28
41,"((OXYGEN_SATURATION > 97.313) U[1,1] (LOS > 70.271))",0.46
42,"((Mort = 0.875) U[1,1] (death < 0.694))",0.56
43,"((ICU_Pt_Days > 47.162) U[1,1] (MET > 0.797))",0.66
44,"((LOS > 98.038) U[1,1] (direct = 0.898))",0.46
45,"((LOS > 89.461) U[1,1] (direct < 0.801))",0.46
46,"((LOS = 107.830) U[1,1] (tte = 61.069))",0.75
47,"G[1,1]((WHITE_BLOOD_CELL_COUNT < 21.802 | n_edrk = 0.924))",0.18181818181818182
48,"((Mort = 0.796) U[1,1] (direct > 0.543))",0.62
49,"G[1,1]((TROPONIN_I = 20.827 -> LACTIC_ACID < 4.314))",0.041666666666666664
50,"((ICU_Pt_Days = 97.731) U[1,1] (n_evts < 4.106))",0.28
51,"((Mort = 0.680) U[1,1] (Mort > 0.867))",0.68
52,"((OXYGEN_SATURATION > 97.645) U[1,1] (Sgy > 0.876))",0.08
53,"((Mort = 0.853) U[1,1] (n_evts < 4.137))",0.25
54,"((ICU_Pt_Days = 90.962) U[1,1] (death = 0.770))",0.56
55,"((LOS = 96.704) U[1,1] (death < 0.828))",0.56
56,"((lds < 4.013) U[1,1] (tte < 12.600))",0.75
57,"((ICU_Pt_Days > 52.054) U[1,1] (ICU_Pt_Days > 105.248))",0.66
58,"((OXYGEN_SATURATION > 96.794) U[1,1] (y < 0.840))",0.53
59,"((lds < 4.500) U[1,1] (Glasgow_Coma_Scale_Total > 14.423))",0.28
60,"((LOS = 100.584) U[1,1] (death > 0.735))",0.64
61,"((LOS < 101.688) U[1,1] (death > 0.657))",0.64
62,"((LOS < 91.823) U[1,1] (MET > 0.722))",0.64
63,"((LOS = 96.152) U[1,1] (MET > 0.739))",0.64
64,"((LOS = 87.622) U[1,1] (srr = 0.746))",0.35
65,"((Mort = 0.874) U[1,1] (ICU_Pt_Days > 76.595))",0.66
66,"((LOS < 39.871) U[1,1] (LOS > 100.605))",0.46
67,"((ICU_Pt_Days = 99.812) U[1,1] (LOS = 91.362))",0.35
68,"((ICU_Pt_Days = 95.419) U[0,1] (y > 0.256))",0.91
69,"((Mort = 0.878) U[1,1] (LOS > 92.364))",0.46
70,"((LOS = 85.472) U[1,1] (Mort > 0.714))",0.68
71,"((ICU_Pt_Days > 52.689) U[1,1] (Sgy > 0.796))",0.66
72,"((Mort = 0.842) U[1,1] (tte > 61.130))",0.25
73,"((ICU_Pt_Days > 60.656) U[1,1] (Mort < 0.819))",0.66
74,"((OXYGEN_SATURATION > 95.961) U[1,1] (MET > 0.591))",0.64
75,"((Mort = 0.875) U[1,1] (Sgy > 0.838))",0.25
76,"((LOS < 98.552) U[1,1] (death = 0.753))",0.56
77,"((LOS > 99.294) U[0,1] (y > 0.593))",0.91
78,"((ICU_Pt_Days > 78.981) U[1,1] (LOS = 96.467))",0.66
79,"((LOS > 89.218) U[1,1] (death > 0.713))",0.64
80,"((LOS < 95.217) U[1,1] (edrk < 45.664))",0.35
81,"((LOS = 98.662) U[1,1] (direct < 0.819))",0.35
82,"((Mort = 0.877) U[1,1] (srr = 0.883))",0.25
83,"((LOS = 89.105) U[1,1] (edrk < 45.099))",0.35
84,"((OXYGEN_SATURATION > 98.345) U[1,1] (death < 0.765))",0.56
85,"((LOS = 86.194) U[1,1] (LOS = 102.066))",0.35
86,"F[1,1]((srr > 0.908 & ALKALINE_PHOSPHATASE > 361.947))",0.10101010101010101
87,"((ICU_Pt_Days > 65.772) U[1,1] (direct = 0.796))",0.66
88,"((ICU_Pt_Days > 87.262) U[1,1] (death < 0.793))",0.66
89,"((ICU_Pt_Days > 77.057) U[1,1] (death > 0.812))",0.66
90,"((lds < 4.112) U[1,1] (y = 0.820))",0.53
91,"((ICU_Pt_Days = 88.807) U[1,1] (Mort < 0.807))",0.28
92,"((ICU_Pt_Days > 68.970) U[1,1] (Glasgow_Coma_Scale_Total > 14.377))",0.66
93,"((ICU_Pt_Days > 31.360) U[1,1] (ICU_Pt_Days = 91.250))",0.66
