,Rule,Percent Count
0,PCO2 < 39.500,0.097
1,Mort > 0.036,0.863
2,"G[0,1](direct > 0.078)",0.6067073170731707
3,TROPONIN_I < 0.060,0.281
4,"F[0,1](n_evts = 0.432)",0.10728476821192053
5,MET < 0.402,0.708
6,LOS < 6.965,0.885
7,"G[0,1](MET < 0.511)",0.4797979797979798
8,MAGNESIUM < 2.055,0.447
9,SBP < 147.669,0.73
10,LACTIC_ACID < 1.300,0.169
11,"G[0,1](ALKALINE_PHOSPHATASE < 90.571)",0.16161616161616163
12,"G[0,1](LOS < 6.758)",0.7505050505050505
13,"G[0,1](death > 0.041)",0.592479674796748
14,s24_hr < 0.001,0.61
15,TOTAL_PROTEIN > 6.300,0.292
16,"F[0,1](af > 0.177)",0.29087261785356067
17,"F[0,1](Mort < 0.085)",0.32364729458917835
18,AST_GOT > 27.000,0.265
19,Resp > 16.810,0.754
20,"G[0,1](O2_Flow < 4.044)",0.501010101010101
21,CO2 > 24.694,0.524
22,PHOSPHORUS < 3.500,0.443
23,AF < 0.283,0.701
24,"G[0,1](ICU_Pt_Days < 3.097)",0.6111111111111112
25,y > 0.063,0.981
26,SpO2 > 92.385,0.682
27,n_edrk < 0.920,0.914
28,"G[0,1](MET > 0.012)",0.43597560975609756
29,direct > 0.048,0.908
30,"G[0,1](Temp > 36.288)",0.5467479674796748
31,direct < 0.258,0.88
32,CHLORIDE < 103.879,0.543
33,s8_hr < 0.001,0.553
34,s2_edrk < 0.001,0.613
35,y < 0.150,0.9992895433701479
36,MAGNESIUM > 1.972,0.494
37,BLOOD_UREA_NITROGEN < 20.667,0.657
38,"G[0,1](Glasgow_Coma_Scale_Total > 14.513)",0.5416666666666666
39,"G[0,1](CALCIUM < 8.982)",0.36666666666666664
40,ALBUMIN > 3.200,0.263
41,SpO2 < 96.986,0.635
42,PARTIAL_THROMBOPLASTIN_TIME > 31.800,0.327
43,"G[0,1](LOS > 4.322)",0.5497967479674797
44,"G[0,1](n_evts < 0.567)",0.8707070707070707
45,CREATININE < 1.082,0.675
46,death < 0.271,0.865
47,"G[0,1](SBP > 104.601)",0.5609756097560976
48,"G[0,1](ALKALINE_PHOSPHATASE > 85.269)",0.14634146341463414
49,"G[0,1](death < 0.397)",0.6666666666666666
50,PLATELET_COUNT < 210.614,0.515
51,"G[0,1](CHLORIDE < 103.761)",0.3595959595959596
52,HEMOGLOBIN > 10.282,0.572
53,TOTAL_PROTEIN < 6.300,0.297
54,"G[0,1](Resp > 16.661)",0.6097560975609756
55,"G[0,1](AST_GOT < 26.692)",0.13333333333333333
56,"G[0,1](Mort > 0.074)",0.516260162601626
57,"G[0,1](AST_GOT > 26.286)",0.14532520325203252
58,LACTIC_ACID > 1.300,0.16
59,SODIUM < 137.081,0.574
60,"G[0,1](ALBUMIN > 3.213)",0.1524390243902439
61,PLATELET_COUNT > 204.687,0.565
62,"G[0,1](ALT_GPT > 20.522)",0.14126016260162602
63,Temp < 36.991,0.714
64,BLOOD_UREA_NITROGEN > 17.148,0.588
65,cosen < -1.624,0.767
66,ALT_GPT > 22.000,0.257
67,"G[0,1](BLOOD_UREA_NITROGEN < 20.375)",0.4131313131313131
68,Pulse < 93.390,0.788
69,"G[0,1](Pulse < 94.043)",0.6515151515151515
70,s2_hr < 0.001,0.348
71,"G[0,1](SpO2 < 96.362)",0.4767676767676768
72,SBP > 106.157,0.736
73,PROTIME_INR < 1.200,0.39
74,"G[0,1](ALT_GPT < 21.948)",0.13333333333333333
75,"G[0,1](SBP < 137.991)",0.5646464646464646
76,GLUCOSE > 114.451,0.499
77,TOTAL_BILIRUBIN > 0.700,0.286
78,CHLORIDE > 102.181,0.533
79,Resp < 19.932,0.74
80,HEMOGLOBIN < 10.748,0.585
81,"G[0,1](CO2 < 25.714)",0.34444444444444444
82,death > 0.030,0.876
83,OXYGEN_SATURATION < 94.700,0.127
84,CREATININE > 0.956,0.612
85,"G[0,1](Sgy > 0.000)",0.01016260162601626
86,ALT_GPT < 22.000,0.256
87,"G[0,1](Sgy < 0.000)",0.010101010101010102
88,ALKALINE_PHOSPHATASE > 91.000,0.259
89,OXYGEN_SATURATION > 94.700,0.128
90,O2_Flow < 3.107,0.742
91,hr < 94.223,0.847
92,ICU_Pt_Days < 2.452,0.848
93,Sgy < 0.000,0.096
94,LOS > 3.276,0.846
95,ICU_Pt_Days > 0.382,0.857
96,TROPONIN_I > 0.060,0.279
97,"G[0,1](ALBUMIN < 3.344)",0.13636363636363635
98,"G[0,1](y < 0.539)",0.8505050505050505
99,af < 0.255,0.586
100,ALKALINE_PHOSPHATASE < 91.000,0.275
101,PHOSPHORUS > 3.380,0.458
102,CO2 < 25.836,0.499
103,"G[0,1](SpO2 > 91.860)",0.49898373983739835
104,Temp > 36.356,0.71
105,PCO2 > 39.500,0.113
106,"F[0,1](LOS < 8.370)",0.32965931863727455
