Client,Num Queries
1,1006
2,1054
3,981
4,973
5,1084
6,796
7,1027
9,1033
10,787
11,925
12,1051
13,959
14,843
15,1054
16,853
17,1033
18,994
19,1054
20,973
21,1138
22,1081
23,1138
24,782
25,1084
26,1084
27,1036
28,985
29,517
30,1048
31,1081
32,1084
33,1000
34,1033
35,790
36,968
37,1105
38,1111
39,937
40,1081
41,1024
42,1105
43,1075
44,1006
45,1027
46,940
47,1021
48,967
49,1021
50,1084
51,863
52,929
53,1027
54,1006
55,970
56,798
57,974
58,991
59,1015
60,923
61,729
62,1030
63,1048
64,871
65,938
66,862
67,941
68,1001
69,1006
70,1111
71,1030
72,1048
73,448
74,895
75,752
76,967
77,1000
78,1006
79,1111
80,1084
82,946
83,916
84,994
85,1015
86,950
87,913
88,961
89,994
90,1033
91,887
92,1105
93,1084
94,1081
95,1001
96,944
97,988
98,1063
99,1090
100,1081
101,1111
102,952
103,963
104,1063
105,1111
106,1054
107,842
108,1084
109,1033
110,926
111,1000
112,1048
113,967
114,1081
115,1111
116,797
117,973
118,1048
119,997
120,997
121,1051
122,1084
123,1036
124,788
125,1027
126,259
127,913
128,883
129,997
130,841
131,780
132,958
133,906
134,736
135,1021
136,655
137,1030
138,1084
139,1084
140,1138
141,1027
142,1054
143,973
144,1063
145,1111
146,1021
147,1030
148,1063
149,818
150,1033
151,961
152,1084
153,947
154,1078
155,884
156,1033
157,1027
158,1111
159,1021
160,1051
161,938
162,1033
163,1078
164,1054
165,816
166,1090
167,1036
168,1036
169,914
170,1006
171,934
172,974
173,897
174,1054
175,1030
176,934
177,979
178,1003
179,1024
180,912
181,1006
182,1054
183,1054
184,1006
185,768
186,1102
187,994
188,718
189,1084
190,1054
191,1030
192,1051
193,913
194,1048
195,1111
196,1000
197,938
198,904
199,1015
200,1081
201,1033
202,1021
203,1138
204,1003
205,1063
206,558
207,934
208,1078
209,1000
210,1066
211,947
212,940
213,1039
214,1051
215,958
216,1009
217,1027
218,1078
219,907
220,881
221,1111
222,1075
223,1048
224,1003
225,1054
226,808
227,1006
228,925
229,843
231,722
232,1081
233,885
234,1054
235,852
236,973
237,1054
238,1003
239,1081
240,1138
241,973
242,1042
243,1030
244,1006
245,420
246,1081
247,1036
248,1138
249,1000
250,1063
251,1030
253,760
254,1018
255,848
256,974
257,1048
258,937
259,874
260,1018
261,884
262,973
263,783
264,1102
265,946
266,1090
267,1027
268,1054
269,719
270,971
271,1021
272,940
273,1084
274,991
275,1021
276,1111
277,1111
278,1042
279,1021
280,1084
281,801
282,973
284,1063
285,1001
286,1033
287,913
288,1108
289,875
290,944
291,893
292,1075
293,1063
294,973
295,958
296,994
297,1084
298,1003
299,1036
300,1000
301,1048
302,1027
303,1048
304,940
305,408
306,1039
307,1060
308,928
309,884
310,1033
311,776
312,863
313,904
314,1081
315,937
316,1084
317,937
318,1009
319,928
320,1048
321,1081
