Client,Num Queries
1,100
2,113
3,95
4,95
5,113
6,58
7,103
9,106
10,55
11,79
12,104
13,90
14,65
15,109
16,68
17,109
18,92
19,112
20,91
21,128
22,118
23,128
24,49
25,113
26,113
27,104
28,95
29,52
30,107
31,115
32,113
33,97
34,106
35,55
36,95
37,119
38,122
39,82
40,115
41,104
42,119
43,115
44,100
45,107
46,85
47,100
48,89
49,100
50,113
51,68
52,86
53,104
54,100
55,91
56,55
57,98
58,102
59,100
60,84
61,39
62,104
63,109
64,71
65,86
66,67
67,86
68,104
69,100
70,119
71,101
72,107
73,42
74,76
75,41
76,89
77,98
78,100
79,122
80,113
82,85
83,80
84,95
85,100
86,90
87,81
88,89
89,92
90,109
91,76
92,122
93,113
94,118
95,104
96,89
97,95
98,110
99,119
100,118
101,119
102,86
103,89
104,113
105,122
106,109
107,68
108,113
109,109
110,85
111,100
112,106
113,89
114,118
115,122
116,59
117,91
118,106
119,100
120,97
121,104
122,113
123,104
124,53
125,107
126,7
127,80
128,71
129,97
130,66
131,59
132,86
133,79
134,52
135,100
136,58
137,107
138,113
139,113
140,128
141,103
142,113
143,94
144,110
145,122
146,100
147,104
148,113
149,65
150,109
151,89
152,113
153,89
154,113
155,80
156,109
157,101
158,122
159,100
160,104
161,88
162,106
163,113
164,109
165,66
166,119
167,104
168,104
169,80
170,100
171,85
172,104
173,81
174,109
175,101
176,85
177,94
178,95
179,104
180,85
181,100
182,109
183,109
184,100
185,53
186,122
187,94
188,52
189,113
190,112
191,104
192,104
193,89
194,109
195,122
196,95
197,89
198,76
199,100
200,118
201,106
202,100
203,128
204,95
205,113
206,39
207,80
208,113
209,95
210,113
211,89
212,86
213,109
214,104
215,86
216,97
217,107
218,110
219,74
220,71
221,122
222,113
223,109
224,95
225,109
226,57
227,98
228,84
229,64
231,46
232,118
233,79
234,109
235,65
236,91
237,109
238,95
239,118
240,128
241,91
242,104
243,104
244,100
245,41
246,118
247,104
248,128
249,100
250,113
251,104
253,51
254,95
255,71
256,95
257,109
258,85
259,76
260,103
261,76
262,91
263,59
264,122
265,88
266,119
267,103
268,109
269,38
270,100
271,103
272,89
273,113
274,100
275,100
276,122
277,122
278,106
279,100
280,116
281,67
282,91
284,110
285,104
286,104
287,76
288,124
289,76
290,94
291,75
292,116
293,113
294,91
295,86
296,94
297,113
298,95
299,104
300,97
301,109
302,106
303,107
304,82
305,36
306,107
307,115
308,77
309,80
310,109
311,61
312,74
313,73
314,115
