,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((Pulse = 0.000 -> ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 -> Pulse > 0.000))",0.292,0.01
1,"G[0,0]((LOS < 0.000 & s24_hr = 0.000))","G[0,0]((LOS < 0.000 & s24_hr < 0.000))",0.266,0.03
2,"G[0,0]((LOS > 0.000 -> LOS < 0.000))","G[0,0]((LOS > 0.000 -> n_evts < 0.000))",0.648,0.04
3,"G[0,0]((LOS < 0.000 -> LOS > 0.000))","G[0,0]((n_evts < 0.000 -> LOS > 0.000))",0.648,1.0
4,"G[0,0]((ICU_Pt_Days > 0.000 -> ICU_Pt_Days = 0.000))","G[0,0]((ICU_Pt_Days > 0.000 -> s2_edrk < 0.000))",0.292,0.02
5,"G[0,0]((Mort > 0.000 -> ICU_Pt_Days = 0.000))","G[0,0]((Mort > 0.000 -> y < 0.000))",0.292,0.03
6,"G[0,0]((Mort > 0.000 -> LOS > 0.000))","G[0,0]((LOS > 0.000 -> Mort > 0.000))",0.648,0.01
7,"G[0,0]((ICU_Pt_Days > 0.000 -> LOS = 0.000))","G[0,0]((LOS < 0.000 -> Temp > 0.000))",0.242,0.02
8,"G[0,0]((direct = 0.000 -> ICU_Pt_Days = 0.000))","G[0,0]((direct < 0.000 -> ICU_Pt_Days < 0.000))",0.292,0.02
9,"G[0,0]((y > 0.000 -> n_evts > 0.000))","G[0,0]((n_evts > 0.000 -> y = 0.000))",0.231,0.03
10,"G[0,0]((s2_edrk < 0.000 -> Mort > 0.000))","G[0,0]((Mort > 0.000 -> y < 0.000))",0.231,0.03
11,"G[0,0]((MET = 0.000 -> ICU_Pt_Days > 0.000))","G[0,0]((edrk > 0.000 -> MET < 0.000))",0.242,0.02
12,"G[0,0]((Mort < 0.000 -> Mort = 0.000))","G[0,0]((lds < 0.000 -> Mort < 0.000))",0.26,0.02
13,"G[0,0]((s2_edrk < 0.000 -> LOS < 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
14,"G[0,0]((ALT_GPT > 0.000 -> y > 0.000))","G[0,0]((ALT_GPT > 0.000 -> y = 0.000))",0.088,0.02
15,"G[0,0]((LOS < 0.000 -> LOS < 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
16,"G[0,0]((LOS < 0.000 -> LOS = 0.000))","G[0,0]((cosen < 0.000 -> LOS < 0.000))",0.229,0.02
17,"G[0,0]((y = 0.000 -> Mort = 0.000))","G[0,0]((Mort > 0.000 -> y < 0.000))",0.719,0.03
18,"G[0,0]((ICU_Pt_Days = 0.000 -> ICU_Pt_Days < 0.000))","G[0,0]((edrk < 0.000 -> ICU_Pt_Days < 0.000))",0.292,0.02
19,"G[0,0]((ICU_Pt_Days < 0.000 -> ALBUMIN < 0.000))","G[0,0]((ICU_Pt_Days < 0.000 -> Temp < 0.000))",0.292,0.01
20,"G[0,0]((Mort = 0.000 -> LOS < 0.000))","G[0,0]((LOS < 0.000 -> Mort < 0.000))",0.26,0.01
21,"G[0,0]((Mort > 0.000 -> LOS = 0.000))","G[0,0]((MET > 0.000 -> Mort > 0.000))",0.231,0.03
22,"G[0,0]((y = 0.000 -> dfa > 0.000))","G[0,0]((O2_Flow > 0.000 -> y = 0.000))",0.719,0.03
23,"G[0,0]((tte = 0.000 -> LOS > 0.000))","G[0,0]((n_evts < 0.000 -> LOS > 0.000))",0.648,1.0
24,"G[0,0]((LOS > 0.000 & LOS < 0.000))","G[0,0]((LOS > 0.000 & Mort < 0.000))",0.266,0.01
25,"G[0,0]((ICU_Pt_Days < 0.000 & ICU_Pt_Days = 0.000))","G[0,0]((hr < 0.000 & ICU_Pt_Days < 0.000))",0.234,0.02
26,"G[0,0]((Mort = 0.000 -> LOS = 0.000))","G[0,0]((LOS < 0.000 -> Mort < 0.000))",0.26,0.01
27,"G[0,0]((s2_edrk < 0.000 -> n_evts > 0.000))","G[0,0]((n_evts > 0.000 -> SBP < 0.000))",0.231,0.02
28,"G[0,0]((cosen < 0.000 & s24_hr = 0.000))","G[0,0]((LOS < 0.000 & s24_hr < 0.000))",0.191,0.03
29,"G[0,0]((n_evts > 0.000 -> dfa > 0.000))","G[0,0]((dfa > 0.000 -> n_evts < 0.000))",0.231,0.03
30,"G[0,0]((ICU_Pt_Days < 0.000 & LOS = 0.000))","G[0,0]((ICU_Pt_Days < 0.000 & LOS < 0.000))",0.266,0.01
31,"G[0,0]((LOS = 0.000 -> dfa > 0.000))","G[0,0]((dfa > 0.000 -> s24_edrk > 0.000))",0.229,0.03
32,"G[0,0]((n_evts = 0.000 -> PARTIAL_THROMBOPLASTIN_TIME = 0.000))","G[0,0]((BLOOD_UREA_NITROGEN > 0.000 -> n_evts < 0.000))",0.677,0.02
33,"G[0,0]((Mort < 0.000 -> LOS > 0.000))","G[0,0]((LOS < 0.000 -> Mort > 0.000))",0.648,0.01
34,"G[0,0]((n_evts = 0.000 -> dfa > 0.000))","G[0,0]((dfa > 0.000 -> n_evts < 0.000))",0.677,0.03
35,"G[0,0]((LOS < 0.000 -> n_evts > 0.000))","G[0,0]((n_evts < 0.000 -> LOS > 0.000))",0.231,1.0
36,"G[0,0]((s2_edrk < 0.000 -> ICU_Pt_Days < 0.000))","G[0,0]((edrk < 0.000 -> ICU_Pt_Days < 0.000))",0.292,0.02
