,Rule,Percent Count
0,"((y > 0.752) U[1,1] (ICU_Pt_Days > 73.861))",0.91
1,"((n_evts = 4.332) U[1,1] (CHLORIDE < 134.390))",0.26
2,"((death > 0.604) U[1,1] (Mort < 0.781))",0.64
3,"((PHOSPHORUS = 8.855) U[1,1] (CHLORIDE > 135.332))",0.13
4,"((LOS > 94.202) U[1,1] (ICU_Pt_Days > 96.656))",0.66
5,"((Glasgow_Coma_Scale_Total > 14.423) U[1,1] (Mort < 0.864))",0.28
6,"((ICU_Pt_Days < 92.436) U[1,1] (tte > 69.592))",0.28
7,"((Mort < 0.897) U[1,1] (CHLORIDE < 134.829))",0.26
8,"((Mort > 0.614) U[1,1] (LOS = 96.679))",0.68
9,"((LOS < 96.618) U[1,1] (LOS = 109.949))",0.35
10,"((LOS > 87.779) U[1,1] (n_evts = 4.141))",0.46
11,"((tte > 80.446) U[1,1] (n_evts = 3.935))",0.2
12,"((PHOSPHORUS = 8.711) U[1,1] (Mort < 0.842))",0.25
13,"((tte > 84.223) U[1,1] (n_evts > 2.113))",0.75
14,"((Mort > 0.602) U[1,1] (tte > 74.133))",0.68
15,"((tte > 66.840) U[1,1] (CHLORIDE < 139.055))",0.26
16,"((n_evts = 4.213) U[1,1] (LOS < 99.775))",0.35
17,"F[1,1]((srr < 0.865 -> PCO2 < 65.193))",0.03225806451612903
18,"((Glasgow_Coma_Scale_Total > 14.439) U[1,1] (SBP = 215.923))",0.28
19,"((ICU_Pt_Days = 96.550) U[1,1] (n_evts < 3.969))",0.28
20,"((n_evts < 3.666) U[1,1] (tte > 52.661))",0.2
21,"((ICU_Pt_Days = 99.839) U[1,1] (LOS = 90.010))",0.35
22,"F[1,1]((HEMOGLOBIN = 19.605 -> PCO2 < 71.484))",0.03225806451612903
23,"((n_evts < 4.086) U[1,1] (Mort < 0.854))",0.25
24,"((Glasgow_Coma_Scale_Total > 14.409) U[1,1] (ICU_Pt_Days = 98.465))",0.28
25,"((n_evts > 1.819) U[1,1] (Mort > 0.814))",0.75
26,"((ICU_Pt_Days = 56.649) U[1,1] (ICU_Pt_Days > 108.895))",0.66
27,"((y > 0.180) U[0,1] (y > 0.875))",0.91
28,"((LOS > 86.399) U[1,1] (ICU_Pt_Days = 97.979))",0.46
29,"((ICU_Pt_Days > 77.731) U[1,1] (SBP = 219.783))",0.66
30,"((y > 0.202) U[0,1] (CHLORIDE > 137.183))",0.91
31,"((LOS > 101.407) U[1,1] (Mort > 0.721))",0.68
32,"((n_evts < 4.203) U[1,1] (LOS < 85.183))",0.35
33,"((n_evts = 4.514) U[1,1] (tte > 59.257))",0.2
34,"((LOS = 92.130) U[1,1] (ICU_Pt_Days = 91.362))",0.35
35,"((Mort < 0.873) U[1,1] (CHLORIDE > 135.784))",0.25
36,"((n_evts < 3.930) U[1,1] (ICU_Pt_Days < 94.248))",0.28
37,"((tte > 78.594) U[1,1] (ICU_Pt_Days > 83.829))",0.66
38,"((n_evts > 1.285) U[1,1] (SBP = 228.235))",0.75
39,"((LOS = 48.922) U[1,1] (LOS > 105.059))",0.46
40,"((n_evts > 2.894) U[1,1] (ICU_Pt_Days > 100.822))",0.75
41,"((LOS > 102.345) U[1,1] (n_evts > 2.357))",0.75
42,"((Mort < 0.854) U[1,1] (n_evts < 4.047))",0.25
43,"((Mort < 0.641) U[1,1] (Mort > 0.875))",0.68
44,"((Glasgow_Coma_Scale_Total > 14.016) U[1,1] (n_evts > 2.888))",0.75
45,"((Mort < 0.765) U[1,1] (n_evts = 4.222))",0.25
46,"((Pulse < 301.712) U[1,1] (SBP = 220.394))",0.2
47,"((n_evts > 1.457) U[1,1] (LOS = 96.822))",0.75
48,"((Glasgow_Coma_Scale_Total > 14.315) U[1,1] (n_evts = 4.225))",0.28
49,"((n_evts < 4.216) U[1,1] (Mort = 0.782))",0.25
50,"((Mort = 0.861) U[1,1] (LOS < 94.675))",0.35
51,"((LOS = 94.361) U[1,1] (ICU_Pt_Days > 58.352))",0.66
52,"((n_evts = 4.164) U[1,1] (CHLORIDE > 138.618))",0.2
53,"((LOS < 79.481) U[1,1] (LOS < 102.584))",0.35
54,"((tte > 64.446) U[1,1] (tte > 77.903))",0.18
55,"((n_evts > 2.809) U[1,1] (LOS > 103.393))",0.75
56,"((LOS = 97.183) U[0,1] (y > 0.366))",0.91
57,"((y > 0.171) U[0,1] (SBP = 211.505))",0.91
58,"((n_evts < 4.060) U[1,1] (Mort > 0.642))",0.68
59,"((ICU_Pt_Days < 91.368) U[1,1] (Mort < 0.809))",0.28
60,"((LOS = 82.780) U[1,1] (Mort < 0.762))",0.35
61,"((LOS = 93.747) U[1,1] (SBP = 203.009))",0.35
62,"((n_evts = 3.596) U[1,1] (n_evts < 4.082))",0.2
63,"((ICU_Pt_Days = 93.057) U[1,1] (ICU_Pt_Days = 99.092))",0.28
64,"((Mort > 0.573) U[1,1] (SBP = 209.091))",0.68
65,"((death > 0.762) U[1,1] (LOS < 85.457))",0.64
66,"((LOS > 87.983) U[1,1] (LOS > 102.847))",0.46
67,"((n_evts > 1.748) U[1,1] (n_evts = 4.390))",0.75
68,"((ICU_Pt_Days < 101.418) U[1,1] (ICU_Pt_Days < 100.407))",0.28
69,"((death > 0.736) U[1,1] (LOS > 94.139))",0.64
70,"((LOS < 95.541) U[1,1] (Mort < 0.800))",0.35
71,"((PHOSPHORUS = 8.476) U[1,1] (SBP = 224.580))",0.18
72,"((ICU_Pt_Days = 88.038) U[1,1] (n_evts > 2.722))",0.75
73,"((ICU_Pt_Days = 92.802) U[1,1] (tte > 64.906))",0.28
