,LDP Rule,Client Rule,LDP Count,Client Count
0,"F[0,0]((death < 0.000 -> Mort = 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.161,0.06
1,"F[0,0]((ICU_Pt_Days < 0.000 -> LACTIC_ACID > 0.000))","F[0,0]((ICU_Pt_Days < 0.000 -> y = 0.000))",0.14,0.04
2,"F[0,0]((tte = 0.000 -> Mort < 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.269,0.06
3,"F[0,0]((n_evts = 0.000 -> Mort = 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.097,0.06
4,"F[0,0]((y > 0.000 & PCO2 > 0.000))","F[0,0]((PCO2 > 0.000 & y = 0.000))",0.444,0.02
5,"F[0,0]((n_evts > 0.000 -> LOS < 0.000))","F[0,0]((LOS < 0.000 -> y = 0.000))",0.209,0.03
6,"F[0,0]((Mort > 0.000 -> LOS = 0.000))","F[0,0]((LOS < 0.000 -> TROPONIN_I > 0.000))",0.151,0.02
7,"F[0,0]((LOS < 0.000 -> Mort > 0.000))","F[0,0]((LOS < 0.000 -> Mort > 0.000))",0.151,0.01
8,"F[0,0]((y > 0.000 -> ICU_Pt_Days < 0.000))","F[0,0]((ICU_Pt_Days > 0.000 -> y = 0.000))",0.396,0.01
9,"F[0,0]((ICU_Pt_Days < 0.000 & AF = 0.000))","F[0,0]((AF < 0.000 & ICU_Pt_Days > 0.000))",0.146,0.03
10,"F[0,0]((LOS = 0.000 -> Mort < 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.151,0.06
11,"F[0,0]((Mort > 0.000 -> LACTIC_ACID > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total > 0.000 -> Mort > 0.000))",0.132,0.02
12,"F[0,0]((LOS < 0.000 -> ICU_Pt_Days = 0.000))","F[0,0]((ICU_Pt_Days < 0.000 -> y = 0.000))",0.151,0.04
13,"F[0,0]((Mort < 0.000 -> LACTIC_ACID > 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.086,0.06
14,"F[0,0]((y > 0.000 & LOS > 0.000))","F[0,0]((ICU_Pt_Days < 0.000 & y > 0.000))",0.444,0.02
15,"F[0,0]((LOS < 0.000 & LOS = 0.000))","F[0,0]((LOS < 0.000 & n_edrk < 0.000))",0.146,0.03
16,"F[0,0]((Mort = 0.000 -> n_evts = 0.000))","F[0,0]((Mort < 0.000 -> y = 0.000))",0.097,0.06
17,"F[0,0]((direct = 0.000 -> ICU_Pt_Days < 0.000))","F[0,0]((ICU_Pt_Days < 0.000 -> y = 0.000))",0.14,0.04
18,"F[0,0]((s8_edrk < 0.000 -> LOS > 0.000))","F[0,0]((s8_edrk < 0.000 -> y = 0.000))",0.077,0.03
19,"F[0,0]((s8_edrk < 0.000 -> n_evts = 0.000))","F[0,0]((n_evts < 0.000 -> y = 0.000))",0.097,0.04
20,"F[0,0]((Mort > 0.000 & PCO2 > 0.000))","F[0,0]((Mort > 0.000 & tte > 0.000))",0.404,0.02
21,"F[0,0]((ICU_Pt_Days = 0.000 -> Mort > 0.000))","F[0,0]((ICU_Pt_Days < 0.000 -> y = 0.000))",0.14,0.04
22,"F[0,0]((GLUCOSE > 0.000 -> LOS > 0.000))","F[0,0]((CO2 < 0.000 -> LOS > 0.000))",0.077,0.01
23,"F[0,0]((tte > 0.000 & LOS < 0.000))","F[0,0]((tte > 0.000 & y = 0.000))",0.146,0.03
24,"F[0,0]((n_evts = 0.000 & LOS = 0.000))","F[0,0]((death > 0.000 & n_evts < 0.000))",0.146,0.03
25,"F[0,0]((n_evts = 0.000 -> ICU_Pt_Days < 0.000))","F[0,0]((n_evts < 0.000 -> y = 0.000))",0.14,0.04
26,"F[0,0]((CALCIUM = 0.000 & PCO2 > 0.000))","F[0,0]((CALCIUM < 0.000 & n_evts > 0.000))",0.083,0.02
