Client,Num Queries
1,1083
2,1193
3,1048
4,980
5,1192
6,792
7,1083
9,1128
10,737
11,973
12,1150
13,984
14,873
15,1122
16,861
17,1113
18,1125
19,1113
20,1041
21,1267
22,1152
23,1267
24,782
25,1192
26,1192
27,1153
28,1052
29,578
30,1157
31,1167
32,1192
33,1095
34,1128
35,709
36,1111
37,1234
38,1222
39,1019
40,1167
41,1088
42,1225
43,1164
44,1083
45,1148
46,1003
47,1089
48,1085
49,1092
50,1192
51,928
52,1006
53,1163
54,1083
55,1052
56,725
57,1099
58,1055
59,1099
60,930
61,706
62,1150
63,1119
64,927
65,1012
66,995
67,1072
68,1144
69,1083
70,1237
71,1165
72,1157
73,469
74,892
75,746
76,1013
77,1118
78,1083
79,1222
80,1192
82,1011
83,977
84,1130
85,1089
86,975
87,863
88,1067
89,1134
90,1113
91,893
92,1232
93,1192
94,1152
95,1144
96,930
97,1112
98,1198
99,1228
100,1152
101,1237
102,1007
103,1009
104,1189
105,1222
106,1122
107,859
108,1192
109,1113
110,977
111,1080
112,1125
113,1013
114,1152
115,1222
116,721
117,1050
118,1134
119,1082
120,1097
121,1159
122,1192
123,1153
124,748
125,1154
126,216
127,959
128,875
129,1097
130,914
131,708
132,955
133,964
134,788
135,1092
136,701
137,1151
138,1192
139,1192
140,1267
141,1083
142,1193
143,1041
144,1198
145,1222
146,1092
147,1160
148,1189
149,760
150,1113
151,947
152,1192
153,1069
154,1180
155,880
156,1113
157,1167
158,1222
159,1089
160,1162
161,990
162,1128
163,1192
164,1122
165,864
166,1228
167,1153
168,1153
169,1027
170,1083
171,1012
172,1088
173,1006
174,1122
175,1165
176,918
177,1044
178,1120
179,1157
180,980
181,1083
182,1122
183,1122
184,1083
185,747
186,1232
187,1053
188,744
189,1198
190,1113
191,1093
192,1159
193,1012
194,1119
195,1222
196,1122
197,1063
198,967
199,1089
200,1152
201,1128
202,1092
203,1267
204,1120
205,1183
206,589
207,1043
208,1192
209,991
210,1196
211,1069
212,941
213,1120
214,1150
215,955
216,1092
217,1148
218,1207
219,998
220,994
221,1222
222,1202
223,1119
224,1111
225,1122
226,801
227,1052
228,938
229,842
231,679
232,1152
233,941
234,1122
235,859
236,1050
237,1122
238,1120
239,1152
240,1267
241,1050
242,1169
243,1141
244,1083
245,398
246,1152
247,1159
248,1267
249,1080
250,1183
251,1150
253,738
254,1129
255,844
256,1114
257,1119
258,1015
259,950
260,1087
261,966
262,1050
263,711
264,1232
265,1006
266,1228
267,1083
268,1122
269,683
270,1074
271,1087
272,926
273,1192
274,1090
275,1092
276,1222
277,1222
278,1134
279,1089
280,1183
281,921
282,1050
284,1198
285,1144
286,1160
287,969
288,1197
289,954
290,1029
291,960
292,1187
293,1183
294,1050
295,955
296,1050
297,1192
298,1120
299,1159
300,1095
301,1122
302,1125
303,1157
304,1008
305,438
306,1085
307,1158
308,925
309,880
310,1113
311,787
312,793
313,977
314,1167
315,1019
316,1192
317,1006
318,1092
319,974
320,1119
321,1152
322,1119
323,1089
324,1050
325,1095
326,1084
327,1232
328,839
329,1115
330,1192
331,1119
332,1228
333,1080
334,1119
336,1115
338,1237
339,1192
340,1152
341,864
343,1089
344,739
345,1122
346,1082
347,1192
348,631
349,1015
350,1122
351,817
352,1092
353,1050
354,1222
355,1237
356,1089
357,1167
358,931
359,1154
360,1122
361,1113
362,1082
363,941
364,711
365,1202
367,1198
368,838
369,1120
370,1077
371,1183
372,1092
373,481
374,1083
375,1162
376,918
377,1083
378,904
379,1197
380,1083
381,1153
382,1118
383,1120
384,1150
385,1145
386,1119
387,1237
388,1141
389,1072
390,1134
391,1198
392,1122
393,846
394,796
395,1122
396,1083
397,1087
398,1153
399,1144
400,1134
401,1222
402,1195
403,830
404,1158
405,1050
406,1222
407,877
408,1153
409,1113
410,1080
411,899
412,1128
413,1122
414,954
415,969
416,1010
417,1228
418,1159
419,858
420,1019
421,1122
422,1080
423,1110
424,1192
425,734
426,991
427,404
428,1000
429,1169
430,1089
431,1159
432,1228
433,1267
434,1237
435,1192
436,1232
437,1012
438,1048
439,1119
440,1160
441,999
442,1222
443,904
444,1152
445,1222
446,870
447,1165
448,838
449,940
450,1153
451,1074
452,1192
453,1006
454,1115
455,1083
456,889
457,1058
458,1120
459,1237
460,1002
461,1089
462,1150
463,1060
464,1198
465,991
466,1035
467,1153
468,1153
469,1083
470,1089
471,1193
472,936
473,1031
474,1123
475,1122
476,1167
477,991
478,1232
479,1080
480,1152
481,1066
482,1153
483,1192
484,1153
485,1195
486,1110
487,1090
488,987
489,877
490,1152
491,1060
492,1012
493,1158
494,1183
495,1087
496,900
497,1083
498,882
499,868
500,1267
501,1113
502,1050
503,1152
504,991
505,1193
506,1267
507,1083
508,1083
509,1158
510,1085
511,1153
512,1110
513,1052
514,1243
515,1201
516,1122
517,1050
518,540
519,853
520,1075
521,1267
522,873
523,1069
524,993
525,973
526,934
527,1122
528,1025
529,1198
530,1128
532,1192
533,1075
534,1152
535,1218
536,1125
537,864
538,573
539,929
540,804
541,1122
542,1083
543,1050
544,766
545,1041
546,1183
547,1119
548,1114
549,1125
550,1145
551,715
552,986
553,900
554,1119
555,955
556,1122
557,1153
558,1050
559,1118
560,1050
561,1134
562,1012
563,1060
564,1032
565,1052
566,1150
567,1152
568,1083
569,799
570,1089
571,1128
572,939
573,1050
574,1122
575,1071
576,1122
577,1080
578,1122
579,1050
580,893
581,1071
582,1089
583,1267
584,816
585,1153
586,1052
587,1080
588,1122
589,1047
590,1222
591,634
592,758
593,1129
594,1074
595,1026
596,1089
597,931
598,1129
599,1173
600,376
601,1228
602,1006
603,857
604,732
605,961
606,635
607,740
608,1222
610,773
611,895
612,1234
613,1192
614,1153
615,1134
616,1128
617,1122
618,1204
619,1048
620,1122
621,1198
622,463
623,1065
624,816
625,1228
626,1122
627,991
628,801
629,1051
630,1207
631,1054
632,1237
633,1080
634,1167
635,1167
636,1006
637,850
638,1125
640,1169
641,1052
642,911
643,900
644,1085
645,755
646,1159
647,1152
648,1089
649,1189
650,1183
651,1045
652,1130
653,1122
654,1162
655,1228
656,1152
657,967
658,1038
659,1058
660,1153
661,1083
662,1137
663,1163
664,1044
665,1192
666,915
667,1041
668,886
669,594
670,1183
671,1004
672,1119
673,1019
674,1046
675,1031
676,1267
677,999
678,1083
679,1192
680,1159
681,1145
682,1193
683,1141
684,961
685,1050
686,1043
687,1207
688,1158
689,1125
690,1128
691,899
692,1197
693,1038
694,1237
695,1228
697,1113
698,805
699,1267
700,899
701,1197
702,991
703,1092
704,1180
705,1057
706,873
707,1114
708,1059
709,1122
710,1019
711,1192
712,1159
713,1050
714,1115
715,1152
716,1083
717,1083
718,1113
719,1122
720,1086
721,1159
722,1024
723,1192
724,1095
725,1050
726,970
728,762
729,1152
731,1152
732,1267
733,1237
734,1089
735,1144
736,935
737,1083
738,1167
739,1122
740,1122
741,1153
742,1237
743,735
744,1083
745,1192
746,968
747,956
748,1153
749,1122
750,1152
751,1050
752,1120
753,1192
754,1044
756,783
757,1183
758,983
759,798
760,1153
761,1089
762,1148
763,1118
764,1204
765,1162
766,716
767,1050
768,1152
769,877
770,1202
771,1124
772,1059
773,1083
775,1192
776,1153
777,1029
778,1167
779,1237
780,1150
781,1167
782,991
783,1192
784,1267
785,531
786,966
787,1077
788,846
789,1159
790,914
791,1120
792,835
793,1086
794,1113
795,1090
796,1198
797,1089
798,1095
799,1122
800,1157
801,1137
802,1119
803,1050
804,1197
805,1152
806,741
807,1083
808,1113
809,1089
810,1080
811,1008
812,1167
813,1122
814,1157
815,1083
816,1113
817,844
818,1130
819,1113
820,1197
821,638
822,1122
823,1158
824,955
825,1222
826,1119
827,1113
828,1111
829,728
830,757
831,1134
832,1064
