,Budget Per Query,Base_1000Q,Base_5000Q
0,0.00001,0.001,0.0002
1,0.00001,0.001,0.0002
2,0.00001,0.001,0.0002
3,0.00001,0.001,0.0002
4,0.00001,0.001,0.0002
5,0.00001,0.001,0.0002
6,0.00001,0.001,0.0002
7,0.00001,0.001,0.0002
8,0.00001,0.001,0.0002
9,0.00001,0.001,0.0002
10,0.00001,0.001,0.0002
11,0.00001,0.001,0.0002
12,0.00001,0.001,0.0002
13,0.00001,0.001,0.0002
14,0.00001,0.001,0.0002
15,0.00001,0.001,0.0002
16,0.00001,0.001,0.0002
17,0.00001,0.001,0.0002
18,0.00001,0.001,0.0002
19,0.00001,0.001,0.0002
20,0.00001,0.001,0.0002
21,0.00001,0.001,0.0002
22,0.00001,0.001,0.0002
23,0.00001,0.001,0.0002
24,0.00001,0.001,0.0002
25,0.00001,0.001,0.0002
26,0.00001,0.001,0.0002
27,0.00001,0.001,0.0002
28,0.00001,0.001,0.0002
29,0.00001,0.001,0.0002
30,0.00001,0.001,0.0002
31,0.00001,0.001,0.0002
32,0.00001,0.001,0.0002
33,0.00001,0.001,0.0002
34,0.00001,0.001,0.0002
35,0.00001,0.001,0.0002
36,0.00001,0.001,0.0002
37,0.00001,0.001,0.0002
38,0.00001,0.001,0.0002
39,0.00001,0.001,0.0002
40,0.00001,0.001,0.0002
41,0.00001,0.001,0.0002
42,0.00001,0.001,0.0002
43,0.00001,0.001,0.0002
44,0.00001,0.001,0.0002
45,0.00001,0.001,0.0002
46,0.00001,0.001,0.0002
47,0.00001,0.001,0.0002
48,0.00001,0.001,0.0002
49,0.00001,0.001,0.0002
50,0.00001,0.001,0.0002
51,0.00001,0.001,0.0002
52,0.00001,0.001,0.0002
53,0.00001,0.001,0.0002
54,0.00001,0.001,0.0002
55,0.00001,0.001,0.0002
56,0.0005,0.001,0.0002
57,0.0005,0.001,0.0002
58,0.0005,0.001,0.0002
59,0.0005,0.001,0.0002
60,0.0005,0.001,0.0002
61,0.0005,0.001,0.0002
62,0.0005,0.001,0.0002
63,0.00001,0.001,0.0002
64,0.00001,0.001,0.0002
65,0.00001,0.001,0.0002
66,0.00001,0.001,0.0002
67,0.00001,0.001,0.0002
68,0.00001,0.001,0.0002
69,0.00001,0.001,0.0002
70,0.00001,0.001,0.0002
71,0.00001,0.001,0.0002
72,0.00001,0.001,0.0002
73,0.00001,0.001,0.0002
74,0.00001,0.001,0.0002
75,0.0005,0.001,0.0002
76,0.00001,0.001,0.0002
77,0.00001,0.001,0.0002
78,0.00001,0.001,0.0002
79,0.00001,0.001,0.0002
80,0.00001,0.001,0.0002
81,0.00001,0.001,0.0002
82,0.00001,0.001,0.0002
83,0.00001,0.001,0.0002
84,0.00001,0.001,0.0002
85,0.00001,0.001,0.0002
86,0.00001,0.001,0.0002
87,0.00001,0.001,0.0002
88,0.0005,0.001,0.0002
89,0.0005,0.001,0.0002
90,0.0005,0.001,0.0002
91,0.0005,0.001,0.0002
92,0.0005,0.001,0.0002
93,0.0005,0.001,0.0002
94,0.0005,0.001,0.0002
95,0.0005,0.001,0.0002
96,0.0005,0.001,0.0002
97,0.0005,0.001,0.0002
98,0.00001,0.001,0.0002
99,0.00001,0.001,0.0002
100,0.00001,0.001,0.0002
101,0.00001,0.001,0.0002
102,0.00001,0.001,0.0002
103,0.00001,0.001,0.0002
104,0.00001,0.001,0.0002
105,0.001,0.001,0.0002
106,0.00001,0.001,0.0002
107,0.00001,0.001,0.0002
108,0.00001,0.001,0.0002
109,0.00001,0.001,0.0002
110,0.00001,0.001,0.0002
111,0.00001,0.001,0.0002
112,0.00001,0.001,0.0002
113,0.001,0.001,0.0002
114,0.00001,0.001,0.0002
115,0.00001,0.001,0.0002
116,0.00001,0.001,0.0002
117,0.00001,0.001,0.0002
118,0.00001,0.001,0.0002
119,0.0005,0.001,0.0002
120,0.00001,0.001,0.0002
121,0.00001,0.001,0.0002
122,0.00001,0.001,0.0002
