Client,Num Queries
1,670
2,670
3,670
4,670
5,670
6,670
7,670
9,670
10,670
11,670
12,670
13,670
14,670
15,670
16,670
17,670
18,670
19,670
20,670
21,670
22,670
23,670
24,670
25,670
26,670
27,670
28,670
29,670
30,670
31,670
32,670
33,670
34,670
35,670
36,670
37,670
38,670
39,670
40,670
41,670
42,670
43,670
44,670
45,670
46,670
47,670
48,670
49,670
50,670
51,670
52,670
53,670
54,670
55,670
56,670
57,670
58,670
59,670
60,670
61,670
62,670
63,670
64,670
65,670
66,670
67,670
68,670
69,670
70,670
71,670
72,670
73,670
74,670
75,670
76,670
77,670
78,670
79,670
80,670
82,670
83,670
84,670
85,670
86,670
87,670
88,670
89,670
90,670
91,670
92,670
93,670
94,670
95,670
96,670
97,670
98,670
99,670
100,670
101,670
102,670
