,Rule,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,F1,Accuracy,MCR,BalancedAccuracy,Class
0,"((Pulse >= 0.000) U[0,0] (MET >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
1,"G[0,0]((n_evts >= 0.000 -> y <= 0.000))",10065,882,518,0,10065,1400,10583,882,1.0,0.63,0.37,0.9510535764905981,0.9749128244866331,0.9548190143916266,0.04518098560837336,0.815,Positive
2,"((Temp >= 0.000) U[0,0] (n_evts >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
3,"((n_evts >= 0.000) U[0,0] (direct <= 0.000))",9535,687,713,530,10065,1400,10248,1217,0.9473422752111277,0.4907142857142857,0.5092857142857142,0.9304254488680718,0.9388076601191355,0.8915830789358918,0.10841692106410816,0.7190282804627067,Positive
4,"((direct >= 0.000) U[0,0] (LOS >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
5,"((Mort >= 0.000) U[0,0] (Mort >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
6,"((direct <= 0.000) U[0,0] (direct <= 0.000))",9535,687,713,530,10065,1400,10248,1217,0.9473422752111277,0.4907142857142857,0.5092857142857142,0.9304254488680718,0.9388076601191355,0.8915830789358918,0.10841692106410816,0.7190282804627067,Positive
7,"((direct <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
8,"((direct >= 0.000) U[0,0] (SpO2 <= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Negative
9,"((y >= 0.000) U[0,0] (LOS <= 0.000))",9769,5,1395,296,10065,1400,11164,301,0.9705911574764033,0.0035714285714285713,0.9964285714285714,0.8750447868147617,0.9203448113429743,0.8525076319232446,0.14749236807675536,0.48708129302391595,Negative
10,"((Pulse >= 0.000) U[0,0] (death >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
11,"G[0,0]((y >= 0.000 -> ICU_Pt_Days >= 0.000))",10065,0,1400,0,10065,1400,11465,0,1.0,0.0,1.0,0.8778892280854775,0.9349744542498839,0.8778892280854775,0.12211077191452246,0.5,Positive
12,"((tte >= 0.000) U[0,0] (tte >= 0.000))",9535,1079,321,530,10065,1400,9856,1609,0.9473422752111277,0.7707142857142857,0.2292857142857143,0.9674310064935064,0.9572812609808744,0.9257740950719582,0.07422590492804182,0.8590282804627067,Positive
