,Rule,Percent Count
0,"G[1,1]((n_evts <= 5.000 -> n_evts <= 5.000))",0.050000499999999996
1,"((ICU_Pt_Days >= 120.000) U[1,1] (ICU_Pt_Days >= 120.000))",0.10000049999999999
2,"((y >= 1.000) U[1,1] (y >= 1.000))",0.1400005
3,"((tte <= 100.000) U[1,1] (tte <= 100.000))",0.0700005
4,"((death >= 1.000) U[1,1] (death >= 1.000))",0.1500005
5,"((n_evts >= 5.000) U[1,1] (n_evts >= 5.000))",0.1300005
6,"((Mort >= 1.000) U[1,1] (Mort >= 1.000))",0.0800005
7,"((n_edrk <= 1.000) U[1,1] (n_edrk <= 1.000))",0.0900005
8,"((Glasgow_Coma_Scale_Total <= 15.000) U[1,1] (Glasgow_Coma_Scale_Total <= 15.000))",0.0600005
9,"G[1,1]((LOS >= 122.000 -> LOS >= 122.000))",0.0300005
10,"((direct >= 1.000) U[1,1] (direct >= 1.000))",0.050000499999999996
