,Initial Rule Trees
0,"G[?,?](SODIUM >= ? | n_evts <= ?)"
1,"(O2_Flow <= ?) U[?,?] (edrk <= ?)"
2,"(n_edrk <= ?) U[?,?] (tte >= ?)"
3,"G[?,?](Resp <= ? -> MET >= ?)"
4,"(Mort <= ?) U[?,?] (PHOSPHORUS >= ?)"
5,"(n_evts <= ?) U[?,?] (hr >= ?)"
6,"(ICU_Pt_Days >= ?) U[?,?] (af >= ?)"
7,"(lds <= ?) U[?,?] (CREATININE >= ?)"
8,"(CO2 >= ?) U[?,?] (CALCIUM <= ?)"
9,"(hr >= ?) U[?,?] (n_evts >= ?)"
10,"G[?,?](MET <= ? | SpO2 >= ?)"
11,"(HEMOGLOBIN <= ?) U[?,?] (PLATELET_COUNT >= ?)"
12,"G[?,?](WHITE_BLOOD_CELL_COUNT <= ? | SBP >= ?)"
13,"(tte >= ?) U[?,?] (n_evts <= ?)"
14,"(hr <= ?) U[?,?] (AF <= ?)"
15,"G[?,?](s8_hr <= ? | direct <= ?)"
16,"G[?,?](n_edrk <= ? | LOS >= ?)"
17,"G[?,?](direct >= ? -> BLOOD_UREA_NITROGEN <= ?)"
18,"G[?,?](LOS <= ? | n_evts >= ?)"
19,"G[?,?](n_evts >= ? | ICU_Pt_Days >= ?)"
20,"G[?,?](death <= ? -> n_edrk <= ?)"
21,"(Temp <= ?) U[?,?] (s24_edrk >= ?)"
22,"G[?,?](MET >= ? -> death <= ?)"
23,"(n_edrk >= ?) U[?,?] (AF <= ?)"
24,"G[?,?](CALCIUM >= ? -> MAGNESIUM >= ?)"
25,"G[?,?](death >= ? | PLATELET_COUNT <= ?)"
26,"G[?,?](Pulse <= ? | LOS <= ?)"
27,"(GLUCOSE >= ?) U[?,?] (MET <= ?)"
28,"(s8_edrk <= ?) U[?,?] (dfa <= ?)"
29,"G[?,?](CALCIUM <= ? | tte <= ?)"
30,"G[?,?](CO2 <= ? | y <= ?)"
31,"(AF <= ?) U[?,?] (af >= ?)"
32,"(LOS >= ?) U[?,?] (dfa <= ?)"
33,"(MAGNESIUM >= ?) U[?,?] (CO2 >= ?)"
34,"G[?,?](Temp <= ? | direct >= ?)"
35,"G[?,?](Temp >= ? | direct <= ?)"
36,"G[?,?](CALCIUM <= ? | PLATELET_COUNT >= ?)"
37,"G[?,?](Glasgow_Coma_Scale_Total <= ? -> y <= ?)"
38,"(O2_Flow <= ?) U[?,?] (direct >= ?)"
39,"G[?,?](PLATELET_COUNT >= ? -> n_evts <= ?)"
40,"(tte <= ?) U[?,?] (s24_hr <= ?)"
41,"G[?,?](ICU_Pt_Days <= ? -> SpO2 >= ?)"
42,"G[?,?](O2_Flow <= ? | SpO2 >= ?)"
43,"G[?,?](GLUCOSE >= ? | ICU_Pt_Days <= ?)"
44,"(Mort >= ?) U[?,?] (LOS <= ?)"
45,"(dfa <= ?) U[?,?] (PLATELET_COUNT >= ?)"
46,"G[?,?](SBP <= ? -> SBP >= ?)"
47,"(n_evts >= ?) U[?,?] (AF <= ?)"
48,"(edrk <= ?) U[?,?] (death <= ?)"
49,"G[?,?](O2_Flow <= ? -> SpO2 >= ?)"
50,"(WHITE_BLOOD_CELL_COUNT <= ?) U[?,?] (LOS <= ?)"
51,"G[?,?](s24_hr <= ? | hr <= ?)"
