,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
0,basic_Prunebasic,1000,1000.0,553,0.045207956600361664,25,33,0.43103448275862066,43,0.27906976744186046,12,0,1.0
1,basic_Prunebasic,1000,100.0,553,0.045207956600361664,25,29,0.46296296296296297,43,0.18604651162790697,8,0,1.0
2,basic_Prunebasic,1000,10.0,553,0.018083182640144666,10,21,0.3225806451612903,43,0.09302325581395349,4,0,1.0
3,basic_Prunebasic,1000,1.0,553,0.0018083182640144665,1,2,0.3333333333333333,43,0.13953488372093023,6,0,1.0
4,basic_Prunebasic,1000,0.1,553,0.003616636528028933,2,7,0.2222222222222222,43,0.3488372093023256,15,0,1.0
5,basic_Prunebasic,1000,0.01,553,0.0054249547920434,3,9,0.25,43,0.3953488372093023,17,0,1.0
6,basic_Prunebasic,1000,0.001,553,0.03616636528028933,20,51,0.28169014084507044,43,0.18604651162790697,8,3,0.7272727272727273
7,basic_Prunezero,1000,1000.0,553,0.0162748643761302,9,292,0.029900332225913623,43,0.18604651162790697,8,52,0.13333333333333333
8,basic_Prunezero,1000,100.0,553,0.0054249547920434,3,250,0.011857707509881422,43,0.18604651162790697,8,52,0.13333333333333333
9,basic_Prunezero,1000,10.0,553,0.023508137432188065,13,374,0.03359173126614987,43,0.18604651162790697,8,82,0.08888888888888889
10,basic_Prunezero,1000,1.0,553,0.034358047016274866,19,317,0.05654761904761905,43,0.2558139534883721,11,45,0.19642857142857142
11,basic_Prunezero,1000,0.1,553,0.0054249547920434,3,482,0.006185567010309278,43,0.18604651162790697,8,233,0.03319502074688797
12,basic_Prunezero,1000,0.01,553,0.023508137432188065,13,299,0.041666666666666664,43,0.18604651162790697,8,77,0.09411764705882353
13,basic_Prunezero,1000,0.001,553,0.007233273056057866,4,432,0.009174311926605505,43,0.18604651162790697,8,191,0.04020100502512563
14,basic_Prunesmall,1000,1000.0,553,0.0379746835443038,21,32,0.39622641509433965,43,0.18604651162790697,8,0,1.0
15,basic_Prunesmall,1000,100.0,553,0.027124773960216998,15,18,0.45454545454545453,43,0.3023255813953488,13,0,1.0
16,basic_Prunesmall,1000,10.0,553,0.019891500904159132,11,13,0.4583333333333333,43,0.27906976744186046,12,0,1.0
17,basic_Prunesmall,1000,1.0,553,0.0433996383363472,24,37,0.39344262295081966,43,0.18604651162790697,8,0,1.0
18,basic_Prunesmall,1000,0.1,553,0.0018083182640144665,1,4,0.2,43,0.4418604651162791,19,0,1.0
19,basic_Prunesmall,1000,0.01,553,0.034358047016274866,19,22,0.4634146341463415,43,0.32558139534883723,14,0,1.0
20,basic_Prunesmall,1000,0.001,553,0.0018083182640144665,1,3,0.25,43,0.20930232558139536,9,0,1.0
21,basic_Prunebeta,1000,1000.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
22,basic_Prunebeta,1000,100.0,553,0.0,0,2,0.0,43,0.16279069767441862,7,0,1.0
23,basic_Prunebeta,1000,10.0,553,0.0325497287522604,18,26,0.4090909090909091,43,0.18604651162790697,8,0,1.0
24,basic_Prunebeta,1000,1.0,553,0.0108499095840868,6,9,0.4,43,0.2558139534883721,11,0,1.0
25,basic_Prunebeta,1000,0.1,553,0.02531645569620253,14,16,0.4666666666666667,43,0.23255813953488372,10,0,1.0
26,basic_Prunebeta,1000,0.01,553,0.027124773960216998,15,22,0.40540540540540543,43,0.2558139534883721,11,0,1.0
27,basic_Prunebeta,1000,0.001,553,0.039783001808318265,22,43,0.3384615384615385,43,0.18604651162790697,8,2,0.8
28,basic_PruneactiveClients,1000,1000.0,553,0.0108499095840868,6,353,0.016713091922005572,43,0.18604651162790697,8,127,0.05925925925925926
29,basic_PruneactiveClients,1000,100.0,553,0.003616636528028933,2,442,0.0045045045045045045,43,0.18604651162790697,8,232,0.03333333333333333
30,basic_PruneactiveClients,1000,10.0,553,0.009041591320072333,5,271,0.018115942028985508,43,0.18604651162790697,8,34,0.19047619047619047
31,basic_PruneactiveClients,1000,1.0,553,0.0054249547920434,3,400,0.007444168734491315,43,0.18604651162790697,8,176,0.043478260869565216
32,basic_PruneactiveClients,1000,0.1,553,0.028933092224231464,16,487,0.03180914512922465,43,0.18604651162790697,8,102,0.07272727272727272
33,basic_PruneactiveClients,1000,0.01,553,0.012658227848101266,7,293,0.023333333333333334,43,0.18604651162790697,8,41,0.16326530612244897
34,basic_PruneactiveClients,1000,0.001,553,0.009041591320072333,5,355,0.013888888888888888,43,0.18604651162790697,8,89,0.08247422680412371
35,beta_Prunebasic,1000,1000.0,553,0.04159132007233273,23,30,0.4339622641509434,43,0.4186046511627907,18,0,1.0
36,beta_Prunebasic,1000,100.0,553,0.007233273056057866,4,5,0.4444444444444444,43,0.18604651162790697,8,0,1.0
37,beta_Prunebasic,1000,10.0,553,0.0,0,2,0.0,43,0.023255813953488372,1,1,0.5
