,Rule,Percent Count
0,"((ICU_Pt_Days < 0.000) U[1,1] (Mort != 0.850))",0.0
1,"(G[1,1](Sgy > 1.000) -> F[1,1](MET = 0.700))",0.0
2,"((ICU_Pt_Days = 0.000) U[1,1] (ICU_Pt_Days != 102.000))",0.0
3,"((ICU_Pt_Days > 0.000) U[1,0] (CALCIUM > 15.000))",0.0
4,"F[1,1](tte = 100.000)",0.0
5,"(ALT_GPT > 380.000 -> F[1,0](MET = 1.000))",0.0
6,"G[0,0](tte = 100.000)",0.0
7,"F[1,1](O2_Flow = 10.000)",0.0
8,"F[1,1](LOS = 85.400)",0.0
9,"((LOS > 103.700) U[1,1] (LOS < 0.000))",0.0
10,"((n_evts = 3.500) U[1,0] (LOS > 85.400))",0.0
11,"((LOS < 85.400) U[1,1] (n_edrk < 0.000))",0.0
12,"((Temp = 50.000) U[1,0] (ALKALINE_PHOSPHATASE != 15.000))",0.0
13,"((LOS != 0.000) U[1,1] (ICU_Pt_Days < 102.000))",0.0
14,"F[1,1](direct = 1.000)",0.0
15,"((LOS > 103.700) U[1,1] (LOS != 122.000))",0.0
16,"((Temp = 50.000) U[1,1] (ICU_Pt_Days < 120.000))",0.0
17,"F[0,1](y = 1.000)",0.5
18,"((LOS > 122.000) U[0,1] (Mort > 1.000))",0.0
19,"((ICU_Pt_Days != 0.000) U[1,0] (Mort != 0.000))",0.0
20,"((LOS < 0.000) U[1,1] (ICU_Pt_Days != 0.000))",0.0
21,"((ICU_Pt_Days > 120.000) U[1,1] (LOS > 103.700))",0.0
22,"F[1,1](SpO2 = 100.000)",0.0
23,"((PHOSPHORUS < 10.000) U[1,0] (CALCIUM > 15.000))",0.0
24,"((LOS > 0.000) U[1,0] (ICU_Pt_Days != 120.000))",0.0
25,"((LOS != 122.000) U[1,0] (LOS != 122.000))",0.0
26,"(F[1,1](srr > 1.000) -> F[1,1](LOS < 122.000))",0.0
27,"((Temp = 47.000) U[1,0] (LOS != 0.000))",0.0
28,"G[1,1](PARTIAL_THROMBOPLASTIN_TIME > 122.000)",0.0
29,"F[1,1](n_evts != 5.000)",0.0
30,"((n_evts != 5.000) U[1,1] (ICU_Pt_Days < 0.000))",0.0
31,"F[1,1](MET < 0.400)",0.5
32,"G[1,0](PHOSPHORUS = 0.000)",0.0
33,"((ICU_Pt_Days > 120.000) U[1,1] (ALKALINE_PHOSPHATASE != 400.000))",0.0
34,"((LOS = 122.000) U[1,0] (ALKALINE_PHOSPHATASE != 15.000))",0.0
35,"((n_evts != 2.750) U[1,0] (Mort > 1.000))",0.0
36,"((LOS != 122.000) U[1,1] (MAGNESIUM = 5.000))",1.0
37,"(G[0,1](Sgy > 1.000) -> G[1,1](O2_Flow < 10.000))",0.0
38,"F[0,1](y > 1.000)",0.0
39,"((LOS > 122.000) U[1,1] (ALKALINE_PHOSPHATASE != 400.000))",0.5
40,"((s8_hr > 0.700) U[0,1] (CALCIUM > 13.050))",0.0
41,ICU_Pt_Days != 66.000,0.0
42,"F[1,1](LOS < 103.700)",0.0
43,"((Mort = 1.000) U[1,1] (ICU_Pt_Days = 120.000))",1.0
44,"(G[1,0](Sgy > 1.000) -> F[1,0](s8_hr > 1.000))",1.0
45,"(G[0,1](Sgy > 1.000) -> F[1,1](LOS < 122.000))",0.5
46,"((Temp = 30.000) U[1,1] (ICU_Pt_Days = 66.000))",0.0
47,"((Mort = 0.000) U[0,1] (LOS < 103.700))",0.0
48,LOS != 67.100,0.0
49,(ALT_GPT > 323.900 -> Resp = 42.500),0.0
50,"((n_evts != 3.500) U[0,1] (LOS = 0.000))",0.0
51,"F[1,1](death < 0.400)",0.5
52,"F[1,1](ICU_Pt_Days != 120.000)",0.0
53,"G[0,1](Mort < 1.000)",0.0
54,"F[0,1](n_evts = 2.000)",0.5
55,"((ICU_Pt_Days = 84.000) U[1,1] (ICU_Pt_Days = 120.000))",0.0
56,"((n_evts != 5.000) U[0,1] (ICU_Pt_Days > 102.000))",0.0
57,"((ICU_Pt_Days > 102.000) U[1,1] (ICU_Pt_Days = 120.000))",0.0
58,"(F[0,0](srr > 0.000) -> Resp = 50.000)",0.0
59,"((LOS < 103.700) U[1,1] (LOS != 122.000))",0.0
60,"((s8_hr > 0.700) U[1,1] (LOS > 103.700))",0.0
61,"((n_evts = 0.000) U[1,0] (Mort != 1.000))",0.0
