,Non Rules
0,"((LOS > 0.000) U[0,0] (Resp < 0.000))"
1,"((SBP > 0.000) U[0,0] (Sgy = 0.000))"
2,"((SpO2 > 0.000) U[0,0] (Resp > 0.000))"
3,"((death < 0.000) U[0,0] (LOS = 0.000))"
4,"((CHLORIDE = 0.000) U[0,0] (MET = 0.000))"
5,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (CALCIUM = 0.000))"
6,"((tte > 0.000) U[0,0] (MET = 0.000))"
7,"((SpO2 = 0.000) U[0,0] (Resp < 0.000))"
8,"((death = 0.000) U[0,0] (Resp > 0.000))"
9,"((ICU_Pt_Days < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
10,"((MET > 0.000) U[0,0] (SpO2 = 0.000))"
11,"((Resp > 0.000) U[0,0] (Mort > 0.000))"
12,"((n_evts = 0.000) U[0,0] (CALCIUM = 0.000))"
13,"((SBP > 0.000) U[0,0] (SBP = 0.000))"
14,"((death > 0.000) U[0,0] (CALCIUM = 0.000))"
15,"((ALBUMIN = 0.000) U[0,0] (Resp = 0.000))"
16,"((n_evts < 0.000) U[0,0] (death > 0.000))"
17,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (SpO2 = 0.000))"
18,"((SpO2 = 0.000) U[0,0] (n_evts = 0.000))"
19,"((MET = 0.000) U[0,0] (direct > 0.000))"
20,"((Resp > 0.000) U[0,0] (SBP = 0.000))"
21,"((Mort > 0.000) U[0,0] (CALCIUM = 0.000))"
22,"((tte = 0.000) U[0,0] (Pulse = 0.000))"
23,"((death < 0.000) U[0,0] (n_evts = 0.000))"
24,"((y = 0.000) U[0,0] (SpO2 > 0.000))"
25,"((Resp > 0.000) U[0,0] (LOS = 0.000))"
26,"((ALBUMIN = 0.000) U[0,0] (LOS = 0.000))"
27,"((death = 0.000) U[0,0] (ALBUMIN > 0.000))"
28,"((tte > 0.000) U[0,0] (SBP = 0.000))"
29,"((O2_Flow > 0.000) U[0,0] (ALBUMIN > 0.000))"
30,"((death > 0.000) U[0,0] (SpO2 = 0.000))"
31,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
32,"G[0,0]((LOS = 0.000 & LOS = 0.000))"
