,Rule,Percent Count
0,"((direct > 1.000) U[1,0] (CALCIUM = 15.000))",0.5
1,"((Mort > 1.000) U[1,1] (Pulse = 400.000))",0.5
2,"((direct > 1.000) U[1,1] (LOS = 110.301))",1.0
3,"((MET > 0.400) U[1,0] (SBP > 260.000))",0.5
4,"((y > 1.000) U[0,0] (Glasgow_Coma_Scale_Total > 15.000))",0.5
5,"((MET > 1.000) U[1,1] (n_evts = 5.000))",0.5
6,"((MET = 1.000) U[1,1] (death = 1.000))",1.0
7,"((y > 1.000) U[0,1] (Mort = 1.000))",0.5
8,"((direct = 1.000) U[1,1] (n_evts < 5.000))",1.0
9,"((LOS = 30.500) U[1,1] (y = 0.125))",1.0
10,"((CHLORIDE = 150.000) U[1,1] (tte = 100.000))",0.5
11,"((y > 1.000) U[1,1] (direct > 1.000))",1.0
12,"((SpO2 = 100.000) U[1,1] (direct = 1.000))",1.0
13,"((Pulse = 400.000) U[1,1] (ICU_Pt_Days < 120.000))",0.5
14,"((Pulse = 400.000) U[1,1] (SBP > 104.000))",0.5
15,"((Mort = 1.000) U[1,1] (CALCIUM = 15.000))",0.5
16,"((tte = 100.000) U[1,1] (death = 1.000))",1.0
17,"((CALCIUM = 7.200) U[1,1] (y = 1.000))",0.5
18,"((n_evts = 5.000) U[1,1] (Mort < 1.000))",0.5
19,"((tte = 100.000) U[1,1] (Mort = 0.100))",1.0
20,"((y = 1.000) U[1,1] (Mort = 1.000))",0.5
21,"((HEMOGLOBIN = 25.000) U[1,1] (tte = 40.452))",0.5
22,"((Sgy = 1.000) U[1,1] (direct > 0.000))",1.0
23,"((tte < 100.000) U[1,1] (MET = 1.000))",0.5
24,"((death = 1.000) U[1,1] (Mort = 1.000))",1.0
25,"((direct > 1.000) U[1,1] (tte > 26.479))",0.5
26,"((n_evts = 5.000) U[1,1] (BLOOD_UREA_NITROGEN = 120.000))",0.5
27,"((tte < 100.000) U[1,1] (tte < 100.000))",1.0
28,"((LOS > 122.000) U[0,1] (death = 0.250))",1.0
29,"((Mort = 1.000) U[1,1] (death > 1.000))",0.5
30,"((Mort = 1.000) U[1,0] (n_evts = 5.000))",0.5
31,"((direct > 1.000) U[1,1] (SBP = 260.000))",0.5
32,"((MET > 1.000) U[1,1] (CREATININE = 0.000))",0.5
33,"((death = 1.000) U[1,1] (MET = 1.000))",1.0
34,"((MET > 1.000) U[1,1] (death = 0.250))",1.0
35,"((tte = 100.000) U[0,1] (tte < 100.000))",1.0
36,"((LOS > 122.000) U[1,1] (MET > 1.000))",0.5
37,"((Mort > 1.000) U[1,1] (death < 1.000))",1.0
38,"((y = 1.000) U[1,1] (direct = 1.000))",0.5
39,"((direct > 0.400) U[1,1] (ICU_Pt_Days = 120.000))",0.5
40,"((death = 1.000) U[1,1] (death = 1.000))",0.5
41,"((LOS = 122.000) U[1,1] (ICU_Pt_Days < 120.000))",1.0
42,"((y > 1.000) U[1,1] (ICU_Pt_Days = 120.000))",1.0
43,"((y > 1.000) U[0,1] (CREATININE = 10.000))",0.5
44,"((y = 1.000) U[1,1] (MET > 1.000))",0.5
45,"((SpO2 = 100.000) U[1,1] (direct > 1.000))",0.5
46,"((MET = 0.400) U[1,1] (ICU_Pt_Days = 120.000))",0.5
47,"((n_evts = 5.000) U[1,1] (Mort = 1.000))",1.0
48,"((LOS > 110.159) U[1,1] (ICU_Pt_Days < 120.000))",0.5
49,"((CALCIUM = 15.000) U[1,1] (BLOOD_UREA_NITROGEN = 120.000))",1.0
50,"((tte < 100.000) U[1,1] (CALCIUM = 15.000))",0.5
51,"((tte < 100.000) U[1,1] (MET > 0.550))",0.5
52,"((Mort = 1.000) U[0,1] (n_evts > 5.000))",0.5
53,"((direct = 1.000) U[1,1] (death < 1.000))",0.5
54,"((y > 1.000) U[1,1] (SBP = 260.000))",1.0
55,"((direct < 1.000) U[1,0] (PARTIAL_THROMBOPLASTIN_TIME = 140.000))",0.5
56,"((tte = 100.000) U[1,1] (n_evts = 5.000))",0.5
57,"((LOS = 122.000) U[1,1] (LOS = 110.752))",0.5
58,"((Mort > 0.899) U[1,1] (y > 1.000))",0.5
59,"((n_evts > 5.000) U[1,1] (LOS = 122.000))",0.5
60,"((CHLORIDE = 150.000) U[1,1] (Mort > 1.000))",0.5
61,"((n_evts = 5.000) U[1,1] (direct > 1.000))",0.5
62,"((tte < -60.000) U[1,1] (death = 1.000))",0.5
63,"((Mort = 0.250) U[1,0] (tte > 100.000))",1.0
