,Non Rules
0,"((direct < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
1,"((O2_Flow = 0.000) U[0,0] (direct > 0.000))"
2,"((n_evts > 0.000) U[0,0] (MET > 0.000))"
3,"((death < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((LOS > 0.000) U[0,0] (Mort > 0.000))"
5,"((Pulse = 0.000) U[0,0] (LOS = 0.000))"
6,"((AST_GOT > 0.000) U[0,0] (n_evts > 0.000))"
7,"((CALCIUM > 0.000) U[0,0] (Mort > 0.000))"
8,"((direct < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((n_evts > 0.000) U[0,0] (y > 0.000))"
10,"((O2_Flow < 0.000) U[0,0] (Mort > 0.000))"
11,"((Mort > 0.000) U[0,0] (y = 0.000))"
12,"((n_evts = 0.000) U[0,0] (n_evts > 0.000))"
13,"((CALCIUM > 0.000) U[0,0] (direct > 0.000))"
14,"((n_evts < 0.000) U[0,0] (LOS = 0.000))"
15,"((Pulse = 0.000) U[0,0] (LOS > 0.000))"
16,"((Mort = 0.000) U[0,0] (LOS > 0.000))"
17,"((n_evts < 0.000) U[0,0] (n_evts = 0.000))"
18,"((Pulse = 0.000) U[0,0] (n_evts > 0.000))"
19,"((tte < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
20,"G[0,0]((ALKALINE_PHOSPHATASE > 0.000 & LOS = 0.000))"
21,"((n_evts > 0.000) U[0,0] (n_evts = 0.000))"
