,Rule,Percent Count
0,"((ICU_Pt_Days > 120.000) U[1,1] (y = 1.000))",0.5
1,"((tte > 4.000) U[1,0] (n_evts > 5.000))",0.5
2,"((hr = 300.000) U[1,1] (death > 1.000))",0.5
3,"((death > 1.000) U[0,1] (tte = 100.000))",0.5
4,"((death > 0.400) U[1,0] (LOS > 122.000))",0.5
5,"((death > 1.000) U[1,1] (Glasgow_Coma_Scale_Total = 3.750))",1.0
6,"((y > 1.000) U[1,1] (ICU_Pt_Days > 120.000))",0.5
7,"((y = 1.000) U[1,1] (LOS > 122.000))",0.5
8,"((n_evts > 5.000) U[1,1] (Mort = 1.000))",0.5
9,"((hr = 300.000) U[1,1] (death = 1.000))",1.0
10,"((ICU_Pt_Days = 120.000) U[0,1] (LOS = 122.000))",0.5
11,"((Mort = 1.000) U[0,1] (tte = 100.000))",0.5
12,"((Mort = 1.000) U[1,1] (n_evts = 5.000))",0.5
13,"((ICU_Pt_Days = 120.000) U[1,0] (n_evts = 5.000))",0.5
14,"((ICU_Pt_Days > 120.000) U[1,1] (MET > 1.000))",0.5
15,"((Mort > 0.000) U[1,1] (Mort < 1.000))",0.5
16,"((ICU_Pt_Days > 48.000) U[0,1] (Mort = 1.000))",0.5
17,"((n_evts > 5.000) U[1,0] (direct > 1.000))",0.5
18,"G[1,1]((LOS > 48.800 | GLUCOSE < 214.000))",0.5
19,"((n_evts = 5.000) U[1,0] (n_evts > 5.000))",0.5
20,"((y > 0.400) U[1,1] (ICU_Pt_Days = 48.000))",0.5
21,"((tte > 100.000) U[1,0] (MET > 1.000))",0.5
22,"((n_evts > 1.250) U[1,1] (s24_hr < 1.000))",1.0
23,"((y = 1.000) U[0,0] (y > 1.000))",0.5
24,"((n_evts = 5.000) U[1,1] (O2_Flow = 0.000))",0.5
25,"((y > 1.000) U[1,1] (death = 1.000))",1.0
26,"((tte = 100.000) U[1,1] (n_evts = 5.000))",0.5
27,"((y = 1.000) U[1,0] (Mort < 1.000))",0.5
28,"((n_evts = 2.000) U[1,1] (ICU_Pt_Days = 120.000))",0.5
29,"((tte = 100.000) U[1,1] (LOS = 122.000))",0.5
30,"((death > 1.000) U[1,1] (O2_Flow = 10.000))",0.5
