,Non Rules
0,"((tte > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
1,"((O2_Flow > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
2,"((SBP = 0.000) U[0,0] (Pulse = 0.000))"
3,"((y > 0.000) U[0,0] (direct > 0.000))"
4,"((y > 0.000) U[0,0] (SpO2 = 0.000))"
5,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
6,"((LOS > 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
7,"((n_evts > 0.000) U[0,0] (MET > 0.000))"
8,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
9,"((Mort = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
10,"((O2_Flow > 0.000) U[0,0] (Pulse = 0.000))"
11,"((n_evts > 0.000) U[0,0] (MET = 0.000))"
12,"((Mort = 0.000) U[0,0] (Mort > 0.000))"
13,"((tte > 0.000) U[0,0] (y > 0.000))"
14,"((n_evts = 0.000) U[0,0] (death > 0.000))"
15,"((tte > 0.000) U[0,0] (CALCIUM = 0.000))"
16,"((ICU_Pt_Days > 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
17,"((direct > 0.000) U[0,0] (tte > 0.000))"
18,"((direct = 0.000) U[0,0] (death = 0.000))"
19,"((SBP = 0.000) U[0,0] (MET = 0.000))"
20,"((Mort = 0.000) U[0,0] (O2_Flow = 0.000))"
21,"((death = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
22,"((SBP = 0.000) U[0,0] (n_evts < 0.000))"
23,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
24,"((SBP = 0.000) U[0,0] (tte > 0.000))"
25,"((Mort > 0.000) U[0,0] (SpO2 = 0.000))"
26,"((y = 0.000) U[0,0] (MET > 0.000))"
27,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
28,"((Pulse = 0.000) U[0,0] (LOS > 0.000))"
29,"((ICU_Pt_Days > 0.000) U[0,0] (CALCIUM = 0.000))"
30,"((Temp = 0.000) U[0,0] (n_edrk > 0.000))"
31,"((Temp = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
32,"((Temp = 0.000) U[0,0] (POTASSIUM < 0.000))"
33,"((n_evts > 0.000) U[0,0] (n_evts > 0.000))"
34,"((Mort = 0.000) U[0,0] (POTASSIUM < 0.000))"
35,"((Temp = 0.000) U[0,0] (Mort < 0.000))"
36,"((y > 0.000) U[0,0] (y > 0.000))"
