,Rule,Percent Count
0,"((ICU_Pt_Days < 66.000) U[1,1] (Mort != 0.550))",0.0
1,"((LOS > 122.000) U[0,1] (n_evts != 5.000))",0.0
2,"(G[1,1](direct < 0.700) | PLATELET_COUNT != 700.000)",0.0
3,"(G[1,0](AF != 0.000) | SODIUM < 200.000)",0.0
4,"(G[1,0](direct = 0.850) | F[1,1](Resp != 42.500))",0.0
5,"((HEMOGLOBIN < 25.000) U[1,1] (Mort = 1.000))",0.0
6,"(F[1,0](LACTIC_ACID > 0.000) | PLATELET_COUNT != 700.000)",0.0
7,"((ICU_Pt_Days = 120.000) U[1,1] (ICU_Pt_Days != 120.000))",0.0
8,"((ICU_Pt_Days > 0.000) U[0,0] (POTASSIUM < 10.000))",0.0
9,"G[1,1](s24_edrk = 0.400)",0.0
10,"G[1,1](y != 1.000)",0.0
11,(s24_edrk > 1.000 | srr = 1.000),0.0
12,"(F[1,1](POTASSIUM < 1.000) | srr = 0.850)",0.0
13,"(G[1,1](direct = 0.550) | G[1,1](MAGNESIUM > 2.750))",0.0
14,"G[1,1](tte = 100.000)",0.5
15,"F[1,1](LOS = 67.100)",0.0
16,"((LOS != 122.000) U[1,0] (n_evts != 5.000))",0.0
17,"((LOS > 0.000) U[1,0] (LOS < 122.000))",0.0
18,"(G[1,1](srr < 1.000) & n_edrk > 0.000)",0.0
19,"(G[1,1](direct < 0.000) | F[0,0](PROTIME_INR > 0.000))",0.0
20,POTASSIUM != 10.000,0.0
21,"((LOS > 122.000) U[1,1] (LOS != 122.000))",1.0
22,"((LOS < 0.000) U[0,0] (n_evts != 0.000))",0.0
23,"((HEMOGLOBIN < 1.000) U[1,1] (s2_hr = 1.000))",0.0
24,"G[1,1](tte != 76.000)",0.0
25,"(G[1,1](ICU_Pt_Days < 120.000) | G[0,1](LOS = 122.000))",0.5
26,"(LOS < 103.700 -> G[1,1](TOTAL_BILIRUBIN != 10.000))",0.0
27,"(n_edrk < 1.000 | G[1,0](MAGNESIUM > 3.500))",0.0
28,"((ICU_Pt_Days = 120.000) U[1,1] (n_evts != 5.000))",0.0
29,"((LOS < 103.700) U[1,0] (ICU_Pt_Days != 120.000))",0.0
30,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 122.000))",0.0
31,"(F[1,1](TOTAL_BILIRUBIN != 0.000) | G[1,1](MAGNESIUM > 5.000))",0.0
32,"(F[1,1](y > 1.000) & F[1,1](SODIUM < 155.000))",0.0
33,"((LOS > 122.000) U[0,1] (ICU_Pt_Days != 120.000))",0.0
34,"((LOS != 0.000) U[1,1] (LOS != 122.000))",0.0
35,"(death = 0.700 | F[1,1](Resp != 35.000))",0.0
36,"((s24_edrk != 0.400) U[1,1] (ICU_Pt_Days = 120.000))",0.0
37,"F[1,1](n_evts != 4.250)",0.0
38,(s24_edrk > 0.100 | PLATELET_COUNT != 10.000),0.0
39,"(G[1,1](ICU_Pt_Days < 66.000) | G[1,1](MET < 1.000))",0.0
40,"(G[1,1](CO2 > 50.000) | F[1,1](Resp != 50.000))",0.0
41,"(G[1,0](AF != 1.000) | F[1,1](PCO2 < 80.000))",0.5
42,"(G[1,1](ICU_Pt_Days < 0.000) | G[0,0](AF = 1.000))",0.0
43,"((s2_hr = 1.000) U[1,1] (Resp != 35.000))",0.0
44,"(OXYGEN_SATURATION > 100.000 -> G[0,1](ALBUMIN > 5.000))",0.0
45,"F[1,1](cosen != -0.800)",0.0
46,"(F[1,0](LACTIC_ACID > 5.000) | G[1,1](LOS = 122.000))",0.0
47,"(G[1,0](s2_edrk > 1.000) & F[1,1](LOS = 122.000))",0.0
48,"(F[1,1](Glasgow_Coma_Scale_Total = 15.000) | PLATELET_COUNT != 596.500)",0.0
49,"(G[1,0](direct = 0.000) | G[1,1](s8_edrk != 0.700))",0.0
50,"((ICU_Pt_Days > 120.000) U[0,0] (Mort = 0.000))",0.0
51,"((s24_edrk != 1.000) U[1,1] (Mort = 1.000))",0.0
52,"(G[1,0](srr < 1.000) & F[1,1](LOS < 122.000))",0.0
53,"((LOS < 122.000) U[0,1] (s2_hr = 1.000))",0.0
54,"(F[1,1](POTASSIUM < 1.000) | G[0,0](s8_edrk != -1.000))",0.0
55,"(F[1,0](TOTAL_BILIRUBIN != 10.000) | G[1,0](MET < 0.000))",0.0
56,"F[1,1](y > 1.000)",0.0
57,ICU_Pt_Days != 120.000,0.0
58,"F[0,0](LOS < 0.000)",0.0
59,"((ICU_Pt_Days < 120.000) U[0,1] (s2_hr = 0.100))",0.0
60,"((HEMOGLOBIN < 25.000) U[0,1] (CREATININE > 0.000))",0.0
61,"(F[1,0](y > 1.000) & F[1,1](LOS < 85.400))",0.0
62,"(F[1,1](TOTAL_BILIRUBIN != 7.000) | G[1,1](AF = 0.700))",0.0
63,LOS != 0.000,0.0
64,"((LOS < 103.700) U[1,1] (Mort = 1.000))",0.0
65,"((ICU_Pt_Days = 0.000) U[1,0] (Mort = 0.000))",0.0
66,"((s24_edrk != 1.000) U[1,1] (LOS = 122.000))",0.0
67,"(n_edrk < 1.000 | G[0,0](AF = 1.000))",0.0
68,"(G[1,1](s2_edrk > 1.000) & F[1,1](SODIUM < 170.000))",0.0
69,"F[0,0](ICU_Pt_Days != 120.000)",0.0
70,"((LOS != 122.000) U[1,0] (Resp != 0.000))",0.0
71,"G[1,1](Mort < 1.000)",0.0
72,"F[1,1](n_evts = 2.750)",0.0
73,"(G[1,0](direct = 0.000) | F[1,1](PROTIME_INR > 5.000))",0.0
