,Non Rules
0,"((ICU_Pt_Days < 0.000) U[0,0] (Mort != 0.000))"
1,"((LOS = 0.000) U[0,0] (s8_hr < 0.000))"
2,"(OXYGEN_SATURATION != 0.000 | F[0,0](Mort < 0.000))"
3,"(death > 0.000 & G[0,0](MAGNESIUM = 0.000))"
4,"((MAGNESIUM != 0.000) U[0,0] (Mort != 0.000))"
5,"((Mort != 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"(G[0,0](tte = 0.000) & PHOSPHORUS = 0.000)"
7,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
8,"(F[0,0](SpO2 > 0.000) -> G[0,0](n_edrk < 0.000))"
9,"((MAGNESIUM != 0.000) U[0,0] (s8_hr < 0.000))"
10,"G[0,0](y != 0.000)"
11,"(F[0,0](MET < 0.000) & G[0,0](HEMOGLOBIN < 0.000))"
12,"((MAGNESIUM != 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
13,"F[0,0](LOS = 0.000)"
14,"((LOS > 0.000) U[0,0] (LOS < 0.000))"
15,"((ICU_Pt_Days < 0.000) U[0,0] (O2_Flow != 0.000))"
16,"((LOS != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
17,"((LOS > 0.000) U[0,0] (LOS != 0.000))"
18,"(OXYGEN_SATURATION != 0.000 | F[0,0](edrk = 0.000))"
19,"G[0,0](tte != 0.000)"
20,"F[0,0](y = 0.000)"
21,"(G[0,0](AF < 0.000) | F[0,0](Mort < 0.000))"
22,"((Mort != 0.000) U[0,0] (LOS = 0.000))"
23,"((ICU_Pt_Days != 0.000) U[0,0] (Mort != 0.000))"
24,(OXYGEN_SATURATION != 0.000 | O2_Flow < 0.000)
25,"((LOS < 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
26,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
27,"(G[0,0](y > 0.000) & PHOSPHORUS = 0.000)"
28,"(F[0,0](LOS > 0.000) | CO2 > 0.000)"
29,"(PROTIME_INR < 0.000 | G[0,0](hr < 0.000))"
30,"((LOS > 0.000) U[0,0] (ICU_Pt_Days != 0.000))"
31,"((ICU_Pt_Days != 0.000) U[0,0] (Mort < 0.000))"
32,"((LOS != 0.000) U[0,0] (LOS != 0.000))"
33,"(G[0,0](tte = 0.000) & G[0,0](MAGNESIUM = 0.000))"
34,"((Mort != 0.000) U[0,0] (LOS > 0.000))"
35,"(F[0,0](SBP = 0.000) | F[0,0](MAGNESIUM != 0.000))"
36,"((s2_edrk > 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
37,"F[0,0](n_evts != 0.000)"
38,"G[0,0](HEMOGLOBIN != 0.000)"
39,"((n_evts != 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
40,"(CREATININE > 0.000 | F[0,0](MAGNESIUM != 0.000))"
41,"(G[0,0](AF < 0.000) | F[0,0](MAGNESIUM != 0.000))"
42,"((SODIUM < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
43,(PROTIME_INR < 0.000 | LOS = 0.000)
44,"(G[0,0](AF < 0.000) | F[0,0](s2_hr > 0.000))"
45,"(F[0,0](SBP = 0.000) | F[0,0](s2_hr > 0.000))"
46,"((LOS = 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
47,"(G[0,0](s24_edrk > 0.000) | G[0,0](n_evts > 0.000))"
48,"((MAGNESIUM != 0.000) U[0,0] (LOS < 0.000))"
49,"(F[0,0](SBP = 0.000) | F[0,0](Mort < 0.000))"
50,"(G[0,0](s24_edrk > 0.000) | CO2 > 0.000)"
51,"((s2_edrk > 0.000) U[0,0] (LOS > 0.000))"
52,"F[0,0](y > 0.000)"
53,"((Mort != 0.000) U[0,0] (s8_hr < 0.000))"
54,ICU_Pt_Days != 0.000
55,"F[0,0](LOS < 0.000)"
56,"(F[0,0](PARTIAL_THROMBOPLASTIN_TIME < 0.000) | O2_Flow < 0.000)"
57,"(F[0,0](PARTIAL_THROMBOPLASTIN_TIME < 0.000) | G[0,0](AST_GOT != 0.000))"
58,"(GLUCOSE > 0.000 -> G[0,0](LOS > 0.000))"
59,"((Mort = 0.000) U[0,0] (LOS < 0.000))"
60,Mort != 0.000
61,LOS != 0.000
62,"((MAGNESIUM != 0.000) U[0,0] (LOS > 0.000))"
63,"(OXYGEN_SATURATION != 0.000 | F[0,0](MAGNESIUM != 0.000))"
64,"(F[0,0](CHLORIDE > 0.000) & G[0,0](s2_edrk != 0.000))"
65,"((Mort != 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME = 0.000))"
66,"((n_evts != 0.000) U[0,0] (LOS = 0.000))"
67,"(F[0,0](LOS > 0.000) | O2_Flow < 0.000)"
68,"F[0,0](ICU_Pt_Days != 0.000)"
