,Rule,Percent Count
0,"((death = 1.000) U[1,1] (n_evts > 3.500))",0.0
1,"((LOS < 122.000) U[1,1] (tte < 52.000))",0.0
2,"(G[1,1](AF != 1.000) | F[0,1](LOS > 122.000))",0.0
3,"((ICU_Pt_Days = 84.000) U[1,1] (ICU_Pt_Days != 84.000))",0.0
4,"G[1,0](y != 0.000)",0.0
5,"(F[1,1](ALT_GPT > 380.000) | LOS != 67.100)",0.0
6,"((srr != 0.700) U[1,1] (ICU_Pt_Days < 84.000))",0.0
7,"F[1,1](tte = 100.000)",0.5
8,"((death = 1.000) U[1,1] (LOS > 85.400))",0.0
9,"F[1,1](LOS = 103.700)",0.0
10,"((LOS > 122.000) U[0,1] (LOS < 122.000))",0.0
11,"((ALBUMIN > 5.000) U[0,1] (LOS > 122.000))",0.0
12,"((LOS != 0.000) U[1,1] (ICU_Pt_Days < 0.000))",0.0
13,"F[1,1](direct = 1.000)",0.0
14,"(F[1,1](Sgy < 1.000) | F[1,1](Temp = 44.000))",0.0
15,"(G[1,1](AF != 1.000) | CREATININE < 10.000)",0.0
16,"((LOS > 103.700) U[1,1] (LOS != 122.000))",0.0
17,"(G[1,1](TOTAL_BILIRUBIN > 10.000) | F[0,1](Resp < 50.000))",0.5
18,"((LOS = 85.400) U[1,1] (tte < 100.000))",0.0
19,"((ICU_Pt_Days = 120.000) U[0,1] (direct < 0.700))",0.0
20,"((n_evts > 5.000) U[1,1] (Mort = 1.000))",0.0
21,"F[1,1](y = 0.700)",0.0
22,"G[1,1](tte != 100.000)",0.0
23,"(F[0,1](Sgy < 0.000) | F[1,0](LOS < 122.000))",0.0
24,"((ALBUMIN > 1.000) U[1,0] (tte < -60.000))",0.0
25,"((LOS < 122.000) U[0,0] (ICU_Pt_Days != 120.000))",0.0
26,"((ICU_Pt_Days > 0.000) U[1,1] (LOS > 122.000))",0.0
27,"((LOS > 85.400) U[1,1] (ICU_Pt_Days != 120.000))",0.0
28,"((ICU_Pt_Days != 0.000) U[1,1] (Mort < 1.000))",0.0
29,"((LOS != 0.000) U[1,1] (LOS != 0.000))",0.0
30,"(G[1,1](AF != 0.850) | F[1,1](Resp < 0.000))",0.0
31,"(F[1,1](Sgy < 0.850) | TOTAL_PROTEIN = 8.800)",0.0
32,"((srr != 0.850) U[1,1] (ICU_Pt_Days = 0.000))",0.0
33,"F[1,1](n_evts != 3.500)",0.0
34,"F[1,0](MET < 1.000)",0.0
35,"((ICU_Pt_Days > 120.000) U[1,1] (Mort = 1.000))",0.0
36,"G[1,1](GLUCOSE > 460.000)",0.0
37,"F[1,1](y > 1.000)",0.0
38,"((LOS < 67.100) U[1,1] (direct < 1.000))",0.0
39,"((death = 1.000) U[1,1] (direct < 1.000))",0.0
40,"((y < 1.000) U[1,1] (y < 1.000))",0.0
41,"((Mort > 0.850) U[1,1] (LOS != 103.700))",0.0
42,ICU_Pt_Days != 0.000,0.0
43,"F[1,0](LOS < 0.000)",0.0
44,"((y < 1.000) U[1,1] (LOS < 122.000))",0.0
45,Mort != 0.000,0.0
46,LOS != 122.000,0.0
47,(CREATININE > 10.000 | TOTAL_PROTEIN = 4.000),1.0
48,"((ICU_Pt_Days < 120.000) U[0,1] (tte < -60.000))",0.0
49,"((LOS < 103.700) U[0,1] (Mort = 0.850))",0.0
50,"((ICU_Pt_Days = 48.000) U[1,1] (Mort = 0.000))",0.5
51,"(G[1,1](TOTAL_BILIRUBIN > 10.000) | TOTAL_PROTEIN = 2.000)",0.0
52,"F[1,1](death < 1.000)",0.0
53,"F[1,1](ICU_Pt_Days != 120.000)",0.0
54,"G[0,1](Mort < 1.000)",0.5
55,"F[0,0](n_evts = 5.000)",0.0
56,"((ALBUMIN > 5.000) U[1,1] (LOS < 122.000))",0.0
57,"((y < 1.000) U[1,0] (PLATELET_COUNT != 10.000))",0.0
58,"((ICU_Pt_Days = 120.000) U[1,0] (ICU_Pt_Days = 0.000))",0.0
