,Rule,Percent Count
0,"F[1,1]((y = 1.000 & Temp = 50.000))",0.5
1,"F[1,1]((CREATININE = 10.000 & Temp = 50.000))",1.0
2,"F[1,1]((direct = 1.000 & AF = 0.400))",0.5
3,"F[1,1]((LOS = 122.000 & CREATININE = 10.000))",1.0
4,"F[1,1]((y = 1.000 & Pulse > 400.000))",1.0
5,"F[0,0]((ICU_Pt_Days = 120.000 & n_edrk = 0.400))",0.5
6,"F[1,1]((ALKALINE_PHOSPHATASE = 400.000 & TROPONIN_I = 9.412))",0.5
7,"F[1,0]((ICU_Pt_Days = 120.000 & y > 1.000))",0.5
8,"F[1,0]((CREATININE = 4.000 & Sgy = 1.000))",0.5
9,"F[0,1]((direct = 1.000 & PLATELET_COUNT = 700.000))",0.5
10,"F[1,1]((ALKALINE_PHOSPHATASE = 400.000 & PHOSPHORUS = 10.000))",0.5
11,"F[1,1]((LOS < 122.000 -> y = 0.400))",0.5
12,"F[0,1]((death = 1.000 & AF = 1.000))",0.5
13,"F[1,1]((LOS = 122.000 & n_edrk = 1.000))",0.5
14,"F[1,1]((CO2 = 50.000 & direct = 1.000))",0.5
15,"F[1,1]((CO2 = 50.000 & ICU_Pt_Days > 120.000))",1.0
16,"F[1,1]((ICU_Pt_Days = 120.000 & POTASSIUM = 10.000))",0.5
17,"F[0,0]((direct = 1.000 & Pulse > 400.000))",0.5
18,"F[0,1]((CREATININE = 10.000 & O2_Flow = 10.000))",0.5
19,"F[1,1]((y = 1.000 & tte < 100.000))",1.0
