,Rule,Percent Count
0,"((LOS > 122.000) U[1,1] (Pulse = 400.000))",0.5
1,"((death > 1.000) U[0,1] (LOS > 122.000))",0.5
2,"((CALCIUM > 15.000) U[1,1] (ICU_Pt_Days = 120.000))",0.5
3,"((CALCIUM > 15.000) U[1,1] (y > 1.000))",1.0
4,"((Resp < 50.000) U[1,1] (PROTIME_INR = 2.000))",0.5
5,"((death > 1.000) U[1,1] (MET = 0.400))",0.5
6,"((Mort = 1.000) U[1,1] (Resp = 50.000))",0.5
7,"((af = 1.000) U[1,1] (n_evts > 4.104))",0.5
8,"((CALCIUM > 15.000) U[1,1] (s24_hr = 1.000))",0.5
9,"((ICU_Pt_Days > 48.000) U[1,0] (Glasgow_Coma_Scale_Total = 15.000))",0.5
10,"((CHLORIDE = 150.000) U[1,1] (s24_hr = 1.000))",0.5
11,"((LOS > 122.000) U[1,0] (n_evts = 5.000))",0.5
12,"((CHLORIDE = 150.000) U[1,1] (HEMOGLOBIN > 25.000))",0.5
13,"((CALCIUM > 15.000) U[1,1] (MET > 1.000))",1.0
14,"((tte = 100.000) U[1,1] (LOS > 30.500))",1.0
15,"((tte = 100.000) U[1,1] (Mort > 1.000))",0.5
16,"((ICU_Pt_Days = 120.000) U[1,1] (y = 1.000))",0.5
17,"((y > 1.000) U[1,0] (s24_hr = 0.639))",0.5
18,"((af = 1.000) U[1,0] (n_evts = 5.000))",0.5
19,"((CALCIUM = 15.000) U[1,1] (O2_Flow = 10.000))",1.0
20,"((SpO2 = 100.000) U[0,0] (hr = 300.000))",0.5
21,"((MET = 1.000) U[1,1] (Glasgow_Coma_Scale_Total = 6.000))",0.5
22,"((Mort = 1.000) U[1,1] (Mort = 1.000))",0.5
23,"((MET = 1.000) U[0,1] (Pulse = 400.000))",1.0
24,"((n_evts > 5.000) U[1,1] (Pulse = 400.000))",1.0
25,"((n_evts > 5.000) U[1,1] (ICU_Pt_Days = 48.000))",0.5
26,"((MET > 0.400) U[1,1] (lds = 5.000))",0.5
