,Rule,Percent Count
0,"((direct > 0.000) U[1,1] (CHLORIDE > 139.500))",0.0
1,"((CREATININE > 5.500) U[1,1] (ICU_Pt_Days < 66.000))",0.0
2,"((OXYGEN_SATURATION = 80.000) U[1,1] (SBP > 221.000))",0.0
3,"((GLUCOSE = 50.000) U[1,0] (ALT_GPT > 323.900))",0.0
4,"((ICU_Pt_Days > 0.000) U[1,0] (Sgy < 1.000))",0.0
5,"((Sgy < 0.700) U[1,1] (PHOSPHORUS > 10.000))",0.0
6,"((TOTAL_BILIRUBIN > 10.000) U[1,1] (BLOOD_UREA_NITROGEN > 120.000))",0.0
7,"((Sgy = 1.000) U[1,0] (Resp < 50.000))",0.0
8,"((y > 1.000) U[0,1] (HEMOGLOBIN > 21.400))",0.0
9,"((ICU_Pt_Days < 120.000) U[1,1] (PARTIAL_THROMBOPLASTIN_TIME > 140.000))",0.0
10,"((TOTAL_PROTEIN > 2.000) U[1,1] (Resp < 42.500))",0.0
11,"((hr > 300.000) U[0,0] (death < 1.000))",0.0
12,"((WHITE_BLOOD_CELL_COUNT > 26.000) U[0,1] (GLUCOSE = 460.000))",0.5
13,"((n_evts > 5.000) U[1,1] (CHLORIDE > 150.000))",0.5
14,"((MAGNESIUM = 4.250) U[0,0] (ALT_GPT > 323.900))",0.0
15,"((SODIUM = 200.000) U[0,1] (GLUCOSE > 50.000))",0.0
16,"((POTASSIUM > 5.950) U[1,1] (direct > 1.000))",0.0
17,"((Mort > 1.000) U[1,1] (y < 0.100))",1.0
18,"((dfa = -1.000) U[0,0] (Pulse > 400.000))",0.0
19,"((MET = 1.000) U[1,1] (ALBUMIN > 5.000))",0.0
20,"((direct > 1.000) U[1,1] (ALBUMIN > 5.000))",0.0
21,"((PROTIME_INR = 5.000) U[1,1] (tte > 100.000))",0.0
22,"((af > 1.000) U[1,1] (CHLORIDE > 150.000))",0.5
23,"((SBP < 260.000) U[1,1] (LACTIC_ACID > 5.000))",0.5
24,"((srr > 1.000) U[1,0] (TOTAL_BILIRUBIN != 10.000))",0.0
25,"((s2_edrk > 0.700) U[0,1] (LOS < 103.700))",0.0
26,"((BLOOD_UREA_NITROGEN = 120.000) U[1,1] (PHOSPHORUS > 10.000))",0.5
27,"((CHLORIDE = 150.000) U[1,1] (CHLORIDE > 150.000))",0.0
28,"((PLATELET_COUNT > 700.000) U[1,1] (POTASSIUM > 10.000))",0.0
29,"((PCO2 > 59.000) U[0,0] (GLUCOSE < 50.000))",0.0
30,"((ALBUMIN > 5.000) U[1,1] (Mort < 1.000))",0.0
31,"((SODIUM = 200.000) U[1,0] (GLUCOSE = 398.500))",0.0
32,"((s24_hr = 1.000) U[0,0] (death < 0.000))",0.0
33,"((Pulse = 400.000) U[1,1] (death > 0.850))",0.0
34,"((TROPONIN_I = 23.500) U[1,1] (SpO2 > 100.000))",0.0
35,"((BLOOD_UREA_NITROGEN = 120.000) U[1,1] (MET > 0.400))",0.5
36,"((n_evts = 5.000) U[1,1] (ICU_Pt_Days > 84.000))",0.0
37,"((ALT_GPT = 323.900) U[1,1] (MET < 0.000))",0.0
38,"((ALBUMIN < 5.000) U[1,1] (tte < -60.000))",0.0
39,"((SBP < 221.000) U[1,0] (Resp > 42.500))",0.0
40,"((AF = 1.000) U[1,0] (n_evts > 5.000))",0.0
41,"((MET = 0.000) U[0,1] (BLOOD_UREA_NITROGEN > 120.000))",0.0
42,"((WHITE_BLOOD_CELL_COUNT = 26.000) U[0,1] (Temp > 44.000))",0.0
43,"((s2_edrk = 0.700) U[0,1] (direct > 0.850))",0.0
44,"((ICU_Pt_Days = 0.000) U[0,1] (Mort < 0.000))",0.0
45,"((Glasgow_Coma_Scale_Total = 15.000) U[1,0] (ALKALINE_PHOSPHATASE > 400.000))",0.0
