,Missed Client Rules
0,"((AF >= 0.000) U[0,0] (Pulse <= 0.000))"
1,"((AF >= 0.000) U[0,0] (s24_hr <= 0.000))"
2,"((ALBUMIN >= 0.000) U[0,0] (hr >= 0.000))"
3,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
4,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (s8_hr <= 0.000))"
5,"((CALCIUM <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
6,"((CALCIUM <= 0.000) U[0,0] (s2_hr <= 0.000))"
7,"((CALCIUM >= 0.000) U[0,0] (n_edrk <= 0.000))"
8,"((CHLORIDE <= 0.000) U[0,0] (HEMOGLOBIN >= 0.000))"
9,"((CHLORIDE >= 0.000) U[0,0] (n_edrk <= 0.000))"
10,"((CO2 <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
11,"((CREATININE >= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
12,"((CREATININE >= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
13,"((CREATININE >= 0.000) U[0,0] (death <= 0.000))"
14,"((GLUCOSE >= 0.000) U[0,0] (PROTIME_INR >= 0.000))"
15,"((HEMOGLOBIN >= 0.000) U[0,0] (LACTIC_ACID >= 0.000))"
16,"((HEMOGLOBIN >= 0.000) U[0,0] (tte <= 0.000))"
17,"((O2_Flow <= 0.000) U[0,0] (PLATELET_COUNT >= 0.000))"
18,"((O2_Flow <= 0.000) U[0,0] (tte <= 0.000))"
19,"((PARTIAL_THROMBOPLASTIN_TIME <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
20,"((PARTIAL_THROMBOPLASTIN_TIME >= 0.000) U[0,0] (POTASSIUM <= 0.000))"
21,"((PHOSPHORUS <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
22,"((PHOSPHORUS >= 0.000) U[0,0] (tte <= 0.000))"
23,"((POTASSIUM < 0.000) U[0,0] (y = 0.000))"
24,"((POTASSIUM <= 0.000) U[0,0] (tte <= 0.000))"
25,"((PROTIME_INR <= 0.000) U[0,0] (tte <= 0.000))"
26,"((PROTIME_INR >= 0.000) U[0,0] (s24_hr >= 0.000))"
27,"((Resp <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
28,"((SODIUM >= 0.000) U[0,0] (tte <= 0.000))"
29,"((af <= 0.000) U[0,0] (y = 0.000))"
30,"((af >= 0.000) U[0,0] (s2_hr <= 0.000))"
31,"((cosen < 0.000) U[0,0] (y = 0.000))"
32,"((cosen <= 0.000) U[0,0] (tte <= 0.000))"
33,"((death <= 0.000) U[0,0] (n_edrk <= 0.000))"
34,"((death <= 0.000) U[0,0] (tte <= 0.000))"
