,Non Rules
0,"((CREATININE > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
1,"((GLUCOSE < 0.000) U[0,0] (MET > 0.000))"
2,"((OXYGEN_SATURATION = 0.000) U[0,0] (SBP > 0.000))"
3,"((s8_hr = 0.000) U[0,0] (LOS > 0.000))"
4,"((Sgy = 0.000) U[0,0] (Mort = 0.000))"
5,"((SpO2 > 0.000) U[0,0] (n_evts = 0.000))"
6,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (n_evts = 0.000))"
7,"((TOTAL_PROTEIN > 0.000) U[0,0] (n_evts > 0.000))"
8,"((WHITE_BLOOD_CELL_COUNT > 0.000) U[0,0] (y = 0.000))"
9,"((tte = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
10,"((Mort > 0.000) U[0,0] (y < 0.000))"
11,"((Resp > 0.000) U[0,0] (tte > 0.000))"
12,"((LOS > 0.000) U[0,0] (PLATELET_COUNT < 0.000))"
13,"((ALBUMIN = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
14,"((Resp > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
15,"((PROTIME_INR = 0.000) U[0,0] (tte > 0.000))"
16,"((CHLORIDE < 0.000) U[0,0] (LOS < 0.000))"
17,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort > 0.000))"
18,"((s2_edrk > 0.000) U[0,0] (LOS < 0.000))"
19,"((ALBUMIN > 0.000) U[0,0] (Mort < 0.000))"
20,"((TROPONIN_I = 0.000) U[0,0] (SpO2 > 0.000))"
21,"((ALT_GPT < 0.000) U[0,0] (LOS = 0.000))"
22,"((PROTIME_INR = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
23,"((ALBUMIN > 0.000) U[0,0] (n_evts > 0.000))"
24,"((Pulse > 0.000) U[0,0] (Mort = 0.000))"
25,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
26,"((PROTIME_INR > 0.000) U[0,0] (y > 0.000))"
27,"((SBP < 0.000) U[0,0] (Resp > 0.000))"
28,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (y > 0.000))"
29,"((s2_edrk = 0.000) U[0,0] (direct > 0.000))"
30,"((GLUCOSE = 0.000) U[0,0] (n_evts = 0.000))"
31,"((ALT_GPT = 0.000) U[0,0] (death > 0.000))"
32,"((OXYGEN_SATURATION = 0.000) U[0,0] (y = 0.000))"
33,"((SODIUM = 0.000) U[0,0] (Mort < 0.000))"
34,"((s2_hr = 0.000) U[0,0] (death > 0.000))"
35,"((cosen = 0.000) U[0,0] (Resp > 0.000))"
36,"((ALT_GPT < 0.000) U[0,0] (O2_Flow > 0.000))"
37,"((AST_GOT = 0.000) U[0,0] (n_evts < 0.000))"
38,"((CO2 < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
39,"((death > 0.000) U[0,0] (n_evts = 0.000))"
40,"((n_edrk = 0.000) U[0,0] (O2_Flow > 0.000))"
41,"((s8_edrk > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
42,"((ALBUMIN < 0.000) U[0,0] (tte > 0.000))"
43,"((dfa > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
44,"((Temp > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
45,"((WHITE_BLOOD_CELL_COUNT = 0.000) U[0,0] (n_evts > 0.000))"
46,"((CALCIUM > 0.000) U[0,0] (SBP > 0.000))"
47,"((CHLORIDE > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
48,"((hr > 0.000) U[0,0] (n_evts > 0.000))"
49,"((CALCIUM < 0.000) U[0,0] (direct > 0.000))"
