,Rule,Percent Count
0,"(F[0,1](AF < 0.000) -> G[1,1](MET < 0.000))",0.0
1,"(G[1,0](LACTIC_ACID != 0.000) -> G[1,1](MET < 1.000))",0.0
2,"(G[1,0](death > 1.000) | G[1,1](ALBUMIN = 5.000))",0.0
3,"(G[1,1](LACTIC_ACID != 5.000) -> F[1,1](GLUCOSE < 460.000))",0.0
4,"(F[0,0](LOS != 0.000) & TROPONIN_I > 23.500)",0.0
5,"(G[1,1](dfa < 5.000) -> G[1,1](y != 1.000))",0.0
6,"(PROTIME_INR = 5.000 -> G[1,1](Glasgow_Coma_Scale_Total > 15.000))",0.0
7,"(F[1,1](TROPONIN_I > 23.500) & cosen < 1.000)",0.0
8,"(G[0,1](CALCIUM < 2.000) | G[0,1](Pulse < 400.000))",0.0
9,"G[1,1](y != 1.000)",0.0
10,"((CHLORIDE < 150.000) U[0,1] (n_edrk != 1.000))",0.0
11,"(G[0,1](Pulse = 400.000) & LOS > 0.000)",0.0
12,"G[1,1](tte = 100.000)",0.0
13,"((AF != 1.000) U[1,1] (LOS < 122.000))",0.5
14,"F[1,1](LOS = 122.000)",0.0
15,"((LOS > 103.700) U[0,0] (LOS < 0.000))",0.0
16,"(F[1,1](LOS != 0.000) & G[1,1](death = 0.700))",0.0
17,"(G[1,1](death != 0.700) & cosen < -0.800)",0.0
18,(direct < 0.550 | LACTIC_ACID != 5.000),0.0
19,"(G[0,1](CALCIUM < 2.000) | PARTIAL_THROMBOPLASTIN_TIME = 122.000)",0.0
20,"((s2_hr = 1.000) U[0,1] (n_edrk != 0.000))",0.0
21,"(F[1,1](direct > 0.550) -> MAGNESIUM < 5.000)",0.0
22,"(G[1,1](Resp = 0.000) -> G[1,0](Glasgow_Coma_Scale_Total > 15.000))",0.0
23,"((LOS > 122.000) U[1,1] (LOS != 85.400))",0.0
24,"(F[1,1](TOTAL_PROTEIN = 10.000) & G[0,0](death = 1.000))",0.0
25,(OXYGEN_SATURATION > 80.000 & PROTIME_INR = 5.000),0.0
26,"(G[1,0](death > 0.000) | edrk < 23.200)",0.5
27,"(cosen < -0.800 -> F[1,1](GLUCOSE < 337.000))",0.0
28,"(F[1,1](TROPONIN_I > 23.500) & F[1,1](death = 1.000))",0.0
29,"(G[1,1](cosen = 1.000) | PCO2 > 80.000)",0.0
30,"((ICU_Pt_Days > 84.000) U[1,1] (LOS > 122.000))",0.0
31,"(n_evts = 3.500 & F[1,1](dfa < 5.000))",0.0
32,"((LOS != 0.000) U[0,1] (LOS != 0.000))",0.0
33,"(G[1,1](cosen = 1.000) | PARTIAL_THROMBOPLASTIN_TIME = 140.000)",0.0
34,(BLOOD_UREA_NITROGEN > 66.450 -> MAGNESIUM < 5.000),0.0
35,"(G[1,1](SBP > 260.000) & F[1,1](death = 0.550))",0.0
36,"(F[1,1](direct > 0.000) -> F[1,1](PLATELET_COUNT > 700.000))",0.0
37,"(G[1,0](dfa < 5.000) -> F[0,1](PLATELET_COUNT > 700.000))",0.0
38,"F[1,1](n_evts != 5.000)",0.5
39,"(OXYGEN_SATURATION > 80.000 & G[1,0](TROPONIN_I != 0.020))",0.0
40,"F[1,1](MET < 1.000)",0.0
