,Rule,Percent Count
0,"((death > 1.000) U[1,1] (Mort > 1.000))",0.5
1,"((ICU_Pt_Days > 30.000) U[1,1] (CALCIUM > 15.000))",1.0
2,"((hr = 300.000) U[1,1] (death > 1.000))",0.5
3,"((direct = 0.000) U[1,1] (n_evts > 2.000))",0.5
4,"((af = 0.400) U[1,1] (direct > 0.400))",0.5
5,"((death = 1.000) U[1,1] (ICU_Pt_Days > 120.000))",0.5
6,"((ICU_Pt_Days = 120.000) U[1,0] (direct > 0.400))",0.5
7,"((OXYGEN_SATURATION < 100.000) U[1,1] (Sgy > 1.000))",1.0
8,"((ICU_Pt_Days = 120.000) U[1,1] (death > 1.000))",0.5
9,"((MET > 1.000) U[1,1] (Sgy > 1.000))",0.5
10,"((HEMOGLOBIN > 25.000) U[0,1] (direct > 1.000))",0.5
11,"((Mort = 1.000) U[0,1] (Mort > 0.400))",0.5
12,"((LOS > 122.000) U[1,0] (SpO2 = 100.000))",1.0
13,"((s24_hr = 1.000) U[1,0] (SpO2 = 100.000))",0.5
14,"((CO2 = 50.000) U[0,1] (death > 0.000))",0.5
15,"((PROTIME_INR > 2.000) U[1,1] (death > 0.400))",0.5
16,"((af > 1.000) U[1,0] (Sgy > 1.000))",0.5
17,"((CO2 = 16.250) U[1,1] (CALCIUM > 15.000))",1.0
18,"((OXYGEN_SATURATION < 100.000) U[1,1] (Mort > 0.400))",0.5
19,"((direct > 1.000) U[0,1] (direct > 1.000))",0.5
20,"((AF > 1.000) U[1,1] (Mort > 1.000))",0.5
21,"((Pulse = 400.000) U[1,1] (y > 1.000))",0.5
22,"((CALCIUM < 15.000) U[1,1] (Mort > 1.000))",0.5
23,"((tte < 100.000) U[1,1] (ICU_Pt_Days > 120.000))",0.5
24,"((af > 1.000) U[1,1] (direct > 0.400))",0.5
25,"((s2_hr < -1.000) U[1,1] (direct > 0.400))",0.5
26,"((s8_edrk < 1.000) U[1,1] (MET > 0.000))",0.5
27,"((s24_hr > 1.000) U[0,1] (n_evts > 2.000))",0.5
28,"((ALKALINE_PHOSPHATASE = 111.250) U[0,1] (CALCIUM > 15.000))",1.0
29,"((LOS > 48.800) U[1,1] (direct > 1.000))",0.5
30,"((ICU_Pt_Days > 120.000) U[0,1] (y > 0.400))",0.5
31,"((s2_hr < 1.000) U[1,0] (LOS > 122.000))",0.5
32,"((HEMOGLOBIN > 25.000) U[1,1] (y > 1.000))",1.0
33,"((CALCIUM = 15.000) U[1,1] (SpO2 = 100.000))",0.5
34,"((Pulse = 400.000) U[1,1] (LOS > 122.000))",0.5
35,"((Pulse = 0.000) U[0,1] (Sgy > 1.000))",0.5
36,"((hr > 300.000) U[1,1] (y > 1.000))",0.5
37,"((CALCIUM = 15.000) U[1,1] (y > 1.000))",1.0
38,"((dfa = 5.000) U[1,1] (Mort > 1.000))",1.0
39,"((PARTIAL_THROMBOPLASTIN_TIME < 68.000) U[1,1] (y > 1.000))",0.5
40,"((TOTAL_PROTEIN = 10.000) U[1,1] (LOS > 122.000))",0.5
41,"((tte = -20.000) U[0,1] (Mort > 1.000))",1.0
42,"((tte = 100.000) U[1,1] (n_evts > 5.000))",0.5
43,"((Temp < 50.000) U[1,1] (direct > 1.000))",1.0
44,"((n_edrk = 1.000) U[1,1] (ICU_Pt_Days > 48.000))",0.5
45,"((GLUCOSE = 460.000) U[1,1] (Sgy > 1.000))",1.0
46,"((CO2 < 50.000) U[1,1] (direct > 1.000))",1.0
47,"((CO2 = 50.000) U[1,1] (direct > 1.000))",0.5
