,Cp,Lambda,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
0,basic,1,1000,553,0.03616636528028933,20,16,0.5555555555555556,43,0.27906976744186046,12,0,1.0
1,basic,1,1000,553,0.03616636528028933,20,22,0.47619047619047616,43,0.3488372093023256,15,0,1.0
2,basic,1,1000,553,0.048824593128390596,27,18,0.6,43,0.18604651162790697,8,0,1.0
3,basic,1,1,553,0.0018083182640144665,1,2,0.3333333333333333,43,0.16279069767441862,7,0,1.0
4,basic,1,1,553,0.028933092224231464,16,44,0.26666666666666666,43,0.27906976744186046,12,0,1.0
5,basic,1,1,553,0.048824593128390596,27,40,0.40298507462686567,43,0.18604651162790697,8,0,1.0
6,basic,0-1,1000,553,0.05786618444846293,32,18,0.64,43,0.20930232558139536,9,0,1.0
7,basic,0-1,1000,553,0.05786618444846293,32,32,0.5,43,0.18604651162790697,8,0,1.0
8,basic,0-1,1000,553,0.05605786618444846,31,28,0.5254237288135594,43,0.23255813953488372,10,0,1.0
9,basic,0-1,1,553,0.045207956600361664,25,36,0.4098360655737705,43,0.18604651162790697,8,0,1.0
10,basic,0-1,1,553,0.05605786618444846,31,31,0.5,43,0.18604651162790697,8,0,1.0
11,basic,0-1,1,553,0.0,0,2,0.0,43,0.0,0,2,0.0
12,beta,1,1000,553,0.05063291139240506,28,28,0.5,43,0.27906976744186046,12,0,1.0
13,beta,1,1000,553,0.0433996383363472,24,22,0.5217391304347826,43,0.32558139534883723,14,0,1.0
14,beta,1,1000,553,0.06690777576853527,37,24,0.6065573770491803,43,0.18604651162790697,8,0,1.0
15,beta,1,1,553,0.0054249547920434,3,6,0.3333333333333333,43,0.16279069767441862,7,0,1.0
16,beta,1,1,553,0.009041591320072333,5,34,0.1282051282051282,43,0.2558139534883721,11,0,1.0
17,beta,1,1,553,0.007233273056057866,4,11,0.26666666666666666,43,0.2558139534883721,11,0,1.0
18,beta,0-1,1000,553,0.0433996383363472,24,27,0.47058823529411764,43,0.3023255813953488,13,0,1.0
19,beta,0-1,1000,553,0.048824593128390596,27,17,0.6136363636363636,43,0.18604651162790697,8,0,1.0
20,beta,0-1,1000,553,0.0325497287522604,18,23,0.43902439024390244,43,0.18604651162790697,8,0,1.0
21,beta,0-1,1,553,0.0,0,15,0.0,43,0.09302325581395349,4,0,1.0
22,beta,0-1,1,553,0.003616636528028933,2,13,0.13333333333333333,43,0.09302325581395349,4,1,0.8
23,beta,0-1,1,553,0.0,0,0,0.0,43,0.0,0,0,0.0
