,Non Rules
0,"((ALBUMIN = 0.000) U[0,0] (direct < 0.000))"
1,"((n_edrk > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
2,"((direct < 0.000) U[0,0] (direct = 0.000))"
3,"((Resp = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((Mort = 0.000) U[0,0] (Mort < 0.000))"
5,"((n_edrk > 0.000) U[0,0] (tte > 0.000))"
6,"((death > 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
7,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
8,"((Mort > 0.000) U[0,0] (ALKALINE_PHOSPHATASE > 0.000))"
9,"((SpO2 > 0.000) U[0,0] (MET = 0.000))"
10,"((n_evts > 0.000) U[0,0] (n_edrk < 0.000))"
11,"((MET = 0.000) U[0,0] (Sgy > 0.000))"
12,"((PLATELET_COUNT = 0.000) U[0,0] (Sgy > 0.000))"
13,"((Sgy < 0.000) U[0,0] (death > 0.000))"
14,"((Sgy < 0.000) U[0,0] (death < 0.000))"
15,"((Mort = 0.000) U[0,0] (direct = 0.000))"
16,"((Resp = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
17,"((Mort > 0.000) U[0,0] (death = 0.000))"
18,"((direct < 0.000) U[0,0] (death = 0.000))"
19,"((n_edrk > 0.000) U[0,0] (Mort < 0.000))"
20,"((Temp = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
21,"((O2_Flow = 0.000) U[0,0] (death = 0.000))"
22,"((direct > 0.000) U[0,0] (n_evts > 0.000))"
23,"((SpO2 > 0.000) U[0,0] (tte < 0.000))"
24,"((n_edrk > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
25,"((Mort = 0.000) U[0,0] (Mort = 0.000))"
26,"((ICU_Pt_Days < 0.000) U[0,0] (n_edrk < 0.000))"
27,"((LOS > 0.000) U[0,0] (tte < 0.000))"
28,"((death = 0.000) U[0,0] (tte > 0.000))"
29,"((n_edrk > 0.000) U[0,0] (y > 0.000))"
30,"((tte = 0.000) U[0,0] (Mort < 0.000))"
31,"((direct > 0.000) U[0,0] (y = 0.000))"
32,"((MET = 0.000) U[0,0] (SpO2 = 0.000))"
33,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (ALT_GPT > 0.000))"
34,"((n_edrk > 0.000) U[0,0] (Sgy > 0.000))"
35,"((lds < 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
36,"((direct > 0.000) U[0,0] (Mort > 0.000))"
37,"((n_edrk > 0.000) U[0,0] (ALT_GPT > 0.000))"
38,"((tte < 0.000) U[0,0] (Mort < 0.000))"
39,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (af > 0.000))"
