,Non Rules
0,"((SpO2 = 0.000) U[0,0] (Mort < 0.000))"
1,"((direct > 0.000) U[0,0] (CREATININE = 0.000))"
2,"((Temp > 0.000) U[0,0] (SBP > 0.000))"
3,"((tte < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((cosen = 0.000) U[0,0] (CHLORIDE = 0.000))"
5,"((death = 0.000) U[0,0] (ALT_GPT = 0.000))"
6,"((LACTIC_ACID = 0.000) U[0,0] (ALT_GPT = 0.000))"
7,"((cosen = 0.000) U[0,0] (O2_Flow = 0.000))"
8,"((CALCIUM = 0.000) U[0,0] (death = 0.000))"
9,"((ALBUMIN = 0.000) U[0,0] (n_evts > 0.000))"
10,"((n_evts = 0.000) U[0,0] (ALT_GPT = 0.000))"
11,"((death > 0.000) U[0,0] (MET > 0.000))"
12,"((Mort > 0.000) U[0,0] (death > 0.000))"
13,"((death < 0.000) U[0,0] (LOS > 0.000))"
14,"((CHLORIDE = 0.000) U[0,0] (Mort > 0.000))"
15,"((death = 0.000) U[0,0] (y = 0.000))"
16,"((cosen = 0.000) U[0,0] (SpO2 = 0.000))"
17,"((Mort < 0.000) U[0,0] (Pulse = 0.000))"
18,"((tte > 0.000) U[0,0] (death > 0.000))"
19,"((Mort < 0.000) U[0,0] (tte < 0.000))"
20,"((n_evts > 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
21,"((Pulse = 0.000) U[0,0] (Temp = 0.000))"
22,"((LOS > 0.000) U[0,0] (Mort < 0.000))"
23,"((n_evts > 0.000) U[0,0] (SBP > 0.000))"
