,Rule,Percent Count
0,"F[1,1]((death > 1.000 & Pulse = 400.000))",1.0
1,"F[1,1]((y > 1.000 & ICU_Pt_Days = 120.000))",0.5
2,"F[1,1]((O2_Flow > 10.000 & Mort = 1.000))",1.0
3,"F[0,1]((ICU_Pt_Days > 120.000 & death = 1.000))",0.5
4,"G[1,1]((LOS = 122.000 -> LOS > 122.000))",1.0
5,"G[1,0]((tte > 100.000 -> O2_Flow = 10.000))",0.5
6,"F[1,1]((ICU_Pt_Days > 120.000 & Pulse = 400.000))",0.5
7,"G[0,1]((O2_Flow = 10.000 -> LOS > 122.000))",0.5
8,"G[0,1]((SBP = 104.000 -> LOS > 122.000))",0.5
9,"G[1,0]((n_evts = 5.000 -> LOS > 48.800))",0.5
10,"G[1,1]((ICU_Pt_Days = 0.000 -> O2_Flow = 2.500))",1.0
11,"F[0,1]((MET > 0.250 & Resp = 12.500))",1.0
12,"G[0,1]((n_evts = 1.250 -> LOS = 122.000))",1.0
13,"G[1,1]((n_evts = 5.000 -> O2_Flow = 10.000))",0.5
14,"F[0,1]((y > 1.000 & y = 1.000))",0.5
15,"G[0,1]((O2_Flow = 4.000 -> O2_Flow = 10.000))",0.5
