,Non Rules
0,"((SpO2 > 0.000) U[0,0] (death > 0.000))"
1,"((Mort > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
2,"((Sgy > 0.000) U[0,0] (Sgy = 0.000))"
3,"((Sgy > 0.000) U[0,0] (SpO2 = 0.000))"
4,"((direct > 0.000) U[0,0] (Mort > 0.000))"
5,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"((Pulse = 0.000) U[0,0] (tte < 0.000))"
7,"((y = 0.000) U[0,0] (tte > 0.000))"
8,"((MET = 0.000) U[0,0] (direct = 0.000))"
9,"((O2_Flow = 0.000) U[0,0] (Pulse > 0.000))"
10,"((Sgy = 0.000) U[0,0] (tte > 0.000))"
11,"((n_evts > 0.000) U[0,0] (death = 0.000))"
12,"((MET = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
13,"((n_evts > 0.000) U[0,0] (Pulse > 0.000))"
14,"((Sgy = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
15,"((CO2 = 0.000) U[0,0] (Sgy = 0.000))"
16,"((direct = 0.000) U[0,0] (n_evts < 0.000))"
17,"((MET > 0.000) U[0,0] (y = 0.000))"
18,"((MET < 0.000) U[0,0] (n_evts = 0.000))"
19,"((LOS > 0.000) U[0,0] (n_evts < 0.000))"
20,"((CO2 = 0.000) U[0,0] (Pulse > 0.000))"
21,"((SBP = 0.000) U[0,0] (MET < 0.000))"
22,"((Temp > 0.000) U[0,0] (Resp > 0.000))"
23,"((tte = 0.000) U[0,0] (MET = 0.000))"
24,"((direct > 0.000) U[0,0] (tte < 0.000))"
25,"((SBP > 0.000) U[0,0] (CO2 = 0.000))"
26,"((SpO2 > 0.000) U[0,0] (SpO2 = 0.000))"
27,"((n_evts = 0.000) U[0,0] (death < 0.000))"
28,"((tte > 0.000) U[0,0] (tte = 0.000))"
29,"((Resp = 0.000) U[0,0] (direct = 0.000))"
30,"((MET > 0.000) U[0,0] (LOS > 0.000))"
31,"((direct > 0.000) U[0,0] (y > 0.000))"
32,"((Resp = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
33,"((LOS > 0.000) U[0,0] (MET = 0.000))"
34,"((MET = 0.000) U[0,0] (direct > 0.000))"
35,"((SBP > 0.000) U[0,0] (Resp > 0.000))"
36,"((Temp > 0.000) U[0,0] (MET = 0.000))"
37,"((death > 0.000) U[0,0] (MET = 0.000))"
38,"((SBP = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
39,"((tte = 0.000) U[0,0] (tte = 0.000))"
40,"((CO2 = 0.000) U[0,0] (Mort = 0.000))"
41,"((ICU_Pt_Days = 0.000) U[0,0] (tte = 0.000))"
42,"((Pulse = 0.000) U[0,0] (MET < 0.000))"
43,"((Temp > 0.000) U[0,0] (tte = 0.000))"
