,Non Rules
0,"((n_evts < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
1,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (n_evts < 0.000))"
2,"((MET < 0.000) U[0,0] (MET > 0.000))"
3,"((dfa > 0.000) U[0,0] (n_evts < 0.000))"
4,"((dfa > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
5,"((Resp < 0.000) U[0,0] (y > 0.000))"
6,"((LOS > 0.000) U[0,0] (MET > 0.000))"
7,"((LOS = 0.000) U[0,0] (Mort = 0.000))"
8,"F[0,0]((ICU_Pt_Days > 0.000 & ICU_Pt_Days = 0.000))"
9,"((O2_Flow < 0.000) U[0,0] (MET > 0.000))"
10,"((Resp = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
11,"G[0,0]((LOS > 0.000 -> LOS > 0.000))"
12,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
13,"((dfa > 0.000) U[0,0] (death = 0.000))"
14,"((death > 0.000) U[0,0] (direct = 0.000))"
15,"((LOS > 0.000) U[0,0] (LOS = 0.000))"
16,"((LOS > 0.000) U[0,0] (Mort > 0.000))"
17,"((Mort > 0.000) U[0,0] (O2_Flow < 0.000))"
18,"((y = 0.000) U[0,0] (n_evts > 0.000))"
19,"((Resp < 0.000) U[0,0] (death = 0.000))"
