,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
14,basic_Prunesmall,1000,1000,553,0.048824593,27,17,0.613636364,43,0.186046512,8,0,1
15,basic_Prunesmall,1000,100,553,0.025316456,14,25,0.358974359,43,0.162790698,7,0,1
16,basic_Prunesmall,1000,10,553,0.036166365,20,40,0.333333333,43,0.186046512,8,0,1
17,basic_Prunesmall,1000,1,553,0.034358047,19,41,0.316666667,43,0.255813953,11,0,1
18,basic_Prunesmall,1000,0.1,553,0.057866184,32,47,0.405063291,43,0.186046512,8,3,0.727272727
19,basic_Prunesmall,1000,0.01,553,0.045207957,25,51,0.328947368,43,0.186046512,8,0,1
20,basic_Prunesmall,1000,0.001,553,0.03074141,17,21,0.447368421,43,0.23255814,10,1,0.909090909
35,beta_Prunesmall,1000,1000,553,0.061482821,34,37,0.478873239,43,0.418604651,18,0,1
36,beta_Prunesmall,1000,100,553,0,0,0,0,43,0,0,0,0
37,beta_Prunesmall,1000,10,553,0.01084991,6,17,0.260869565,43,0.162790698,7,0,1
38,beta_Prunesmall,1000,1,553,0.007233273,4,15,0.210526316,43,0.302325581,13,0,1
39,beta_Prunesmall,1000,0.1,553,0.018083183,10,31,0.243902439,43,0.186046512,8,0,1
40,beta_Prunesmall,1000,0.01,553,0.005424955,3,7,0.3,43,0.23255814,10,0,1
41,beta_Prunesmall,1000,0.001,553,0.001808318,1,10,0.090909091,43,0.139534884,6,1,0.857142857
56,eps_Prunesmall,1000,1000,553,0.027124774,15,14,0.517241379,43,0.325581395,14,0,1
57,eps_Prunesmall,1000,100,553,0.001808318,1,8,0.111111111,43,0.279069767,12,0,1
58,eps_Prunesmall,1000,10,553,0.032549729,18,25,0.418604651,43,0.186046512,8,2,0.8
59,eps_Prunesmall,1000,1,553,0.036166365,20,43,0.317460317,43,0.186046512,8,0,1
60,eps_Prunesmall,1000,0.1,553,0.005424955,3,4,0.428571429,43,0.23255814,10,0,1
61,eps_Prunesmall,1000,0.01,553,0.007233273,4,14,0.222222222,43,0.325581395,14,0,1
62,eps_Prunesmall,1000,0.001,553,0.009041591,5,12,0.294117647,43,0.255813953,11,0,1
