,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
0,basic_Prunebasic,1000,1000.0,553,0.045207956600361664,25,22,0.5319148936170213,43,0.2558139534883721,11,0,1.0
1,basic_Prunebasic,1000,100.0,553,0.027124773960216998,15,28,0.3488372093023256,43,0.18604651162790697,8,0,1.0
2,basic_Prunebasic,1000,10.0,553,0.009041591320072333,5,17,0.22727272727272727,43,0.18604651162790697,8,3,0.7272727272727273
3,basic_Prunebasic,1000,1.0,553,0.0379746835443038,21,43,0.328125,43,0.18604651162790697,8,0,1.0
4,basic_Prunebasic,1000,0.1,553,0.0,0,1,0.0,43,0.06976744186046512,3,0,1.0
5,basic_Prunebasic,1000,0.01,553,0.0018083182640144665,1,3,0.25,43,0.16279069767441862,7,0,1.0
6,basic_Prunebasic,1000,0.001,553,0.048824593128390596,27,55,0.32926829268292684,43,0.18604651162790697,8,0,1.0
7,basic_Pruneone,1000,1000.0,553,0.04701627486437613,26,25,0.5098039215686274,43,0.23255813953488372,10,0,1.0
8,basic_Pruneone,1000,100.0,553,0.018083182640144666,10,19,0.3448275862068966,43,0.18604651162790697,8,0,1.0
9,basic_Pruneone,1000,10.0,553,0.03074141048824593,17,22,0.4358974358974359,43,0.16279069767441862,7,0,1.0
10,basic_Pruneone,1000,1.0,553,0.0018083182640144665,1,4,0.2,43,0.3953488372093023,17,0,1.0
11,basic_Pruneone,1000,0.1,553,0.04701627486437613,26,57,0.3132530120481928,43,0.18604651162790697,8,0,1.0
12,basic_Pruneone,1000,0.01,553,0.039783001808318265,22,39,0.36065573770491804,43,0.18604651162790697,8,0,1.0
13,basic_Pruneone,1000,0.001,553,0.0,0,0,0.0,43,0.0,0,0,0.0
14,basic_Prunesmall,1000,1000.0,553,0.048824593128390596,27,17,0.6136363636363636,43,0.18604651162790697,8,0,1.0
15,basic_Prunesmall,1000,100.0,553,0.02531645569620253,14,25,0.358974358974359,43,0.16279069767441862,7,0,1.0
16,basic_Prunesmall,1000,10.0,553,0.03616636528028933,20,40,0.3333333333333333,43,0.18604651162790697,8,0,1.0
17,basic_Prunesmall,1000,1.0,553,0.034358047016274866,19,41,0.31666666666666665,43,0.2558139534883721,11,0,1.0
18,basic_Prunesmall,1000,0.1,553,0.05786618444846293,32,47,0.4050632911392405,43,0.18604651162790697,8,3,0.7272727272727273
19,basic_Prunesmall,1000,0.01,553,0.045207956600361664,25,51,0.32894736842105265,43,0.18604651162790697,8,0,1.0
20,basic_Prunesmall,1000,0.001,553,0.03074141048824593,17,21,0.4473684210526316,43,0.23255813953488372,10,1,0.9090909090909091
