,Rule,Percent Count
0,"((death > 0.400) U[1,1] (tte = 100.000))",0.5
1,"((Mort = 1.000) U[1,1] (death > 1.000))",0.5
2,"((CALCIUM = 2.000) U[1,1] (y > 1.000))",1.0
3,"((Mort = 1.000) U[1,1] (tte = 4.000))",0.5
4,"((ICU_Pt_Days = 54.793) U[0,0] (direct = 1.000))",0.5
5,"((death = 0.400) U[1,1] (MET > 1.000))",0.5
6,"((tte < 100.000) U[1,1] (O2_Flow = 10.000))",1.0
7,"((ICU_Pt_Days > 120.000) U[1,0] (ICU_Pt_Days < 120.000))",0.5
8,"((tte = 100.000) U[1,0] (direct > 0.213))",0.5
9,"((MET > 1.000) U[1,1] (Glasgow_Coma_Scale_Total = 15.000))",0.5
10,"((Glasgow_Coma_Scale_Total < 15.000) U[1,1] (CHLORIDE = 150.000))",0.5
11,"((Glasgow_Coma_Scale_Total = 15.000) U[1,1] (Mort < 0.400))",0.5
12,"((Sgy > 1.000) U[1,1] (ICU_Pt_Days = 120.000))",0.5
13,"((ICU_Pt_Days = 53.520) U[1,1] (Mort < 1.000))",1.0
14,"((CALCIUM = 15.000) U[1,1] (Mort < 0.400))",0.5
15,"((y < 0.000) U[1,0] (CHLORIDE = 108.000))",0.5
16,"((LOS = 122.000) U[1,0] (Glasgow_Coma_Scale_Total < 15.000))",0.5
17,"((death = 1.000) U[1,1] (MET = 1.000))",1.0
18,"((death = 0.250) U[1,1] (Pulse = 400.000))",1.0
19,"((ICU_Pt_Days = 120.000) U[0,1] (O2_Flow = 10.000))",0.5
20,"((ICU_Pt_Days > 120.000) U[1,1] (n_evts > 5.000))",0.5
21,"((y = 1.000) U[1,1] (Mort > 1.000))",0.5
22,"((HEMOGLOBIN < 25.000) U[0,1] (direct > 1.000))",0.5
23,"((Mort = 1.000) U[1,1] (n_evts > 5.000))",1.0
24,"((MET = 1.000) U[1,0] (O2_Flow < 9.345))",0.5
25,"((Mort > 0.724) U[0,1] (Resp > 50.000))",0.5
26,"((MET > 1.000) U[1,1] (tte = -20.000))",1.0
27,"((Glasgow_Coma_Scale_Total = 15.000) U[1,1] (n_evts = 5.000))",0.5
28,"((Resp < 2.905) U[1,1] (Resp = 20.000))",0.5
29,"((LOS > 122.000) U[1,1] (ICU_Pt_Days > 120.000))",1.0
30,"((Mort = 1.000) U[0,1] (Resp = 50.000))",0.5
31,"((Mort = 1.000) U[1,1] (ICU_Pt_Days = 72.959))",1.0
32,"((CALCIUM = 15.000) U[1,0] (Resp > 0.000))",0.5
33,"((tte < 100.000) U[1,1] (Resp > 20.000))",0.5
34,"((death > 1.000) U[0,1] (Resp = 50.000))",0.5
35,"((ICU_Pt_Days = 70.820) U[0,1] (ICU_Pt_Days = 48.000))",0.5
36,"((Glasgow_Coma_Scale_Total < 15.000) U[1,1] (direct = 1.000))",1.0
37,"((y > 1.000) U[1,1] (MET = 1.000))",0.5
38,"((death > 1.000) U[1,1] (MET = 1.000))",1.0
39,"((Glasgow_Coma_Scale_Total = 15.000) U[1,1] (Pulse = 160.000))",0.5
40,"((Sgy > 0.815) U[1,0] (ICU_Pt_Days > 120.000))",0.5
41,"((n_evts = 5.000) U[1,1] (CALCIUM = 15.000))",0.5
42,"((CALCIUM = 15.000) U[1,1] (direct = 1.000))",1.0
43,"((tte < 4.000) U[0,1] (y = 1.000))",0.5
44,"((y > 1.000) U[1,1] (death > 1.000))",0.5
45,"((tte = 100.000) U[1,1] (O2_Flow = 5.286))",0.5
