,Rule,Percent Count
0,"((tte = 100.000) U[1,1] (death = 1.000))",0.5
1,"((Mort = 0.400) U[1,0] (death > 0.400))",0.5
2,"((Glasgow_Coma_Scale_Total = 15.000) U[0,1] (y = 0.400))",0.5
3,"((ICU_Pt_Days > 120.000) U[1,1] (LOS = 122.000))",0.5
4,"((Resp = 50.000) U[1,0] (Mort = 1.000))",1.0
5,"((CALCIUM = 15.000) U[1,1] (y > 1.000))",1.0
6,"((ALKALINE_PHOSPHATASE > 400.000) U[1,1] (y = 1.000))",0.5
7,"((n_evts > 5.000) U[1,1] (LOS > 122.000))",0.5
8,"((death = 1.000) U[1,1] (MET > 1.000))",0.5
9,"((n_evts = 5.000) U[1,1] (Mort > 1.000))",1.0
10,"((O2_Flow = 10.000) U[1,1] (y = 1.000))",1.0
11,"((LOS = 122.000) U[0,1] (n_evts = 5.000))",1.0
12,"((direct > 1.000) U[0,1] (y > 1.000))",0.5
13,"((direct > 1.000) U[1,1] (ICU_Pt_Days = 48.000))",0.5
14,"((direct > 1.000) U[1,1] (ICU_Pt_Days > 120.000))",1.0
15,"((direct > 0.400) U[1,0] (direct > 1.000))",0.5
16,"((SBP > 260.000) U[1,1] (SpO2 > 100.000))",1.0
17,"((n_evts = 5.000) U[0,1] (ICU_Pt_Days > 120.000))",0.5
18,"((ICU_Pt_Days = 120.000) U[1,1] (n_evts > 5.000))",0.5
19,"((n_evts = 2.000) U[1,0] (Mort = 1.000))",0.5
20,"((OXYGEN_SATURATION = 100.000) U[1,1] (Mort > 0.400))",0.5
21,"((death = 1.000) U[1,1] (tte = 100.000))",0.5
22,"((Mort = 1.000) U[1,1] (MET > 1.000))",1.0
23,"((MET > 1.000) U[1,1] (Mort = 1.000))",0.5
24,"((SBP > 260.000) U[1,1] (Mort > 1.000))",0.5
25,"((n_evts = 5.000) U[0,1] (Pulse = 160.000))",0.5
26,"((Mort = 1.000) U[1,0] (n_evts > 5.000))",0.5
27,"((n_evts > 5.000) U[1,0] (tte = 100.000))",1.0
28,"((ICU_Pt_Days > 120.000) U[1,0] (MET = 1.000))",0.5
29,"((CHLORIDE = 150.000) U[1,1] (n_evts > 5.000))",0.5
30,"((n_evts > 5.000) U[1,1] (ICU_Pt_Days > 120.000))",0.5
31,"((tte = 100.000) U[1,1] (n_evts = 5.000))",0.5
32,"((CHLORIDE = 150.000) U[0,1] (SpO2 > 100.000))",0.5
33,"((Sgy = 1.000) U[1,1] (n_evts = 2.000))",0.5
34,"((MAGNESIUM = 5.000) U[1,1] (y > 1.000))",0.5
35,"((Pulse = 400.000) U[1,1] (MET > 0.400))",0.5
36,"((Mort = 1.000) U[1,0] (ICU_Pt_Days = 120.000))",0.5
37,"((death = 0.000) U[1,1] (death = 0.250))",1.0
38,"((ALKALINE_PHOSPHATASE > 400.000) U[1,1] (n_evts > 0.000))",0.5
39,"((MET > 1.000) U[1,1] (death = 1.000))",1.0
40,"((O2_Flow = 10.000) U[1,1] (MET > 0.400))",0.5
41,"((Mort > 1.000) U[1,1] (MET = 1.000))",0.5
42,"((y > 0.400) U[1,1] (n_evts > 5.000))",0.5
43,"((direct > 1.000) U[1,1] (MET = 0.400))",0.5
44,"((CALCIUM = 15.000) U[1,1] (MET = 1.000))",1.0
45,"((death = 1.000) U[1,1] (y = 0.400))",0.5
46,"((OXYGEN_SATURATION = 100.000) U[0,1] (Mort = 1.000))",1.0
