,Non Rules
0,"((Pulse = 0.000) U[0,0] (Resp = 0.000))"
1,"((tte > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
2,"((death = 0.000) U[0,0] (direct = 0.000))"
3,"((SpO2 > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
4,"((MET > 0.000) U[0,0] (y > 0.000))"
5,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
6,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
7,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (death < 0.000))"
8,"((direct > 0.000) U[0,0] (death < 0.000))"
9,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
10,"((Pulse = 0.000) U[0,0] (Pulse = 0.000))"
11,"((y > 0.000) U[0,0] (tte = 0.000))"
12,"((MET > 0.000) U[0,0] (LOS > 0.000))"
13,"((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))"
14,"((SpO2 = 0.000) U[0,0] (MET = 0.000))"
15,"((O2_Flow = 0.000) U[0,0] (death > 0.000))"
16,"((y = 0.000) U[0,0] (death = 0.000))"
