,Rule,TP,TN,FP,FN,Actual Yes,Actual No,Predicted Yes,Predicted No,TPR/Sens,TNR/Spec,FPR,Precision,F1,Accuracy,MCR,BalancedAccuracy,Class
0,"G[0,0]((O2_Flow = 0.000 -> hr < 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
1,"G[0,0]((n_evts = 0.000 -> n_edrk = 0.000))",749,121,5,1,750,126,754,122,0.9986666666666667,0.9603174603174603,0.03968253968253968,0.993368700265252,0.9960106382978724,0.9931506849315068,0.006849315068493178,0.9794920634920635,Negative
2,"G[0,0]((y < 0.000 -> Pulse = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
3,"G[0,0]((n_evts = 0.000 -> direct = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
4,"G[0,0]((ICU_Pt_Days = 0.000 -> n_edrk = 0.000))",625,21,105,125,750,126,730,146,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.8561643835616438,0.8445945945945946,0.7374429223744292,0.2625570776255708,0.5,Positive
5,"G[0,0]((Mort < 0.000 -> direct = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
6,"G[0,0]((ICU_Pt_Days = 0.000 & LOS = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Negative
7,"G[0,0]((y = 0.000 -> direct = 0.000))",750,0,126,0,750,126,876,0,1.0,0.0,1.0,0.8561643835616438,0.9225092250922509,0.8561643835616438,0.14383561643835618,0.5,Positive
8,"G[0,0]((death = 0.000 & death = 0.000))",750,36,90,0,750,126,840,36,1.0,0.2857142857142857,0.7142857142857143,0.8928571428571429,0.9433962264150945,0.8972602739726028,0.10273972602739723,0.6428571428571428,Positive
9,"G[0,0]((y = 0.000 -> SBP = 0.000))",750,81,45,0,750,126,795,81,1.0,0.6428571428571429,0.35714285714285715,0.9433962264150944,0.970873786407767,0.9486301369863014,0.05136986301369861,0.8214285714285714,Negative
