,Non Rules
0,"((CALCIUM = 0.000) U[0,0] (LOS > 0.000))"
1,"((direct > 0.000) U[0,0] (n_evts > 0.000))"
2,"((n_evts > 0.000) U[0,0] (n_edrk < 0.000))"
3,"((n_evts < 0.000) U[0,0] (direct > 0.000))"
4,"((CHLORIDE > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
5,"((Sgy > 0.000) U[0,0] (direct > 0.000))"
6,"((Temp < 0.000) U[0,0] (y > 0.000))"
7,"((ICU_Pt_Days < 0.000) U[0,0] (n_edrk < 0.000))"
8,"((CREATININE < 0.000) U[0,0] (death > 0.000))"
9,"((SpO2 = 0.000) U[0,0] (Mort > 0.000))"
10,"((hr > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
11,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
12,"((AF = 0.000) U[0,0] (Mort > 0.000))"
13,"((POTASSIUM = 0.000) U[0,0] (y > 0.000))"
14,"((s24_hr > 0.000) U[0,0] (Mort > 0.000))"
15,"((s24_hr > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
16,"((ICU_Pt_Days > 0.000) U[0,0] (y > 0.000))"
17,"((Sgy > 0.000) U[0,0] (n_evts > 0.000))"
18,"((s24_hr = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
19,"((HEMOGLOBIN > 0.000) U[0,0] (n_edrk < 0.000))"
20,"((O2_Flow < 0.000) U[0,0] (Mort > 0.000))"
21,"((ALBUMIN = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
22,"((lds = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
23,"((y > 0.000) U[0,0] (Mort > 0.000))"
24,"((tte < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
25,"((tte < 0.000) U[0,0] (Mort > 0.000))"
26,"((edrk = 0.000) U[0,0] (direct > 0.000))"
27,"((n_evts > 0.000) U[0,0] (death > 0.000))"
