,Non Rules
0,"F[0,0]((MET > 0.000 & death > 0.000))"
1,"F[0,0]((MET > 0.000 & n_evts = 0.000))"
2,"G[0,0]((Pulse < 0.000 & death < 0.000))"
3,"F[0,0]((O2_Flow = 0.000 & n_evts = 0.000))"
4,"G[0,0]((death < 0.000 & death < 0.000))"
5,"G[0,0]((LOS < 0.000 & Mort < 0.000))"
6,"F[0,0]((ICU_Pt_Days = 0.000 & direct > 0.000))"
7,"F[0,0]((O2_Flow = 0.000 & Mort > 0.000))"
8,"F[0,0]((MET > 0.000 & y > 0.000))"
9,"F[0,0]((ICU_Pt_Days = 0.000 & af = 0.000))"
10,"G[0,0]((y = 0.000 & Mort < 0.000))"
11,"F[0,0]((Mort > 0.000 & y > 0.000))"
12,"F[0,0]((direct > 0.000 & n_evts = 0.000))"
