,Non Rules
0,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (y = 0.000))"
1,"((tte = 0.000) U[0,0] (direct > 0.000))"
2,"((tte < 0.000) U[0,0] (Mort = 0.000))"
3,"((Mort > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((LOS > 0.000) U[0,0] (direct < 0.000))"
5,"((n_evts > 0.000) U[0,0] (Sgy < 0.000))"
6,"((direct = 0.000) U[0,0] (direct < 0.000))"
7,"((LOS = 0.000) U[0,0] (Mort < 0.000))"
8,"((death = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((death = 0.000) U[0,0] (Sgy < 0.000))"
10,"((LOS > 0.000) U[0,0] (MET > 0.000))"
11,"((O2_Flow = 0.000) U[0,0] (TROPONIN_I < 0.000))"
12,"((y = 0.000) U[0,0] (MET > 0.000))"
13,"((death > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
14,"((MET > 0.000) U[0,0] (tte < 0.000))"
15,"((direct = 0.000) U[0,0] (MET = 0.000))"
16,"((Mort = 0.000) U[0,0] (direct < 0.000))"
17,"((LOS > 0.000) U[0,0] (Mort < 0.000))"
18,"((ICU_Pt_Days = 0.000) U[0,0] (death = 0.000))"
19,"((n_evts < 0.000) U[0,0] (Sgy < 0.000))"
20,"((ICU_Pt_Days > 0.000) U[0,0] (tte < 0.000))"
21,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
